music_index,album_index,singer_index,singer,song,album,lyrics,genre,music_titme,album_released,time,activity,emotion
33231701,10552559,591011,Birdy,Surrender,Young Heart,Strange this wilderness inside The heart drifts from hot to cold You think it cant make up its mind And suddenly its always known Suddenly its always known And if I could reach the northern lights Maybe then Id understand it all Sometimes I try so hard to fight When all I want to do is fall Into the night Into your arms Surrender Delays on the district line Looking at pictures on my phone And I said I didnt miss you but I lied Told myself I let you go Told myself I let you go And if I,포크,235,2021-04-30,겨울_점심,휴식/수면,열정적
33436594,10598241,104900,Squeeze,Cool For Cats,Spot the Difference (Deluxe Edition),Verse  The Indians send signals from the rocks above the pass The cowboys take position in the bushes and the grass The squaw is with the corporal she is tied against the tree She doesnt mind the language its the beating she dont need She lets loose all the horses when the corporal is asleep And he wakes to find the fires dead and arrows in his hats And Davy Crockett rides around and says its cool for cats Its cool for cats  Chorus Cool for cats  Verse  The Sweeneys doing ninety cause theyve got the,록/메탈,220,2021-04-30,겨울_점심,산책/걷는중,분노
33445158,10600231,108936,Kings Of Convenience,Rocky Trail,Rocky Trail,One more time Lets say you give me one more time One last chance to speak again Lets start from what we left unsaid and here we go Brave enough to go climbing a wall so high that no sunlight is seen through winter Brave enough to go traveling around the world without money to eat or sleep for Seeing what you can do with your hands and feet I feel there is no question about it Almost anything you can imagine Almost any goal You will get there I wish you had been more of a talker Not the,포크,211,2021-04-30,여름_점심,산책/걷는중,분노
33447280,10600760,2622030,ITZY (있지),마.피.아. In the morning,GUESS WHO,Shhhhhhh Guess who loves you 나야 나 Do I show you No야 No 아직 Time이 아냐 난 좀 더 가까이 좀 더 가까이 그러다 갑자기 싹 Imma steal it 마음을 훔쳐 You are gonna love me 결정적일 때 이빨을 드러내는 Type 나와 두 눈이 마주쳐도 난 흔들림이 없어 No 널 사랑하는 게 죄라면 범인은 Who Youll never know Baby 헷갈려 헷갈려 헷갈리겠지 넌 결국엔 내 거야 내 거야 내 게 되겠지 넌 이제 Finally finally 택할 시간이야 벌써 어느새 또 밤이 되었습니다 Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia Im the,랩/힙합,172,2021-04-30,봄_저녁,운동/훈련중,분노
33447414,10600786,1023977,Sondia,외딴길에서,언더커버 OST Part.2,너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 누더기 같은 삶속에 장미 같았던 향기나는 너로인해 미소지었다 더 높이 날고 싶었어 너를 품에 안고 더 멀리가고 싶었어 네 미래를 위해 길었던 아픔 혼자였던 날들 되돌릴순 없지만 함께 해주고싶어 너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 여전히 우린 두렵고 어려웠지만 너의 눈에 감춰있는 보물을 봤다 계절은 또 돌고 돌아 언 땅을 녹이고 밀알은 흙속에 묻혀 열매를 맺겠지 길었던 슬픔 움츠렸던 날들 헤아릴 순 없지만 안아주고 싶었어 너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 누더기 같은 삶 속에 장미 같았던 향기나는 너로 인해 미소 지었다 지난 시간 걸어왔던 발자국 언젠가 뒤돌아봤을,발라드,233,2021-04-30,겨울_새벽,휴식/수면,열정적
33447537,10600854,276166,검정치마,Two Days,"Good Luck To You, Girl Scout!",two days and six voice memos  away from another heartache  sitting alone in an empty bed  spent the whole night wide awake  one day and I am in season two  a show I dont even care about  I cant believe all the things  that came out of her pretty mouth  my bodys a haunted house  filled with the ghost of the past  can you blame me for it  how was I supposed to know  I want a do over  so I can go before her  I,인디음악,217,2021-04-30,겨울_새벽,산책/걷는중,슬픔
33447587,10600865,264066,DJ Khaled,THANKFUL (Feat. Lil Wayne & Jeremih),KHALED KHALED,Oh oh oh oh oh oh  Oh oh oh oh oh oh  We the Best Music  Another one  DJ Khaled  And I know that somebody been  praying for me  Head above ground  and I couldve been six feet deep  Out on these streets  when get down on my knees  Im thankful Im thankful  Ima blow this bag for everybody  who counted me out  And I still got love  for all my dawgs  who holding me down  Head above ground for my niggas ,랩/힙합,339,2021-04-30,겨울_점심,차량/운전중,분노
33438866,10598704,1703593,NO:EL,Ride or die,21'S/S,난 혼자 걸어 넌 또 내 뒤에 있어 oh Im drunk as fuck to have a talk Let it fade away 나 두다리를 떨어도 예쁜 미소를 잃지 않는 너 Im high as fuck to feel this realities Run away   with these painkillers let me drown Im feelin lowlow 시 반   with you me my self and i Im feelin loco Girl just let me Ride or die with you 너를 다시 한 번만 돌려줄 수 있다면 Ride or die with you 그때를 다시 한 번만 돌려줄 수 있다면 Girl let me ride with you 밤이다 지나갈,랩/힙합,214,2021-04-29,여름_저녁,차량/운전중,분노
33443106,10599731,2644300,Jagwar Twin,Happy Face,Happy Face,Hey Put on a happy face Then everythings okay Put on a happy face Flip the switch Flip the stove World gone mad Lets start the show Get your kicks And lets go If youre sad dont let it show Say Im happy Im happy Im happy today Im happy Im happy Im happy today They say Put on a happy face Cause were tic tock tic tock Ticking like a time bomb Hey Put on a happy face Then everythings okay Put on a happy face Hey Put on a happy face Then everythings okay Put on a happy,록/메탈,171,2021-04-29,여름_아침,운동/훈련중,슬픔
33444738,10600107,943511,pH-1,365&7 (Feat. JAMIE),365&7, days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you 맘이 떨려 어디 하나 고장 난 듯이 함께 있으면 시간은 도망가듯이 빠르게 없어져 I be like whats going on 비싼 시계를 손목에 감아도 이건 못 멈춰 Ill call you up Give me the addy 어디쯤인지 금방 나와있어 널 곧 태우고 갈게 어디든 아주 먼 거리든 Yea We can go about anywhere you wanna 네 왼손 내 오른손에 걸어 Baby lets not waste time Just dont beat around the,랩/힙합,169,2021-04-29,봄_저녁,산책/걷는중,슬픔
