,노래제목,가수,가사
0,"유행 (feat. Mesani, Summer Soul)",basecamp,"What's the use if you're nothing without it
What's the use of truth if you doubt it
The sun falls the moon rises
That's how it goes and then again and again
Am I a fool who walks alone talking to myself?
I know it seems ridiculous
I see the ricochet of attention off my ego
But I gotta move on
Sick of getting calls
Hate to be the next one
Cause I have my own
So take your time but don't take mine
I've always been a loner on my journey
And I'll never ever be the second
All the wheels burst and my feet are burning
But I'm still looking ahead
Oh I don't want your sympathyand
I don't need your help at all
Cause I have my own way to go
Keep you out of my way
Smiling out of nowhere
Barely hearing the noise you've never made
Used to see when he comes and goes
Used to be here all alone
Maybe I overstayed
Let me out of your way
Every time I told myself
Don't be (A) fool for love Let me be your lover stay
But what we had wasn't real thing
I've always been a loner on my journey
And I'll never ever be the second
All the wheels burst and my feet are burning
But I'm still looking ahead
Oh I don't want your sympathy
And I don't need your help at all
Cause I have my own way to go"
1,Fall Down (Feat. THAMA),DAUL,"아득해 문제를 풀던 날들
아직도 어색해 이런 말을 전달하는 게
sometimes I wanna go back then
그때와 많이 달라진 지금 모습
하고픈 걸 다 하고 난 수많은 사람에게
감사를 표하고 매일같이
But I still fall down
you know I still fall down
still fall down fall down fall down fall down
and that is why I need you by my side
still fall down
you know I still fall down
still fall down fall down fall down fall down
and that is why I need you by my side
그림 같은 풍경 위에 마냥 행복했던 날들
시간이 갈수록 점점 더 많아져만 가는 걱정들
sometimes I wanna go back then
그때와 많이 달라진
지금 모습 순식간인 것 같아
하고픈 걸 다 하고 난 수많은 사람에게
칭찬을 듣고 미소짓지만
But I still fall down 아주 가끔씩은 나
you know I still fall down
still fall down fall down fall down fall down
and that is why I need you by my side
still fall down
you know I still fall down
still fall down fall down fall down fall down
and that is why I need you by my side"
2,Back Against The Wall (feat. Kvsh (캐시)),aiai,"Back against the wall
차가운 blue in my blood
하늘은 clear as glass
부서져 내릴 것 같은 햇빛 over me
and it's feeling cold
Feeling cold
Feel so cold
There's no way to turning back
뒤돌아보는게 손해
난안해 dumb shxt nah
Numb n so sick now
Honestly a lot is going on yeah
I don't even know what's going on yeah
돌아보지마 just face ahead now
Made up your mind no going back nah
Back against the wall
Prop up on this why should I do this?
난 긴잠에서 깨어 주위는 there's no one
난 낭떠러지 위에 떨어질거같아
I had to take chill 너무 달려왔지
너무 차갑던 겨울 어느새 봄
잔기침은 더욱 거세지겠지 I'm cold
Yeah 밤이 오길 모두 잠든 날에
난 이 별을 잡고 올라타 저 달에
Flood in the galaxy hid from lot of stars
꿈에서 깬 현실은 너무 추워
난 발걸음을 떼기도 두려워해
돌아가는 쳇바퀴처럼 뻔해
I'm too stone cold
No ice melt I'm froze
뒤 돌아볼 시간없어 I'm gone
난 바쁜 현대사회에 step in
아빠는 어떻게 이 무게를 견뎠지
Back against the wall
Don't look back baby
So Leave it all behind"
3,Slow (Feat. 수란),민제 (MINJE),"창밖엔 비가 내려요 오늘 밤
사랑의 노래 따윈 없다고
떠들고 다닌 내가 좀 한심해져서
이렇게 또 고개를 떨구네
내 방엔 담배연기 가득하고
어지러운 머릿속은 또 멍하고
취한 건 아닌데 다 별 뜻 없는데
이렇게 또 난 이렇게 또 널
이렇게 떠나
Because I'm lonely
Oh I'm sorry
홀린 듯 떠올린
말들로 너를 달래며
비가 오는 이 밤에
아침이 올 때까지
사랑의 노래를 불러
Let it slow
Let it slow
Let it slow
Let it slow
Let it slow
Let it slow
방황하며 달래며
또 Let it slow
Let it slow
거짓 없는 편지를 쓸 때에 넌
Falling away
Just Falling away
때론 가끔씩 떠오를 추억들에
낯선 곳을 겉돌기도 할 텐데
아픈 곳은 저마다 다른데
슬픔이 무뎌진 Paradise
다들 같은 무엇을 쫓을 땐
길을 잃은 건가 하는 생각 속에서 난
그 무엇도 난 멈출 수가 없네
Because I'm lonely
Oh I'm sorry
홀린 듯 떠올린
말들로 너를 달래며
비가 오는 이 밤에
아침이 올 때까지
사랑의 노래를 불러
Let it slow
Let it slow
Let it slow
Let it slow
Let it slow
Let it slow
방황하며 달래며
또 Let it slow
Let it slow"
4,사랑이었나봐 (It was) (Feat. GSoul),SOMDEF (썸데프),"oh nothing without
yeah I'm nothing without you
hey how was it without me
서로를 잡고 서서히 녹았던 마음들
이 계절의 끝
저물어가는
우리를 닮아갔고
시작인건지
끝은 어딘지
우린 어디쯤인지
사랑이었나봐
그것뿐인 거야
사랑이었나봐
그게 전분 거야
oh nothing without
yeah I'm nothing without you
hey how was it without me
서로를 안고 서서히 잠들었던 밤
긴 하루의 끝
어두워지는
하늘을 닮아갔고
설렘인건지
집착인건지
우리는 어디쯤인지
사랑이었나봐
그것뿐인 거야
사랑이었나봐
그게 전분 거야
I wanna be with you
Wanna be with your love
I wanna be with you
Wanna be with your love
I wanna be with you
Wanna be with your love
I wanna be with you
Wanna be with your love
사랑이었나봐
그것뿐인 거야
사랑이었나봐
그게 전분 거야"
5,"Let u in (Feat. DeVita, Colde)",코드 쿤스트,"I let you get to me once now baby
But I'll never let you in again
I let you get to me once now baby
But I'll never let you in again
그런 사랑 얘기
첫눈에 반한 스토리
우리도 특별하다 믿었지
내가 순진한 건지
아님 멍청한 건지
Somebody please tell me
더 차갑게 날 떠나가줄래
Boy why'd you come back?
나 헷갈리게
What are we?
거짓말도 난 괜찮아
Say somethin'
So love me or hate me
뭐라고 말 좀 해봐 I'll be fine
네가 준 만큼만 돌려줄게 Babe
Easy come easy go
난 쉬운 적이 없는데 Boy why
If you ever come back to me
I hope I'm still waiting for you
I let you get to me once now baby
But I'll never let you in again
Even though I still
Even though I still
I let you get to me once now baby
But I'll never let you in again
Baby girl 널 처음 봤을 때
그때부터 난 너로 가득해
이런 내 말을 좀 믿어줄래
I'm nothing without you
우리가 나눈 시간 속에 Yeah
난 아직도 빠져있는데 Yeah
너는 자꾸 맘을 닫은 채 Yeah
왜 내 말은 듣지 않으려고 해
Keep your eyes on me girl
Give me your love
I can't let you go girl
나는 너로 가득해
이런 내 말을 믿어줄래
한 번쯤 겪는 그런 문제
전부 풀어버리면 돼
덮어버릴 사랑을 줄게
다시 너의 맘을 열어줄래
I let you get to me once now baby
But I'll never let you in again
I let you get to me once now baby
But I'll never let you in again
Damn
Back off
Drink
I'm back on
Help me please don't let me down
Let down
Drink
I'm back on
Maybe it's time I let go"
6,NO WAY (Feat. G.Soul),이하이,"발끝까지 닿은 어둠이
익숙해질 때면
붉게 물든 내 맘은
또 너를 그려내고
너의 곁에 닿은
모든 게 어지러워져
별이 쏟아지던 밤
Your love makes me wonder
Boy I've been dreamin bout ya
온종일 Thinkin bout ya
눈 뜨면 어김없이 스며드는
너의 목소리에
How should I say my love
기다려도 Without ya
시간은 자꾸 멈춰
꿈속에서 너는
더 선명해지는 걸
Baby I'll be right here
I just wanna dance with you forever
멀어지지 마 더 Never
There's no way
There's no way
네게만 느낄 수 있는 Sweetest fantasy
어떤 누구도 No baby
There's no way
There's no way
There's no way
어젯밤의 꿈처럼
난 So emotional
아침이 밝아와도
머물러 있는 네 이름
아무렇지도 않게 넌
Runnin' through my mind
더는 멈추지 마 (Baby)
매일 너를 원해
I just wanna dance with you forever
멀어지지 마 더 Never
There's no way
There's no way
네게만 느낄 수 있는 Sweetest fantasy
어떤 누구도 No baby
There's no way
There's no way
There's no way
거짓말처럼 You got me
너를 몰랐던 시간이
이젠 Nothin' without you
네게 입 맞추고 Oh no
내 맘속엔 아직도
보여줄 게 많은 걸
이렇게 너를 안으면
'Till the night is gone
더 이상은 두렵지 않아
I just wanna dance with you forever
멀어지지 마 더 Never
There's no way
There's no way
네게만 느낄 수 있는 Sweetest fantasy
어떤 누구도 No baby
There's no way
There's no way
There's no way
멀어지지 마 더 Never"
7,With Chocolate,브라운 아이드 소울(Brown Eyed Soul),"Chocolate 짙은 향기로 내 맘 가득 스며드는 널
벗어날 수 없는 강한 덫에 걸린 듯
사랑보단 아직 두려운 

Baby, Love is you 네게 담겨진
시리도록 달콤한 너의 향기에 
가득 취해서 내 맘 이대로
힘을 내어 고백 할래 오늘밤엔 

And How I Love you, How I Love you
설레는 밤이 새도록 
날 사로잡은 내 맘 다가진
너와나 지금 이대로 Don't wanna nothing at all

빨갛게 물든 입술이 그윽하게 보는 눈빛이 
날 더욱 애타게 헤어나지 못하게 
점점 나를 어지럽게 해 

So Because of you 너란 사랑에
아무 일도 아무것도 할 수 없어 
Baby, Look at me 제발 받아줘
간절히 널 원하는 이런 내 맘을 

And How I Love you, How I Love you
설레는 밤이 새도록 
날 사로잡은 내 맘 다가진
너와나 지금 이대로 Don't wanna nothing at all 

하늘위에 저 별들도 스쳐가는 바람도
새롭게 느껴지는 밤 
나의 품에 안긴 채 날 따사롭게 감싸주는
널 위해 I do it for you, I want you to stay 

And How I Love you, How I Love you
설레는 밤이 새도록 
날 사로잡은 내 맘 다가진
너와나 지금 이대로 Don't wanna nothing at all"
8,"Like a rain (feat.매드클라운,김승민)",시나 ( cinna )CONNECT 아티스트,"우우우우우 It's like a rain
젖어버리는 듯해 비가 내리는 듯이
우우우우우 It's like a rain
스며드는 것 같애 너의 모든 것들이
조금 더 다가와 선을 넘어도 돼
생각은 하지마 마음 가는 데로 해
너에게 이 밤을 다 (오오오 오오오)
주려고 널 초대해 (오오오 오오오)
널 위해 챙겨온 이야기가 많아 어릴 때
주고 싶은 게 더 많대
나는 널 비추는 거울인데
네 주변은 다 난리 넌 걸친 게 몇 없는데
So beautiful 배경까지 비춰주는 네 Ponytail
우리 같은 하늘 다른 곳에 있어도
올려다보면 보여지는 별자리는 숨 꿈뿐
빛 옆에서 눈 돌릴 만큼 멍청하지 않으니까
되어줘 내가 내뱉는 숨 꾸는 꿈 You know?
Not a rainy day but it's getting wet
네게 빠져든 내 맘을 알까 넌 넌 넌
Not a rainy day but it's getting wet
오늘 밤은 넘기기 싫잖아 No no no
우우우우우 It's like a rain
젖어버리는 듯해 나를 보는 눈빛에
우우우우우 It's like a rain
내 몸을 다 맡길게 너의 그 두 손끝에
너에게 내 맘을 다 (오오오 오오오)
주려고 널 초대해 (오오오 오오오)
달아 달아 밝은 달아
우리 같이 놀던 달아
너가 환할때 내가 없는듯 사라질게
대신 머리위 어둠내리면 내가 비출게
Make it rain
울어 넌 내 위에서
Let's play this game bebe
눈을 가리면 난 술래
확 잡아버려 네 뒤에서
무릎을 꿇리고 울리고
애원하게 만들어주지
나쁜 종교같이
Not a rainy day but it's getting wet
네게 빠져든 내 맘을 알까 넌 넌 넌
Not a rainy day but it's getting wet
오늘 밤은 넘기기 싫잖아 No no no
넌 사막 위의 오아시스 같아
갈증이 난 내 맘에 넌 비를 내리네
너의 숨결로 이 밤을 채워줘
보여봐 날 안아봐 Tonight
Not a rainy day but it's getting wet
좀 더 너를 유혹할래 내가 더 더 더
Not a rainy day but it's getting wet
우리에게 내일은 없듯이 No no no
우우우우우 It's like a rain
젖어버리는 듯해 비가 내리는 듯이
우우우우우 It's like a rain
스며드는 것 같애 너의 모든 것들이"
9,Mr.gloomy,백예린,"Dream of London bridge 
런던 다리를 꿈꿔요
There’s no hot hot sunny day in the city 
거긴 매우 쨍쨍한 날이 없던데
Clouds above the head
머리 위엔 구름이 있고 
Everything seems so calm but
모든 게 차분해 보여요

Yes, we loved drizzly days, they were beautiful
우린 이슬비 내리는 날들을 좋아했고 아름다웠어요
They’re like you, so It’s beautiful 
당신 같아요 그래서 아름답죠
I still feel you around me, right now
지금, 아직도 당신이 곁에 있는 기분이에요

That kiss under the bridge 
다리 아래서의 입맞춤
Every lovers remind me of you
모든 연인들은 당신을 떠오르게 하죠
Oh, Mr. Gloomy 
우울한 그대
My baby, you take blue back into me 
내게 다시 우울함을 가져오네요


I, I, I, I, I’m just a girl like a cloudy day
난 그저 구름 낀 날 같은 사람이에요
I, I, I, I, I wanna be like fallen raindrop on your face 
난 그저 당신 얼굴에 떨어진 빗방울이고 싶어요 
Boy I, I, I, I don’t wanna be forgotten from your memory 
난 당신의 기억에서 잊혀지고 싶지 않아요
I, I, I, I really loved you
난 당신을 정말 사랑했어요
Don’t you, didn’t you know it 
모르나요, 알고 있지 않았나요


Dreamed of you and me 
나와 당신을 꿈꿨어요
Every nights are rough for me, 
than I thought It’d be
생각했던 것 보다 내겐 매일 밤이 험난해요
I lean on my drinks, everything tastes a bit bitter
난 내 잔에 기대고, 모든 게 조금은 더 쓴 것 같아요 
We loved to be drunk till we get excited 
우린 신날 때까지 취하는 걸 좋아했는데
But now It’s just me alone, throwing up on everything you bought for me
지금은 나 혼자 당신이 내게 사준 것들에 토하고 있네요

A short walk on the bridge
다리위에서의 산책
and my dirty boots remind me of you
내 지저분한 부츠가 당신을 떠오르게 해요
Oh, Mr. gloomy
우울한 그대
My sweetie, don’t you hand blue back into me
내게 우울함을 전해주지 말아요 


I, I, I, I, I’m just a girl like a cloudy day 
난 그저 구름 낀 날 같은 사람이에요
I, I, I, I, I wanna be like fallen raindrop on your face 
난 그저 당신 얼굴에 떨어진 빗방울이고 싶어요 
Boy I, I, I, I don’t wanna be forgotten from your memory 
난 당신의 기억에서 잊혀지고 싶지 않아요
I, I, I, I really loved you
난 당신을 정말 사랑했어요
Don’t you, didn’t you know it 
모르나요, 알고 있지 않았나요"
