,노래제목,가수,가사
85,잘 지내나요...?,섬의 편지CONNECT 아티스트,"그대는 잘 지내나요?
저는 그럭저럭 괜찮습니다
예전보다 하는 일도 나아지고 돈도 벌고 있어요
잘 지내다가도 문득 스치듯 그대 생각이 일어납니다

같이 걷던 길을 걸을 때면
같이 가던 식당을 지나칠 때면
그땐 그랬지 하고 이제는 웃어넘길 수 있게 되었네요

어렸던 나를 이기적이고 내 마음만 중요했던
나를 용서하세요
그래도 뜨거웠던 그댈 향한 마음은
누구보다 진심이었다는 걸 알아주세요

날이 많이 춥습니다
그대 어디에 있든지
부디 행복하게 잘 지내시길
진심으로 바랍니다"
86,황계사,해금살롱,"일조낭군 이별 후에
소식조차 돈절허니
병풍 황계 나래치며
꼬끼오 울거든 오랴시나
아 너는 죽어 황하수되고
아 나는 죽어 돗대선되어
어화나 둥덩실 떠놀아보자
어화나 둥덩실 떠놀아보자
달아 아느냐 임 계신데
어화나 둥덩실 떠놀아보자
아 너는 죽어 황하수되고
아 나는 죽어 돗대선되어
어화나 둥덩실 떠놀아보자
어화나 둥덩실 떠놀아보자
달아 아느냐 임 계신데
어화나 둥덩실 떠놀아보자"
87,그리다(어이 얼어자리),프로젝트 그리고,"그대는 어디쯤 오시려나
바람불고 찬비는 내리는데
혹시 그대 나를 잊으셨나
밤새 잠 못 이루 누나
어이 얼어 자리
무스일 얼어 자리
저 달 보다 시린 밤
이 밤을 어이할꼬
얼마나 더 기다려야
내 님이 오실까
어이 얼어 자리
무스일 얼어 자리
오날은 찬비 맞았시니
아아 녹아 잘까 하노라
원앙침 비취금에
어이 얼어 자리
무스일 얼어 자리
어이 얼어 자리
어이 얼어 자리"
88,음운(陰雲),김다함,"고즈넉한 밤 한 줄기 달빛
어둠 속 그대 향기
가까워질 듯 멀어지네 언제고 만나 볼까
달님에게 내 슬픔 말할까
기러기에게 내 소식 전할까
임이 계신 곳 수만리 길
내 마음이 들릴까
눈물겨워 설움 겨워
이내 몸이 멀어질 때 오시는가
천명이 다하고 다하여
이내 몸이 흩어질 때 오시는가 오시는가
바람만 스쳐도 그대 걸음일까
나뭇잎 흔들려도 그대 그림자일까
달빛 속 나무엔 밤이 없고 임 없는 나에겐
그대 없는 나에겐 어둠밖에 없는데
눈물겨워 설움 겨워
이내 몸이 멀어질 때 오시는가
천명이 다하고 다하여
이내 몸이 흩어질 때 오시는가
잊고 싶어 잊지 못해
이내 몸이 부서질 때 오시는가
보고 싶어도 잡지 못해
이내 연이 끊어져도 정녕 잊지 못해"
89,먼후일,한열음,"먼 훗날 당신이 찾으시면
그 때에 내 말이 잊었노라
당신이 속으로 나무라면
무척이나 그리다 잊었노라
그래도 당신이 나무라면
믿기지 않아서 잊었노라
오늘도 어제도 아니 잊고
먼 훗날 그 때에 잊었노라"
90,춘추 : 벚꽃이 낙엽으로,이수빈(Lee SuBin),"흩내리는 벚꽃비 아래 이별하는 너와나
흩내리는 낙엽 아래 널 그리는 나하나
잡으려 애쓴 꽃잎은 잡히지를 않고
외면하려 애써왔던 낙엽 한 장만이
잡을수도 더는 피할수도
애쓸 필요조차도 없는
낙엽마저 없어진 계절이
너와 내게로 온거야
만나적도 없는 것처럼
밟히는 낙엽 속에서 보인 벚꽃잎은
나혼자 너를 그리던 착각이었나
잡을수도 더는 피할수도
애쓸 필요조차도 없는
낙엽마저 없어진 계절이
너와 내게로 온거야
잡을수도 더는 피할수도
애쓸 필요조차도 없는
낙엽마저 없어진 계절이
너와 내게로 온거야
계절지나 다시 돌아온 봄날
서로다른 벚꽃나무 아래에
서로다른 꽃잎을 손에 쥐고
웃고있는 너와나"
91,나비인가 하노라,Ladyface,"고운 옷 차려입고 나풀나풀 이리저리로 다니네
그대 미소에 물드네
노란 고운 치마폭 분홍 저고리 차려입은
네 모양 꽃같으니 나비인가 하노라

고운 옷 차려입고 나풀나풀 이리저리로 다니네
그대 미소에 물드네
노란 고운 치마폭 분홍 저고리 차려입은
네 모양 꽃같으니 나비인가 하노라

고운 옷 차려입고 나풀나풀 이리저리로 다니네
그대 미소에 물드네"
92,민들레 (Feat. 황지영),재연,"노란 꽃이 피었네
꽃이 피었네
시원한 바람 불고 꽃이 피는 계절에
내 님은 돌아오지 않네
흘러만 가는 세월아 제발 멈춰다오
떠나간 님 한 번만 볼 수 있길
같은 이 땅에 선 하나 사이에 두고
볼 수가 없네 그리워라
훨훨 훨훨 날아가거라
훨훨 멀리 날아라
바람 타고 강 건너 멀리 떠나가서
그에게로 가고 싶어라
흘러만 가는 세월아 제발 멈춰다오
떠나간 님 한 번만 볼 수 있길
같은 이 땅에 선 하나 사이에 두고
볼 수가 없네 그리워라
훨훨 훨훨 날아가거라
훨훨 멀리 날아라
바람 타고 강 건너 멀리 떠나가서
그에게로 가고 싶네
아
(훨훨 훨훨 날아가거라)
(훨훨 멀리 날아라)
바람 타고 멀리 가거라
내 님에게
내 님에게"
93,밤바람편지,김진아,"어둔 밤 창가에 비친 내 모습이 싫어
창문을 열고 구름 속 감추인 별을 기다린다
가리워진 그리움이라
이젠 잊었노라 여겼건만
구름 뒤로 뜰 별을 기다리며
굳이 너를 그리워 한다
바람아 밤 바람아
그에게 내 말좀 전해다오
너의 곁에 있었던 그 때엔
참 많이 행복했었노라고
바람아 찬 바람아
이 내목소리도 좀 전해다오
나도 모를 그 모진말 들을
내 진심이 아니었노라고
가리워진 그리움이라
이젠 잊었노라 여겼건만
구름 뒤로 뜰 별을 기다리며
굳이 너를 그리워 한다
바람아 밤 바람아
그에게 내 말좀 전해다오
너의 곁에 있었던 그 때엔
참 많이 행복했었노라고
바람아 찬 바람아
이 내목소리도 좀 전해다오
나도 모를 그 모진말 들을
내 진심이 아니었노라고
어둔밤 잘 보이지 않는 별을 바라본다"
94,황홀극치,하윤주,"황홀 눈부심
좋아서 어쩔 줄 몰라 함
좋아서 까무러칠 것 같음
어쨌든 좋아서 죽겠음
해 뜨는 것이 황홀이고
해 지는 것이 황홀이고
새 우는 것 꽃 피는 것 황홀이고
강물이 꼬리를 흔들며 바다에
이르는 것 황홀이다
그렇지 무엇보다
바다 울렁임 일파만파 그곳의 노을
빠져 죽어버리고 싶은 충동이 황홀이다
아니다 내 앞에
웃고 있는 네가 황홀 황홀의 극치다
도대체 너는 어디서 온 거냐
어떻게 온 거냐
왜 온 거냐
천년 전 약속이나 이루려는 듯
해 뜨는 것이 황홀이고
해 지는 것이 황홀이고
새 우는 것 꽃 피는 것 황홀이고
강물이 꼬리를 흔들며 바다에
이르는 것 황홀이다
그렇지 무엇보다
바다 울렁임 일파만파 그곳의 노을
빠져 죽어버리고 싶은 충동이 황홀이다
아니다 내 앞에
웃고 있는 네가 황홀 황홀의 극치다
황홀의 극치다"
