,노래제목,가수,가사
0,"L’Amour, Les Baguettes, Paris",스텔라 장(Stella Jang),"C'est drôle, je ne sais pourquoi
참 재밌어 무슨 이유인지 모르겠지만
Ca me fait toujours penser à toi
항상 네 생각이 나네
Pour plein d'aut' gens, c'est la magie
다른 많은 사람들에겐 마법이고
L'amour, les baguettes, Paris.
사랑이고 바게트겠지, 파리

Toujours au même endroit
항상 같은 자리에서
Comme si c'était hier, j'te vois
마치 어제인 것처럼 네가 보여
Pour plein d'aut' gens, c'est la magie
다른 많은 사람들에겐 마법이고
L'amour, les baguettes, Paris.
사랑이고 바게트겠지, 파리

Eux voient les lumières, les paillettes
그들은 불빛과 반짝임을 보고
La tour eiffel, la Seine, les fêtes
에펠탑, 센 강, 축제들을 보지만
Mais moi quand j'arrive sur cette rue
나는 이 거리에 도착하면
j'pense à toi qui ne réponds plus
대답 없는 너를 떠올리게 돼

Même si je ne te revois pas
널 다시 볼 수 없더라도
Tu seras toujours une partie de moi
넌 항상 나의 일부일 거야
Pour plein d'aut' gens, c'est la magie
다른 많은 사람들에겐 마법이고
L'amour, les baguettes, Paris.
사랑이고 바게트겠지, 파리

Les fous rires sur ces marches
이 계단 위에서 미친 듯 웃던 소리가
Résonnent dans ma mémoire
기억 속에 울려
je les emporte là où je pars
어딜 가든 간직할게

Eux voient les lumières, les paillettes
그들은 불빛과 반짝임을 보고
La tour eiffel, la Seine, les fêtes
에펠탑, 센 강, 축제들을 보지만
Mais moi quand j'arrive sur cette rue
나는 이 거리에 도착하면
j'pense à toi qui ne réponds plus
대답 없는 너를 떠올리게 돼

Pour moi ce n'est pas juste une ville
내겐 그저 한 도시가 아니야
C'est l'histoire de nos passions juvéniles
우리 젊은 날의 열정의 기록이야
Pour plein d'aut' gens, c'est la magie
다른 많은 사람들에겐 마법이고
L'amour, les baguettes, Paris.
사랑이고 바게트겠지, 파리"
1,all of my life,박원,"너무 힘들어 삶에 치이고 되는 것도 없고 
가족도 안 보이고 언제부턴가 나도 중요하지 않고
없진 않지만 더 많이 가져야
사랑도 이어갈 수 있는 이 세상에서
all of my life  
you are all of my life
 
그러고 보면 나 너를 만나 참 많이 변했어 
꿈이 생기고 네가 가진 꿈도 이뤄주고 싶었어 나 그러려면
더 높은 곳에 올라가야만 했어
더 많은 것들을 가져야 가능했어  
다 가질 때쯤
사랑보다 꿈이 더 커졌어
 
all of my life 내가 힘이 들 때
you are all of my life 네가 날 채웠는데 
다른 어떤 걸로 나를 채워봐도 
all of my life 
you are all of my life 
채워지지가 않아 
 
그렇게 우리 바라왔고 간절했던 거잖아
이젠 내방에 가득한데 
나도 아무것도 없는 방 안에서 넌 혼자
이렇게 주저앉아 울고 있었니
 
all of my life 넌 내 전부인데 
이 모든 게 다 무슨 소용 있는데 
어디선가 이 노랠 듣게 된다면 
all of my life 
all of my life 
네 이야기가 맞아"
2,새벽녘,에피톤 프로젝트(Epitone Project),"밤새 내린 빗줄기는 
소리 없이 마름을 적시고
구름 걷힌 하늘 위로
어딘가 향해 떠나는 비행기

막연함도 불안도 혹시 모를 눈물도
때로는 당연한 시간인 걸 

수많은 기억들이 떠올라
함께했던 시간을 꺼내놓고
오랜만에 웃고 있는 날 보며,
잘 지냈었냐고 물어 보네

수많은 기억들이 떠올라
함께했던 시간의 눈물들은
어느샌가 너의 모습이 되어
잘 지냈었냐고 물어 보네

밤새 내린 빗줄기는 
소리 없이 마름을 적시고
구름 걷힌 하늘 위로
어딘가 향해 떠나는 비행기

막연함도 불안도 혹시 모를 눈물도
때로는 당연한 시간인 걸 

수많은 기억들이 떠올라
함께했던 시간을 꺼내놓고
오랜만에 웃고 있는 날 보며,
잘 지냈었냐고 물어 보네

수많은 기억들이 떠올라
함께했던 시간의 눈물들은
어느샌가 너의 모습이 되어
잘 지냈었냐고 물어 보네

스쳐가는 많은 계절이
왜 이렇게도 마음 아픈지 모르겠어
그대여, 우리 함께했던 그 많은 시간이
어디서부터 잘못 된 건지 모르겠어…

수많은 기억들이 떠올라
함께했던 시간을 꺼내놓고
오랜만에 웃고 있는 날 보며,
잘 지냈었냐고 물어 보네

수많은 기억들이 떠올라
함께했던 시간의 눈물들은
어느샌가 너의 모습이 되어
잘 지냈었냐고 물어 보네"
3,하루의 끝 (End of a day),종현 (JONGHYUN),"손을 뻗어줘 내 목을 감싸줘
좀 더 아래 내 어깰 주물러 줘
지쳐버린 하루 끝 이미 해가 떴어도
난 이제야 눈을 감으니

남들보다 늦게 문을 닫는 나의 하루에
장난스럽게 귓볼을 간지럽히며
하루 종일 다른 세상에 있었어도 우린
항상 하루 끝은 함께 하니까

너의 그 작은 어깨가 너의 그 작은 두 손이
지친 내 하루 끝 포근한 이불이 되고
수고했어요 정말 고생했어요
네게도 내 어깨가 뭉툭한 나의 두 손이
지친 너의 하루 끝 포근한 위로가 되기를
자연스레 너와 숨을 맞추고파

빈틈없이 널 감싸 안는 욕조 속 물처럼
따뜻하게 또 하나도 빈틈없게
서툰 실수가 가득했던 창피한 내 하루 끝엔
너란 자랑거리 날 기다리니

너의 그 작은 어깨가 너의 그 작은 두 손이
지친 내 하루 끝 포근한 이불이 되고
수고했어요 정말 고생했어요
네게도 내 어깨가 뭉툭한 나의 두 손이
지친 너의 하루 끝 포근한 위로가 되기를
자연스레 너와 숨을 맞추고파

맘껏 울 수도 또 맘껏 웃을 수도 없는
지친 하루의 끝 그래도 그대 옆이면
어린아이처럼 칭얼대다 숨 넘어가듯 웃다
나도 어색해진 나를 만나죠

수고했어요 정말 고생했어요
그댄 나의 자랑이죠"
4,"지친하루 (With 곽진언, 김필)",윤종신,"거기까지라고
누군가 툭 한마디 던지면
그렇지 하고 포기할 것 같아
잘한 거라 토닥이면
왈칵 눈물이 날 것만 같아 
발걸음은 잠시 쉬고 싶은 걸
하지만 그럴 수 없어 하나뿐인 걸
지금까지 내 꿈은
오늘 이 기분 때문에
모든 걸 되돌릴 수 없어
비교하지 마 상관하지 마
누가 그게 옳은 길이래 
옳은 길 따위는 없는 걸
내가 택한 이곳이 나의 길 
미안해 내 사랑
너의 자랑이 되고 싶은데 
지친 내 하루 위로만 바래
날 믿는다 토닥이면
왈칵 눈물이 날 것만 같아 
취한 한숨에 걸터앉은 이 밤
해낼게 믿어준 대로 하나뿐인 걸
지금까지 내 꿈은
오늘 이 기분 때문에
모든 걸 되돌릴 수 없어
비교하지 마 상관하지 마
누가 그게 옳은 길이래 
옳은 길 따위는 없는 걸
내가 좋은 그곳이 나의 길
부러운 친구의 여유에
질투하지는 마 
순서가 조금 다른 것뿐 
딱 한 잔만큼의 눈물만
뒤끝 없는 푸념들로
버텨줄래 그 날이 올 때까지
믿어준 대로 해왔던 대로
처음 꿈꿨던 대로
오늘 이 기분 때문에
모든 걸 되돌릴 수 없어
비교하지 마 상관하지 마
누가 그게 옳은 길이래 
옳은 길 따위는 없는 걸
내가 걷는 이곳이 나의 길
옳은 길 따위는 없는 걸 
내가 걷는 이곳이 나의 길"
5,눈 (Feat. 이문세),Zion.T,"내일 아침 하얀 눈이
쌓여 있었으면 해요
그럼 따뜻한 차를 한 잔
내려드릴게요
계속 내 옆에만 있어 주면 돼요
약속해요
눈이 올까요
우리 자는 동안에
눈이 올까요
그대 감은 눈 위에
눈이 올까요
아침 커튼을 열면 눈이 올까요
서두르지 마요 못다 한
얘기가 있어요
잠이 들고 나면 오늘은
어제가 되어버려요
계속 내 곁에만 있어 주면 돼요
약속했죠
눈이 올까요
우리 자는 동안에
눈이 올까요
그대 감은 눈 위에
눈이 올까요
아침 커튼을 열면 눈이 올까요
잘 봐요 밖이 유난히 하얗네요
눈 눈이 와요
눈 눈이 와요
눈이 와요
눈이 와요
창밖에도 눈이 와요
어제 우리 말한 대로
차를 한 잔 내려드릴게요"
6,첫 눈,정준일,"내 마음을 한번만 만져줘요
온종일 이렇게 서늘해요

겨울 보다 차가운 하늘
그아래 내가 서 있으니
눈물도 얼어버릴듯 해

조용히 한번만 불러줘요
수없이 말하던 내 이름을
영원을 거슬러 하루를 아니
일분을 보게 돼도

그럴수 있다면 견뎌낼게

그 기다림 끝에 그대가 서있어주길

내겐 그림같았던 그대와 기억
아주 오래 기다렸던 선물같은 하루

긴 시간을 건너서 네게 닿을께
내 마음에 첫눈이던 그대

넌 언제나 내겐 아득하다

그대와의 시간 그 하루가
내겐 왜 이렇게 아픈가요

너의 옆에 내가 서 있고
서로 웃을수 있는 하루
그릴수 없어서 눈물나죠

이게 꿈이라면 내마음을 전해줄텐데


내겐 그림같았던 그대와 기억
아주오래 기다렸던 선물같은 하루

긴 시간을 건너서 네게 닿을게
내 마음에 첫 눈 이던 그대

함께 울고 많이 웃던 우리
아름답고 찬란하게 빛나던 시간

되돌린다

내겐 하루 같았던 너와의 기억
가슴뛰게 아름다웠던 너와의 시간

그대 입술에 이젠 인사를 하죠
그대 눈에 그대의 숨결에

부서지게 그대를 안는다

조용히 한번만 들어봐요
나직이 울리는 내 마음을"
7,그런 밤,어반자카파,"아무 이유없이 문득 외로운 날
생각이 많아서 잠들 수 없는 밤
찾아갈 곳 하나 없는 쓸쓸한 밤
평범한 하루 끝 그런 밤
여느 때와 다를 것 없는 날
아무도 전활 받지않는 밤
한없이 초라해지는 내 맘
또 그런 날 오늘도 그런 밤
아무 이유없이 문득 외로운 날
생각이 많아서 잠들 수 없는 밤
찾아갈 곳 하나 없는 쓸쓸한 밤
평범한 하루 끝 그런 밤
집에 와보니 익숙한 내방
말없이 깊어져 가는 밤
할 일이 참 많은데
할 일은 또 없는 날
뭔가 좀 아쉬운 밤
오늘따라 차갑게 느껴지는 밤공기
숨을 크게 들이쉬며 두 눈 감는다
아무 이유없이 문득 외로운 날
생각이 많아서 잠들 수 없는 밤
찾아갈 곳 하나 없는 쓸쓸한 밤
평범한 하루 끝 그런 밤
아무 이유없이 문득 외로운 날
생각이 많아서 잠들 수 없는 밤
찾아갈 곳 하나 없는 쓸쓸한 밤
평범한 하루 끝 그런 밤"
8,그냥 (Just),Zion.T,"내가 안쓰러워 보여
인사하는 거라면
내 마음 다칠까 걱정 말고
그냥 지나가면 돼요

Nana (나나)
Nana (나나)
내 마음 아플까 걱정 말고

사실 난 아무렇지도 않아
꼭 아픈 사람처럼 보여도
하고픈 이야기 너무 많았는데
결국 나 혼자 나 혼자 나 혼자서 어쩌구
사실 나는 널 좋아하지 않아
오히려 미워해, 싫어해
매일 밤 홀로 누운 침대 위에서
꼭 끌어안은 이불은 추워

내가 안쓰러워 보여
다가오는 거라면
내 마음 아플까 걱정 말고
그냥 지나가면 돼요

니가 내게 무심코 뱉어댄 차가운 말들 
몰래 속앓이 해 원래 당연 하단 듯 
어차피 안 이뤄져 뻔해 잘 알아 
동정 따윈 더 이상 나 바라지도 않아
초라해지기 싫어서 어제
나 먼저 그 자리에 일어섰네
머뭇거리지 마 나 진짜 괜찮아
아무 말 말고 뒤돌아 서서 걸어가

Nana (나나)
Nana (나나)
내 마음 아플까 걱정 말고
그냥 지나가면 돼요
지나가면"
9,청춘 (feat. 이상순),김동률,"우리들 만났다 하면 날이 새도록
끝나지 않던 이야기 서로의 꿈들에
함께 부풀었었고 설레였고
내일이 두근거렸지

언제부턴가 하루가 짧아져만 갔고
우리들 마음은 점점 조급해져 갔지
영원할 것 같았던 많은 것들
조금씩 사라져갔지

서로가 참 솔직했었던 그때가 그리워
때로는 쓰라렸고 때로는 부끄럽고
그래서 고맙던 거칠 게 없던 시절

모든 걸 나눌 수 있었고
같은 꿈을 꾸던 시절
뭐가 달라진 걸까
우린 지금 무엇이 중요하게끔 된걸까

다들 모처럼 모인 술자리에서
끝없이 하는 이야기 그때가 좋았다
언제부턴가 더는 꺼내지 않는
스무살 서로의 꿈들

우리가 참 힘이 됐었던 그때가 그리워
때로는 다독이고 때로는 나무라고
그래서 고맙던 외롭지 않던 시절

모든 걸 나눌 수 있었고
같은 길을 걷던 시절
뭐가 달라진 걸까
우린 지금 무엇이 소중하게끔 된걸까

우린 결국 이렇게 어른이 되었고
푸르던 그 때 그 시절 추억이 되었지
뭐가 달라진 걸까
우린 아직 뜨거운 가슴이 뛰고
다를 게 없는데
뭐가 이리 어려운 걸까"
