,노래제목,가수,가사
1,If You Wanna Party,Spin Up(스핀 업),"Are you ready

Oh,if you wanna party
Come on and move your body
We’re doing late at daytime
We’re doing late a night
Come on now everybody
Come on and start the party
We’re doing a little small dancing, be all right

I wanna dance, dance, dance, 
till the break of dawn
And jam it, jam it, jam it till the erroring awn
I wanna give it all I got in a single shot
I wanna dance, dance, dance until I crock

All the fellows on the floor
Yea, yea, yea, yea
All the fellows on the floor
Yea, yea, yea
All the fellows on the floor
Yea, yea, yea, yea
Come on everybody lets party tonight
Oohh,

If you wanna party
Come on and move your body
We’re doing late at daytime
We’re doing late a night
Come on now everybody
Come on and start the party
We’re doing a little small dancing, be all right

We count on One and Two and Three
And give a brick to me
We’re going round a and round to the beat of the drum
Tell us if you dare 
Don’t near be scared
You only need to come on up

All the fellows on the floor
Yea, yea, yea, yea
All the fellows on the floor
Yea, yea, yea
All the fellows on the floor
Yea, yea, yea, yea
Come on everybody lets party tonight
Oohh,

If you wanna party
Come on and move your body
We’re doing late at daytime
We’re doing late a night
Come on now everybody
Come on and start the party
We’re doing a little small dancing, be all right (x3)"
3,Push The Button,Sugababes(슈가베이비스),"I'm busy throwing hints that he keeps missing 
Don't have to think about it 
I wanna kiss and 
Everything around it but he's too distant 
I wanna feel his body 
I can't resist it 

내가 계속 눈치줬는데 그는 계속 놓치고 있어.
그걸 생각할 틈이 없나봐
난 여길 다돌며 키스하고 싶은데,그는 딴생각뿐야.
그남자를 느끼고 싶은 날 참을수 없는데.

I know my hidden looks can be deceiving 
But how obvious should a girl be? 
I was taken by the early conversation piece 
And I really like the way that he respect me

내 숨겨진 모습으로 그를 유혹할수 있을거야.
근데 여자는 어때야 하는건데?
벌써 대화는 조금 해봤는데.
그가 날 존경하게 만들고 싶어.

I've been waiting patiently for him to come and get it 
I wonder if he knows that he can say it and I'm with it 
I knew I had my mind made up from the very beginning 
Catch this opportunity so you and me could feel it 'cos

그가 다가오기만을 기다리고 있었어.
그가 나와 같이 하고 싶다고 하면
난 알고 있었어, 이기회를 잡아야 한다는걸.
처음부터 내마음은 이미 정해진걸.

If you're ready for me boy 
You'd better push the button and let me know 
Before I get the wrong idea and go 
You're gonna miss the freak that I control 

네가 이미 날 기다리고 있었다면
버튼을 잽싸게 눌러야 할꺼야.
내가 아니구나 싶어서 가버리기 전에
그러면 내가 조종하는 환상체험을 못하게 될껄.

I'm busy showing him what he's been missing 
I'm kind of showing off for his full attention 
My sexy ass has got him in the new dimension 
I'm ready to do something to relieve this mission 

내가 계속 바쁘게 춤추는데 그는 아직도 모르네.
그의 눈길을 확 잡기위한 방법은 내 섹시한 궁디를
가지고 그에게 새로운 세상을 보여주는거지.
이번 작전을 성공하기위한 준비가 되있어.

After waiting patiently for him to come and get it 
He came over and asked me if I wanted to get with him 
I knew I had my mind made up from the very beginning 
Won't miss this opportunity so you 
and me could feel it 'cos

좀 참을성 있게 기다리면 그와 함께 하게 되겠지.
그는 내게와서 나와 함께하고 싶다고 할꺼야.
난 알고 있었어, 처음부터 내마음은 이미 정해진걸.
너와 내가 함께 즐길수 있는 기회를 놓치지 말아."
4,Breaking Free,Alcazar(알카자),"But you went and found another 
Leaving a heart I can't mend 
I done enough of crying
You won't come creeping around anymore 
Cause I had enough of lying 
Just walk out the door 
I'm breaking free
From the chains of your heart
Gonna tear them apart and move on 
'Cause this is me
I can't live in a lie 
Got to try to survive and be strong 
I am more than a pastime plaything 
You will have to be cheating on somebody new 
'Cause I feel I'm done with losing
I'm looking for love that is true 
We can't go on together 
'Cause I'm so much stronger when I'm on my own
I feel like it's now or never 
Gonna make it alone 
I'm breaking free 
From the chains of your heart
Gonna tear them apart and move on 
Cause this is me 
I can't live in a lie 
Got to try and survive and be strong"
5,Making Your Mind Up,Bucks Fizz(벅스 피즈),"You've got to speed it up
And then you've got to slow it down
'Cos if you believe that a love can hit the top
You've got to play around
And soon you will find
That there comes a time
For making your mind up

You've got to turn it on
And then you've got to put it out
You've got to be sure that it's something
Everybody's gonna talk about
Before you decide that the time's arrived
For making your mind up

Don't let your indecision
Take you from behind
Trust your inner vision
Don't let others change your mind

And then you've really got to burn it up
And make another fly by night
Get a run for your money and take a chance
That it'll turn out right
And when you can see how it's gonna be
You're making your mind up

Try to look as if you don't care less
But if you wanna see some more
Bending the rules of the game
Will let you find the one you're looking for
And then you can show
That you think you know
You're making your mind up

Don't let your indecision
Take you from behind
Trust your inner vision
Don't let others change your mind

And now you've really got to speed it up
And then you've got to slow it down
Cos' if you believe that a love can hit the top
You've got to play around
And soon you will find that there comes a time
For making your mind up

And now you've really got to speed it up
(Speed it up)
And then you've got to slow it down
(Slow it down)
'Cos if you believe that a love can hit the top
You've got to play around
But soon you will find that there comes a time
For making your mind up
For making your mind up
For making your mind up
For making your mind up"
6,Hot Stuff (I Want You Back),Pussycat Dolls(푸시캣 돌스),"Hot Stuff (I Want You Back) - The Pussycat Dolls


Well I tried
But I won't give in
That's alright 
'Cause I'm going to win
Now I know 
I've got to let you go
Now I see 
You were never meant for me

Looking for your hot stuff
Baby, I need it
Looking for your hot stuff
Baby, tonight
I want your hot stuff
I got to feel it
Got to have your hot stuff
Got to have your love tonight

Ooh yeah
I want you back
Ooh yeah
I want you back

I remember the love in your eye
When you took my hand and said goodbye
I don't know where the river flows
But now I'm free
I'm not going to go down again

Looking for your hot stuff
Baby, I need it (Come on)
Looking for your hot stuff
Baby, tonight (Baby, baby)
I want your hot stuff
I got to feel it (I got to feel it)
Got to have your hot stuff
Got to have your love tonight

Ooh yeah
I want you back
Ooh yeah
I want you back
Ooh yeah
I want you back
Ooh yeah
I want you back

Hot, hot, hot
Hot, hot, hot
Hot, hot, hot
Hot, hot, hot

Looking for your hot stuff
Baby, I need it
Looking for your hot stuff
Baby, tonight (Baby, tonight)
I want your hot stuff
I got to feel it
Got to have your hot stuff
Got to have your love tonight

Looking for your hot stuff
Baby, I need it (Baby, I need it)
Looking for your hot stuff
Baby, tonight (Baby, tonight)
I want your hot stuff
I got to feel it (I got to feel it)
Got to have your hot stuff
Got to have your love tonight

Ooh yeah
I want you back
Ooh yeah
I want you back
Ooh yeah
I want you back
Ooh yeah
I want you back

Ooh yeah
Tell me that you 
Do yeah
Ooh yeah
Tell me that you 
Do yeah

Ooh yeah
Tell me that you 
Do yeah
Ooh yeah
Tell me that you 
Do yeah"
7,Born To Be Alive(Original Mix 79),Patrick Hernandez(패트릭 헤르난데스),"We were born to be alive
We were born to be alive
Born born to be alive
(Born to be alive)
You see you were born
Born born
(Born to be alive)
People ask me why
I never find a place to stop
And settle down down down
But I never wanted all those things
People need to justify
Their lives lives lives
You see you were born
Born born to be alive
(Born to be alive)
You see you were born
Born born (Born to be alive)
It's good to be alive
To be alive
To be alive
It's good to be alive
To be alive
To be alive
It's good to be alive
Time was on my side
When I was running down the street
It was so fine fine fine
A suitcase and an old guitar
And something new to occupy
My mind mind mind
You see you were born born
Born to be alive
(Born to be alive)
You see you were born born born
(Born to be alive)
You see you were born born
Born to be alive
(Born to be alive)
You see you were born born born
(Born to be alive)
You see you were born born
Born to be alive
(Born to be alive)
You see you were born born born
(Born to be alive)
Born born to be alive
(Born to be alive)
Yes you were born born born
(Born to be alive)
Born
Born to be alive"
9,Chilly Cha Cha,Lottie,"(Rap)
Baila chilly cha-cha,baila chily cha
Dance you chilly, dance your cha-cha
Baila chilly cha-cha dance
So feel your body hot
You got another shot
Feel your body,shake your body hot,yeah!
(Verse)
Baila baila chilly cha-cha senorita
Baila baila chilly cha-cha, si senor
I give you another chance
You can clap your hands
Shake your body,chilly cha-cha dance
Baila baila baila baila baila
Dance dance dance dance dance
So feel your body hot
You got another shot
Move you can dance your chilly cha-cha...Stop!
(Chorus)
Ay ay ay
This chilly cha-cha muy bonito
Ay ay ay
Lo que siento en el corazon
Ay ay ay
This chilly cha-cha calentit
Ay ay ay
Todos lo bailan, si senor
Chilly cha-cha
(Repeat rap)
Dance your chilly, dance your cha-cha
Shaking your body hot
(Repeat verse)
(Repeat bridge)
(Repeat chorus)
That's your cha-cha"
10,New York City Boy,Pet Shop Boys(펫 샵 보이즈)CONNECT 아티스트,"(Tennant/Lowe/Morales)
---------------------

When you're a boy
some days are tough
lying on your bed
playing punk rock and stuff
Home is a boot camp
you gotta escape
Wanna go and wander
in the ticker-tape
You feel the deals is real
You're a New York City boy
So young, so run
into New York City

New York City boy
you'll never have a bored day
멵ause you're a New York
City boy
where Seventh Avenue
meets Broadway

The street is amazing
the hoochies unreal
Check out all the hardware
at the latest deal
Hear a song
That's the bomb!
If you don't get the mix
it's gone eighty-six
You feel the deal is real
You're in New York City

New York City boy
you'll never have a bored day
멵ause you're a New York
City boy
where Seventh Avenue
meets Broadway
New York City boy
This is your reward day
멵ause you're a New York
City boy
where Seventh Avenue
meets Broadway

Then as the evening falls
you can return its calls

You feel the deal is real
You're a New York City boy
So young, so run
into New York City"
11,SexyBack,Justin Timberlake(저스틴 팀버레이크)CONNECT 아티스트,"I'm bringing sexy back
Them other boys don't know how to act
I think your special what's behind your back
So turn around and I'll pick up the slack.

Take em' to the bridge

Dirty babe
You see these shackles, baby I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way

Take em' to the chorus

Come here girl,
go ahead, be gone with it
Come to the back,
go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're working with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
And get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on

I'm bringing sexy back
Them other fuckers don't know how to act
Come let me make up for the things you lack
'Cause your burning up I gotta get it fast

Take em' to the bridge

Dirty babe
You see these shackles, baby I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way

Come here girl,
Go ahead, be gone with it
Come to the back,
go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're working with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
And get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on

You're ready?
you're ready?
you're ready?
mmm... yes!

I'm bringing sexy back
Them other fuckers wait till I attack
If that's your girl you better watch your back
'Cause she'll burn it up for me and that's a fact

Take em' to the chorus

Come here girl
Go ahead, be gone with it
Come to the back
Go ahead, be gone with it
VIP
Go ahead, be gone with it
Drinks on me
Go ahead, be gone with it
Let me see what you're working with
Go ahead, be gone with it
Look at those hips
Go ahead, be gone with it
You make me smile
Go ahead, be gone with it
Go ahead child
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it

Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on
Go ahead, be gone with it
Get your sexy on.

You're ready?... Yes!
You're ready?... Yes!
Yes"
12,Around The World,Aqua(아쿠아),"I've been around the World - hey hey
I've been around the World - hey hey

난 세상을 여행했어요 - 헤이헤이
난 세상을 여행했어요 - 헤이헤이

In the kitchen where I'm cooking what is good for me
Spices from the Globe
Little by little is the finest meal
It's half the type for hope
Come and see

나를 위한 음식을 만드는 부엌에서
여러 곳에서 가져온 양념으로
차츰 최상의 식사가 되어갑니다.
그것은 희망의 절반이지요
와보세요

You mix it all together in your dreams
Ingredients from the Seven Sees, and I
I'm realizing things 
Ain't what they seem
That's the riddle of it
That's the spirit of it
That's the power of life

당신은 그 모두를 당신의 꿈과 섞어
7대양의 재료들, 그리고 난
난 그것(세상일)들이 
보기와는 다르다는 것을 깨닫고 있습니다.
그것은 삶의 수수께끼이고 
그건 삶의 혼이며
그건 삶의 힘이지요

I've been around the World - round the world
And I've seen it all - seen it all
I've been around the World - round the world
Cause the wind will always rise or fall
I've been around the World - round the world
And I wanted to see - see it all
I've been the only girl - round the world
All surrounded by mystery

난 세상을 여행했어요 여기저기 
난 모든 것을 보았지요 모든것을
난 세상을 여행했어요 여기저기
바람이 항상 불다가 멈추다가 하잖아요
난 세상을 여행했어요 여기저기
그리고 모든 것을 보기를 바랬죠.
난 유일한 여자랍니다. 세상을 돌아다닌
모든 것이 신비로 가득찼어요

In the living room I'm cleaning up from top to floor
Place I love the most
Wall is covered up with all my souvenirs
I got from coast to coas! T
Come and see

구석구석 청소를 하는 거실에서
내가 가장 좋아하는 장소지요
벽은 세상 이곳저곳에서 가져온
기념품으로 꽉 차 있어요
와서 보세요

You mix it all together in Your dreams
Ingredients from the Seven Sees, and I
I'm realizing things 
Ain't what they seem
That's the riddle of it
That's the spirit of it
That's the power of life　

당신은 그 모두를 당신의 꿈과 섞어
7대양의 재료들, 그리고 난
난 그것(세상일)들이 
보기와는 다르다는 것을 깨닫고 있습니다.
그것은 삶의 수수께끼이고 
그건 삶의 혼이며
그건 삶의 힘이지요

I've been around the World - round the world
And I've seen it all - seen it all
I've been around the World - round the world
Cause the wind will always rise or fall

난 세상을 여행했어요 여기저기 
난 모든 것을 보았지요 모든것을
난 세상을 여행했어요 여기저기
바람이 항상 불다가 멈추다가 하잖아요

I've been around the World - round the world
And I wanted to see - see it all
I've been the only girl - round the world
All surrounded by mystery

난 세상을 여행했어요 여기저기
그리고 모든 것을 보기를 바랬죠.
난 유일한 여자랍니다. 세상을 돌아다닌
모든 것이 신비로 가득찼어요

I'm still coming around
I keep chasing dreams
Girl I keep coming around hey hey
I keep coming around
And I can never stop
Girl I keep coming around
Cause if I do a lot
Around around
And around the World

난 아직도 가 볼 곳이 있어요
꿈을 계속 쫓지요
아가씨 난 계속 돌아 다닐 거에요
난 계속 돌아 다닐 거에요
그리고 멈추지 않죠
아가씨 난 계속 돌아다닐 거에요
내가 많이 돌아다니면
이곳 저곳
세상 이곳 저곳을

I've been around the World - round the world
hey hey - seen it all
I've been around the World - round the world
All surrounded by mystery
I've been around the World - round the world
And I've seen it all - seen it all
I've been around the World - round the world
Sun will always rice and fall - round the world

난 세상을 여행했어요 여기저기
헤이헤이 모든 것을 보았지요
난 세상을 여행했어요 여기저기
모든 것이 신비로 가득 찼지요
난 세상을 여행했어요 여기저기
그리고 모든 것을 보았어요 모든것을
난 세상을 여행했어요 여기저기
태양은 항상 뜨고 질 거에요 세상의 여기저기에서"
