,노래제목,가수,가사
0,"Marry Me (Song by SamOck, Junggigo) (Prod. 216Project, Kenichiro Nishihara)",코지팝(KozyPop),"Girl I wanna know
How did you get so pretty
I don't even mean
When you're dressin' up
I mean when you do
What is special to you
Your smile is my favorite make up
I cannot believe
That I get to be
Makin' memories
With you in my life
Tastes sweeter every time
I'm a better me
'Cause I'm feelin' free
Like a reverie
But it's really true
That you are really mine
Will you be mine forever
Will you be my only girl
I will be yours
Through the thick and the thin
Our love will make
A beautiful world
I'm workin' hard to be a man
Who truly knows and understands
That there is more to love
Than feelings
I'm taking time to study you
To see your colors and your hues
I know there's beauty
I'm not seeing
I cannot believe
That I get to be
Makin' memories
With you in my life
And that is worth the grind
I'm a better me
'Cause I'm feelin' free
Like a reverie
But it's really true
That you are really mine
Will you be mine forever
Will you be my only girl
I will be yours through the
Thick and the thin
Our love will make
A beautiful world
I will be yours forever
I will be your only man
Can you be mine
Through the thick and the thin
And I can be your number one fan
Will you be mine forever
Forever you and me
Will you be my only girl
Will you be my only girl
I will be yours through the
Thick and the thin
Our love will make
A beautiful world
Our love will make
A beautiful world"
1,"어느날, 우리는 하루에 갇혔다",kumiraCONNECT 아티스트,"미지근한
어느 날에 나
시계는 흐르고
난 그저 끌려가네
문득 평범한 삶 싫증이 나서
靴紐をぎゅっと結んだ
(신발끈을 꽉 묶었다)
헝클어진 머리가 내
눈을 찔러
거울 속엔 검은 반달이
내 눈 밑에
엄마의 요즘 어떠냐는 질문 익숙하지
또 거짓말
乱れた髪を切ってボロボロになった
靴紐をぎゅっと結んだ
(헝클어진 머리를 자르고 헤진 신발끈을 꽉 묶었다)
どこかには僕の番も ありごうな気がして走った
(어딘가에는 내 차례도 있을 것 같아서 뛰었다)
어느 날 하루에 갇혔다는 생각이 들었을 때
다시 한걸음 내디뎌
지루해 나 이제 변하고 싶어
라고 느껴질 때 한걸음
무기력한 하루살이로
더딘 쳇바퀴로
지는 햇살 뒤로
거울에 먼지는 쌓이고
나는 생각이 멈춰버렸다
난 뭘 하고 싶을까
살짝 열린 문틈 사이로
잠깐을 바라본 그런 탓일까
어딘가 날 이해해 줄 사람도
있을까 싶어서
돌렸다
더 이상 못 걷겠다는 생각이 들었을 때
다시 한걸음 내디뎌
괴로워 이제 그만하고 싶어
라고 느껴질 때의 한걸음
더 이상 못 걷겠다는 생각이 들었을 때
다시 한걸음 내디뎌
괴로워 이제 그만하고 싶어
라고 느껴질 때의 한걸음"
2,끝말잇기 (Feat. Skinny Brown),TOIL,"oh oh oh oh oh
oh oh oh oh oh
oh oh oh oh oh
행복한 끝말잇기였었다고
어떻게 해서라도
이어가고 싶던
지지 않기 위해
유리한 말을 쓰던 우린
단어로 표현하기엔
할 말이 많던 사이
벅찬 화를 참기엔
아직 서툴렀던 아이
지금보다 화려한 서로를 위해
지금이 추억이 됐으면 해
널 더 찾지 않을 때
웃으며 얘기했으면 해
행복한 끝말잇기였었다고
못 이어가 안달이었었다고
붉은 실로 이어져 있다던 우리
얇고 가는 면을 좋아해서 깊게 우린
라멘집에서 합정 한 가운데에서
약속했어 미래 과거까지 다 보듬어주기로
근데 why u actin ruthless tho?
한번 끊어진 건 이을 수 있어 다시 또 내 생각
해줘 난 니 생각중야 매일 밤
red light pointing at my heart
나누던 생활마저 끝말잇기 같은 거라 봐 나는
네가 하나뿐인 이유였다 봐 사는
끝까지 갈 수 있냐는 말에 난 가능
하고도 끝의 끝까지 가자는 말하는
that's a word chain 내 목에 걸게
다음 도전을 받아들여 선택
아쉬워 난 추억으로 남기에
늘어난 테잎을 다시 감아 run it run it back
come 여기 home don't let me alone
come 집안에 갇혀진 air balloon
미동 없는 phone 붙잡고 하루 종일
입안에 말을 잠가놓고 한숨을 온종일
창문을 통해 보는 불꽃은 아름다워
화려한 추억 말이 좋지 죄다 끝난 거야
갤러리와 음성 녹음은 다 지겨워
마지막으로 마주 보고 말하고 싶어 I luh you
널 더 찾지 않을 때
웃으며 얘기했으면 해
행복한 끝말잇기였었다고
못 이어가 안달이었었다고
oh oh oh oh oh
oh oh oh oh oh
oh oh oh oh oh
행복한 끝말잇기였었다고
입버릇처럼 달린
위한다는 말은
눌러놨던 마음을
말하기 위한 포장인걸
이제 와서 보니
티 났던 속마음을
차마 못 털어놓고
입만 바빴어
oh oh oh oh oh
oh oh oh oh oh
oh oh oh oh oh
얘기했으면 해"
3,혜성,혜성,"우리가 만난 그 섬에 별은
푸르게 빛나고
너의 목소리를 안아 보려
그곳으로
세상이 울던 그 여름밤에
내게 들리던 건 그저
파란색 날개짓
무지개 핀 그날의 하늘
아픈 어제가 있겠지
비 내리던 구름의 하루
세상이 다 붉게 변할 때
우린 우리로 남자
구름 울지 않게
우리가 만난 날에
까만색 유성들이
푸르게 빛날 수 있게 그려
이 밤을 그날을
우리 떨어지는 별을 다 담아서
붉게 물든 강을 파랗게 비추자
사람들의 색이 파랗게 녹을 수 있게
우리 그곳을 칠해가자
우리
세상 끝에 있는 우주가 젖어 들 때쯤
우리 구름들을 그려서 달을 만들자
세상 끝에 있는 그들이 달을 건널 때
우리 구름들을 그려서 달을 비추자
우리 떨어지는 별을 다 담아서
붉게 물든 강을 파랗게 비추자
사람들의 색이 파랗게 녹을 수 있게
우리 그곳을 칠해가자
우리 그곳을 칠해가자"
4,"뻔한 결말 (good for you) (Feat. 에이보키드 (AVOKID), 123)",Minit,"지금 내가 하는 말에
틀린 게 있다면 말해
어쩜 마지막까지 한결같지?
You never changed 
그래 네가 뱉는 말에
우리 사일 걸어도
아니라고 할 수 있어 넌?
I could find you go
한때 내게 입혀줬던 코트를 입고
처음 내게 보여줬던 웃음을 지어
You know
아니라곤 하지 마 We're done
I could say it good for you
I lost 이럴 줄 알았어
Too fine that's why I'm so o sorry
Uh 맘이 가벼워
아무렇지도 않아
Don't look back 그럴 자격 없어
넌 어때? 좀 후회하고 있어?
I'm done
I could say it 'good for me'
그래서 그 에어 팟 부터 빼고 말하시지
그 실수의 의미
너 지금 머리 굴리느라 바쁘겠지만
장범준은 안돼 도움이
Have no any questions cuz we got a 답
아마 이건 절대 반전 없지 뻔한 결말 
우리 둘의 Spoiler alert 필요 없어
벌써 다음 대사를 알고 있어
하나부터 딱 열세 봤자지 그냥 하나같아
열에 줄 없이 번지 해
We fall we drop 
Until we get to the bottom
왜 이유 따위를 묻니
딱 보면 모르겠니
I'm done done done
I could say it 'good for you' honey
I lost 이럴 줄 알았어
Too fine that's why I'm so o sorry
Uh 맘이 가벼워
아무렇지도 않아
Don't look back 그럴 자격 없어
넌 어때? 좀 후회하고 있어?
I'm done
I could say it 'good for me'
I lost 이럴 줄 알았어
Too fine that's why I'm so o sorry
Uh 맘이 가벼워
아무렇지도 않아
Don't look back 그럴 자격 없어
넌 어때? 좀 후회하고 있어?
I'm done
I could say it 'good for me'"
5,부메랑,Austn(오스틴),"익숙한 이 선율 위에
너의 모습을 괜히 상상해
난 아직 걷고 있어
우리가 나누던 시간들 속에 갇혀 버린 채
너무 멀어져 버린 것 같애
초조하게 마음은 계속 해 멍해
서로 끝내지 못할 말들을
홀로 서 이어 나가겠지
부숴져버린 내 마음이 더욱 바래져
눈 앞에 펼쳐진 겨울의 광경도 안보이게
목이 터져버리도록 너를 불러도
난 알고있네
이게 닿지 않을 걸
이 순간이 돌아올거 알고 있던 나
만약 그때 내가 너의 말을 계속 들었다면
다시 돌고돌아 지금의 나에게
말을 건내 주고 다시 돌아가 내 부메랑
기회를 준다면 I can talk to you
사거리만 지나면 약 20분 정도
아마 십시일반 너는 읽지 않아
내 연락과 인사 so I take my hand down
우리 자주 가던 caffe 바뀌었잖아 세탁소로
인천 터미널에 있던 tree는 아직 있어 그대로
이대로 난 멈춰서 움직이지도 않아
좀 꺼내달라 해 말
but 돌아오지 않아
부숴져버린 내 마음이 더욱 바래져
눈 앞에 펼쳐진 겨울의 광경도 안보이게
목이 터져버리도록 너를 불러도
난 알고있네
이게 닿지 않을 걸
이 순간이 돌아올거 알고 있던 나
만약 그때 내가 너의 말을 계속 들었다면
다시 돌고돌아 지금의 나에게
말을 건내 주고 다시 돌아가 내 부메랑"
6,UNREAL,아이원(IONE),"운명 같은 너의 말은
꿈을 꾸는 것과는 달라
You better know
You better know
You better know
지워져 가는 나의 머리엔
흐릿한 자국만 남게
You better know
You better know
You better know
검은 우주에 서 있다면
날 비추는 별일까
끝이 없는 이 환상 속에
난 그대가 보일까
유리 속 비추어진 우리가
깨질까 두려워하지 마
조각난 시간 속에 난
I'm still without you girl
I'm still without you girl
But in my life
Look in my eyes
In my eyes
You'll see the unreal
But it feels so real
You'll see the unreal
But it feels so real
You'll see the unreal
투명한 맘에
내게 바래져 온 태양이
You better know
You better know
You better know
의미 없는 세상 속
더 선명해진 별이 되어줘
You better know
You better know
You better know
텅 빈 시간 속에 난
I'm still without you girl
I'm still without you girl
But in my life
Look in my eyes
In my eyes
You'll see the unreal
But it feels so real
You'll see the unreal
But it feels so real
You'll see the unreal
차가운 밤하늘 아래
우리 아침을 기도해
살며시 녹아줘 내게
너 닿는 이곳에 날 비춰줘 이제
둘만의 무대 안에서
In my eyes
You'll see the unreal
깨진 조각 속에 비춰진 꿈만 같아
붉어진 내 마음속에
You'll see the unreal
깨진 조각 속에 비춰진 꿈만 같아
붉어진 내 마음속에
You'll see the unreal"
7,뻔한 드라마,모레 (more),"Don't shoot me
Don't shoot me
Don't shoot me babe
can't hold on
can't hold on
can't hold on  I can't
believe in
believe in
believe in love
Don't leave me my babe
우리가 찍혀있던 드라만
이런 엔딩을 그린 건지
그렇게 믿고 싶진 않아
너의 옷깃을 잡는 거지
뻔한 드라마이기를
뻔한 결말이기를 또
뻔한 드라마이기를
뻔한 결말이기를 또
가끔 우린 너무 말도 안 되는 공통이 있기도
가끔 우린 너무 평범한 데서 소통 안 되기도
운명 같았던 건지
흔한 우연 속 착각이었는지
모르겠어 우리는
어떤 건지
빛 닿을 리 없는
어두운 지하 방에
혼자 남아서
계속 널 찾았는데
넌 돌아보고
있는 줄 알았는데
착각인 건지
여전히
혼자 남겨진 내가 또
초라하지도 않았지만
여전히 부르고 있었어
너만을 지금까지
우리가 찍혀있던 드라만
이런 엔딩을 그린 건지
그렇게 믿고 싶진 않아
너의 옷깃을 잡는 거지
뻔한 드라마이기를
뻔한 결말이기를 또
뻔한 드라마이기를
뻔한 결말이기를 또
가끔은 결말이 나오기 전에 피해
가끔은 결말이 나오기 전에
할 수 있는 걸 전부 해봐도
변하지 않을 것 같단 기분에서도
가만있을 수 없으니 뭐라도 해
허공에 손짓 같은 걸 하지 아픈 짓
달리 없는 지하방에
혼자 남아서 계속 널 찾았는데
넌 돌아보고 있는줄 알았는데
착각인 건지 여전히
혼자 남겨진 내가 또
초라하지도 않았지만
여전히 부르고 있었어
너만을 지금까지
우리가 찍혀있던 드라만
이런 엔딩을 그린 건지
그렇게 믿고 싶진 않아
너의 옷깃을 잡는 거지
뻔한 드라마이기를
뻔한 결말이기를 또
뻔한 드라마이기를
뻔한 결말이기를 또"
8,DREAMLIKE,PL(피엘),"everynight i close my eyes
너로 가득 잠든 밤
어느새 꿈처럼 내게 내려와
overnight you're by my side
네 모습은 dreamlike
두 눈을 감으면 번지는 너의 palette
따스한 너의 숨결로
지친 내 마음은 저 위로
달빛의 꿈에 잠기면
널 닮은 별빛 사이로
저 푸른 바다 속을 날아서
두 손을 맞잡고 dancing in the moon
쏟아지는 파도를 따라
너의 기억 속을 맴돌아
영원히 깨지 않을 꿈처럼
starry night gonna stay in dreamlike
woah woah
I'll be always by your side
everynight back in your arms
너의 품에 잠긴 밤
봄날의 꿈처럼 내게 날아와
overnight we'll fall in love
네 모습은 dreamlike
손끝에 닿으면 꽃피는 밤의 starlight
따스한 너의 숨결로
지친 내 마음은 저 위로
달빛의 꿈에 잠기면
널 닮은 별빛 사이로
저 푸른 바다 속을 날아서
두 손을 맞잡고 dancing in the moon
쏟아지는 파도를 따라
너의 기억 속을 맴돌아
영원히 깨지 않을 꿈처럼
starry night gonna stay in dreamlike
어둠 속을 걸어도
뜬구름 속을 헤매도
언제나 널 지켜줄게
온 세상 어두워져도
맞잡은 손을 붙잡고
너의 그림자를 따라 dream again
저 푸른 바다 속을 날아서
두 손을 맞잡고 dancing in the moon
쏟아지는 파도를 따라
너의 기억 속을 맴돌아
영원히 깨지 않을 꿈처럼
starry night gonna stay in dreamlike
woah woah
I'll be always by your side"
9,WHO YOU (Art. LOVEMOON (러브문)),Anonymous Artists(어나니머스 아티스트),"지독한 인연들 속
우리라고 뭐
다를 건 없어
우리도 다 똑같은걸
알아 We just had a normal love yeah
But I don`t want to accept this fact
넌 달라 너만은
내게 특별했으니
이렇게 나 혼자 남아
다시 생각해 보니
그렇게나 사랑했던 시간은
다 뭐였었는지
영원할 줄 알았어 우린 정말 특별했으니
But it was all my mistake. I was so naive.
결국 다 이런 거지?
We are losing the light
Is this a waste of time?
이제는 네겐 아무 의미조차 없는 건지
What should we do now
What more can I do
Um Baby 예전처럼 hold me tight
지독한 인연들 속
우리라고 뭐
다를 건 없어
우리도 다 똑같은걸
알아 We just had a normal love yeah
But I don`t want to accept this fact
넌 달라 너만은
내게 특별했으니
Ha -
You've got to be here
You know what I am like
이제는 뭐든 상관없어
그저 곁에만 있어 줘
All I need is one
Please don't let me go
Um baby 예전처럼 Hold me tight
지독한 인연들 속
우리라고 뭐
다를 건 없어
우리도 다 똑같은걸
알아 We just had a normal love yeah
But I don`t want to accept this fact
넌 달라 너만은
내게 특별했으니
Ha -"
