,노래제목,가수,가사
2,Dancing In The Courthouse,Dominic Fike,"Weather controls your day
People make up your mind
Until you can't even tell
When someone gives you a sign

But we make the ground our grave by layin' in it
We make our problems fade by facin' 'em
We make the wind our wings 
by raisin' your arms
At the top of the world, yeah

Put 'em on trial
On trial
Make 'em dance for it in the courthouse
Make a stand for it or it don't count
Or it don't count
Be the landlord of the whole town
Of the whole town
Put 'em on edge
On edge
Make the judge jump and hit the two-step
Yeah, hit the two-step
And make the jury come up with two guesses
Come up with two guesses
And lose interest, 
then they make up a new sentence

Aye, Hell or high water, 
we cover for you like camouflage
And it's not over till a fat woman sing hella high
Hey
Tap dancin' in my
Hey
Until I feel a change in my day-to-day 
on a daily basis

We make the love that keeps our world spinnin'
We make the gods our friends by cursin' 'em
We make the wind our wings 
by raisin' your arms
At the top of the world, yeah

Put 'em on trial
On trial
Make 'em dance for it in the courthouse
Yeah, in the courthouse
Make a stand for it or it don't count
Or it don't count
Be the landlord of the whole town
Of the whole town
Put 'em on edge
On edge
Make the judge jump and hit the two-step
Yeah, hit the two-step
And make the jury come up with two guesses
Come up with two guesses
And lose interest, 
then they make up a new sentence
New sentence

I'm through plannin', 
she livin' like a loose cannon
Then lose, man, that's so funny, 
I should do standup
I'm rude and a superhero like Bruce Banner
But truth is, ain't nothin' that you could do

Put 'em on trial
Make 'em dance for it in the courthouse
Yeah, in the courthouse
Make a stand for it or it don't count
Or it don't count
Be the landlord of the whole town
Put 'em on edge
On edge
Make the judge jump and hit the two-step
Yeah, hit the two-step
And make the jury come up with two guesses
Come up with two guesses
And lose interest, 
then they make up a new sentence
A new sentence

Put 'em on trial
Make 'em dance for it in the courthouse
Yeah, in the courthouse
Make 'em dance for it in the courthouse"
3,Bloom,Aidan Bissett,"All of the roads led me to you
Stars on the ceiling in my living room
You're in a white dress bumming a cigarette
That memory's blue
All of these moments laying in ruins
So beautifully broken
Tear out the pages nothing is wasted
And I wouldn't change it
You make everything bloom bloom
Burn my black and white world
Down to the ground
You make everything bloom
We were falling in love that's so naive
My name on your necklace
And your heart on my sleeve
Riding the carousel caring 'bout nothing else
That memory's green
All of these moments laying in ruins
So beautifully broken
Tear out the pages nothing is wasted
And I wouldn't change it
You make everything bloom bloom
Burn my black and white world
Down to the ground
You make everything bloom
(Bloom bloom bloom bloom)
When we were still bleeding
And words ＿
You give me a reason
The sweetest remainder the fuse to my fire
You're all I desire
You make everything bloom bloom
Burn my black and white world
Down to the ground
You make everything bloom
(Bloom bloom)
Burn my black and white world
Down to the ground
You make everything bloom"
4,A.S.A.G.,Ori Rose,"If I wrote a song about girls that's not about you
Then it wouldn't be true
We're laying in my tiny dark room
With 90's cartoons
And I just had to say it
Don't wanna get drunk
In the back of some basement
Cause we got that love from a past generation
And if you're really my whole world
Why the fuck would I write a song
About any other girl?
I'm sorry 'bout the crazy shit I told you last night
Last girl left me in the dark without a flashlight
Now I got this paranoia inside me
Worry that's it's slowly
Slowly driving you away and
That's my bad you should correct me I
Know what's right but that can get me cause
Sometimes I act like a lefty
But you still by my side so
If I wrote a song about girls that's not about you
Then it wouldn't be true
We're laying in my tiny dark room
With 90's cartoons
And I just had to say it
Don't wanna get drunk
In the back of some basement
Cause we got that love from a past generation
And if you're really my whole world
Why the fuck would I write a song
About any other girl?
Sometimes you scare me
But I'm happy I signed up
How you fit all that attitude inside 5'1''
I should've never underestimated you
Well I guess I better pay my dues right away like
That's my bad you should correct me I
Know what's right but that can get me cause
Sometimes I act like a lefty
But you still by my side so
(Nice)
If I wrote a song about girls
That's not about you then it wouldn't be true
We're laying in my tiny dark room
With 90's cartoons
And I just had to say it
Don't wanna get drunk
In the back of some basement
Cause we got that love from a past generation
And if you're really my whole world
Why the fuck would I write a song
About any other girl?"
6,Love You Like That,New Rules,"He's never gonna love you like that
My hands on your body
In the way that you like ahhh
He's never gonna love you like me
My hands on your hips made it look so easy
He's never gonna love you like that
Can see it in the way that
 you hold his hand ahhh
He's never gonna love you like me
No way nobody gonna love you like me
You tried to replace me
Yeah you found some guy 
who looks just like me baby
and the way he walks
and the way he talks
Yeah lately
You got a funny way of showing 
that you hate me
i know you don't hate me
cmon now
He's never gonna love you like that
My hands on your body
In the way that you like ahhh
He's never gonna love you like me
My hands on your hips made it look so easy
He's never gonna love you like that
can see it in the way that 
you hold his hand ahh
He's never gonna love you like me
No way nobody gonna love you like me
I tried to replace you
Tried to find someone 
who makes me feel like you do
Cos the way you smile
Really drives me wild but
Ooooh
Nobody
Nobody
Comes close and you're the one to blame
(yeah)
And I know that you feel the same baby
He's never gonna love you like that
my hands on your body
In the way that you like ahhh
He's never gonna love you like me
My hands on your hips made it look so easy
He's never gonna love you like that
can see it in the way that y
ou hold his hand ahhh
He's never gonna love you like me
When your heads messed up
And you're drunk in the back seat
You can dance
You can dance
You can dance
You can find somebody just like me
You can dance
you can dance
You can dance
But he won't know how to hold your body
He's never gonna love you like that my hands 
on your body in the way that you like ahhh
He's never gonna love you like me
No way nobody gonna love you like me
No way nobody gonna love you like me
He's never gonna love you like me
No way nobody gonna love you like me"
13,late nights and lonely,Suriel Hess,"Drive too fast on the freeway
Singing love songs alone in my car
Windows down for the feeling
Just to end up at home in the dark
All alone, treat myself like I can't break
So far gone
Just to see how much that I can take
But when I'm with you, I see in your face
The ways that you love me won't go to waste
The late nights and lonely, I'll trade them away
For someone who knows all the ways that I'll change
You're gentle to me, so I should be the same
I know that you love me, even I'm not okay
Staring up at the ceiling
Funny, you always know what to ask when I
Don't even know what I'm feeling (what I'm feeling)
I get turned around, I don't know how to act when I'm-
All alone, treat myself like I can't break
So far gone
Just to see how much that I can take
But when I'm with you, I see in your face
The ways that you love me won't go to waste
The late nights and lonely, I'll trade them away
For someone who knows all the ways that I'll change
But when I'm with you, I see in your face
The ways that you love me won't go to waste
The late nights and lonely, I'll trade them away
For someone who knows all the ways that I'll change
Oh-oh-oh-oh-oh, oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh, oh-oh-oh-oh-oh
You're gentle to me, so I should be the same
I know that you love me even when I'm not, I'm not okay"
14,Love You 'Til I Die,August Royals,"I take my sunshine every morning
Doc says I shouldn’t drink on it
This day to day shits kinda boring
But you’re the reason why, I try, if i’m honest

Will you hate me if I don’t stay long

It’s painful beautiful knowing i’ve got you
Til I die
And I’m not sober for the 27th time
I didn’t mean to relapse but if it’s the last line
Just know when I step into the light I loved you til I died

You write my name with hearts around it
You leave things better than you found it
I always watch things break around me
What hits hardest is darkness has no boundaries

Will you hate me if I don’t stay long

It’s painful beautiful knowing i’ve got you
Til I die
And I’m not sober for the 27th time
Didn’t mean to relapse but if it’s the last line
Just know when I step into the light I loved you til I died"
16,seasons,wave to earth,"I can't be your love
Look it's too trivial for you now
Oh my life's fallin apart
Maybe no one will know if I disappear
But I'll pray for you all the time
If I could be by your side
I'll give you all my life my seasons
I can't be your love
Cause I'm afraid I'll ruin your life
While the leaves withered away
And grew again you have gone far away
I'll be pushing up daisies
And bring all the chances to here
But I'll pray for you all the time
If I could be by your side
I'll give you all my life my seasons
By your side I'll be your seasons
My love"
17,ONLY,이하이,"Be my only one
이렇게 부르고 싶은 이름 내 곁에
손을 잡고서 같이 걸어요
비가 오는 밤에도 외로웠던 낮에도
그대 환한 빛깔을 내게 가득 칠해줘요
내가 더 잘할게요 이렇게 같이 있어준다면
Now I believe
라랄라랄라라 부르는 노래
찾고 찾고 찾아 헤매이던 그대와
My oh my oh my oh 내 사랑
Be my only love
걸어 걸어가는 발걸음마다
기분 좋아 꼭 둘이서 추는 춤 같아
My oh my oh my oh 내 사랑
Be my only love
Be my only one
이제는 숨기지 않고도 말할 수 있어
그렇게나 말하고 싶던 I say I love you
쉬고 싶은 밤에도 바쁘던 아침에도
그대 내게 쉴 곳을 마음속에 마련해요
내가 더 잘할게요 그 맘을 내게 나눠준다면
Now I believe
라랄라랄라라 부르는 노래
찾고 찾고 찾아 헤매이던 그대와
My oh my oh 내 사랑 Be my only love
My only one 그대를 보면
기대고 싶어 가지고 싶어
이 사랑이라면 어설픈 꿈도
이뤄질 것 같은데
Now I believe
걸어걸어 가는 발걸음마다
기분 좋아 꼭 둘이서 추는 춤 같아
My oh my oh my oh 내 사랑
Be my only love
'My only one'"
18,instagram,DEAN(딘),"내일이 올 걸 아는데
난 핸드폰을 놓지 못해
잠은 올 생각이 없대 yeah
다시 인스타그램 인스타그램 하네
잘 난 사람 많고 많지
누군 어디를 놀러 갔다지
좋아요는 안 눌렀어
나만 이런 것 같아서
저기 인스타그램 인스타그램 속엔
문제야 문제
온 세상 속에
똑같은 사랑 노래가
와 닿지 못해
나의 밤 속엔
생각이 너무 많네
복잡해
틈 만나면 바뀌는 게
관둘래
이놈의 정보화 시대
단단히 잘못됐어
요즘은 아는 게 더
괴로운 것 같은데
가면 갈수록
너무 어려워
나만 이런 건지
클럽 말고 뭐
영화 말고 뭐 없나 하다
결국 동네
내 맘에는 구멍이 있어
그건 뭘로도 못 채우는 것 yeah
난 지금 가라앉는 중 인걸
네모난 바닷속에서
문제야 문제
온 세상 속에
똑같은 사랑 노래가
와 닿지 못해
나의 밤 속엔
생각이 너무 많네
뚜루루뚜 뚜루루뚜
뚜루루뚜 뚜루루뚜
All night
그렇게 시간 낭비를 하네
저 인스타그램 속에서
Lonely lonely so lonely
원래 이리도 힘든가요
No way no way
이 피드 속엔
나완 다른 세상뿐인데
부질없이
올려놓은 사진
뒤에 가려진 내 마음을
아는 이 없네
난 또 헤매이네
저 인스타그램 속에서
그래 너는 요즘 어때
잠 못 자는 건 여전해?
자른 단발이 참 예쁘던데
좋아요는 안 눌렀어
조금 웃긴 것 같아서
뚜루루뚜 뚜루루뚜
뚜루루뚜 뚜루루뚜
All night
그렇게 시간 낭비를 하네
네 인스타그램 속에서"
19,Love Is Ugly (Feat. 화사),박재범,"Love is ugly sometimes
아름다울 수는 없어
Love is ugly sometimes
항상 좋을 수는 없어
못 할 말도 다 하고 좀 뭐 같애
너와 함께라면 baby it's ok
못 볼 꼴도 다 보고 좀 이상해
같이 못난 거니까 girl it's ok
It's ok it's ok
It's ok it's ok
가끔씩 줬던 세상을 뺏어 부시고 싶어
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh
째려보면서 짜증 내 sometimes
옆에 있어도 등을 돌려 all night
죽도록 밉지만 너 없이 겁나
서로 흠이 많아도 너는 내 거야
다 의미 없어 쓸데없는 자존심 baby
너와 같이라면 지옥까지 따라갈게
Love is ugly sometimes
아름다울 수는 없어
Love is ugly sometimes
항상 좋을 수는 없어
특별하게 해줘 넌
나를 유일하게 만들어
아프게도 하지만
너의 모든 것이 물들어
It's ok it's ok
가끔은 날 미치게 하지만
It's ok it's ok
오직 너뿐이란 걸
내게 집이 되어주잖아
째려보면서 짜증 내 sometimes
옆에 있어도 등을 돌려 all night
죽도록 밉지만 너 없이 겁나
서로 흠이 많아도 너는 내 거야
다 의미 없어 쓸데없는 자존심 baby
너와 함께라면 지옥까지 따라갈게
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh
Baby there ain't nothing I won't do for u
영원하기를 바래
Love is ugly sometimes
아름다울 수는 없어
Love is ugly sometimes
항상 좋을 수는 없어"
