,노래제목,가수,가사
0,나무,카더가든,"인사 하네요 근심없게
나 아름다운 방식으로
무딘 목소리와
어설픈 자국들
날 화려하게 장식해줘요
그대 춤을 추는 나무 같아요
그 안에 투박한 음악은 나예요
네 곁에만 움츠린
두려움들도
애틋한 그림이 되겠죠
그럼 돼요
웃어 줄래요 사진처럼
수줍은 맘이 다 녹아내리게
무력한 걸음과
혼잡한 TV 속
세상없이 또 울기도 해요
그대 춤을 추는 나무 같아요
그 안에 투박한 음악은 나예요
네 곁에만 움츠린
두려움들도
애틋한 그림이 되겠죠
그럼 돼요
밤새 모아둔 아스라이 쌓인
고운 마음도 다 가져가세요
언제든 꺼내 볼 수 있죠
그대 춤을 추는 나무 같아요
그 안에 투박한 음악은 나예요
네 곁에만 움츠린
두려움들도
애틋한 그림이 되겠죠
그럼 돼요"
1,나랑 아니면,검정치마,"야 나랑 놀자 밤늦게까지 
함께 손뼉 치면서
나랑 마셔 너와 나의 
몸이 녹아 내리면
나랑 걷자 저 멀리까지
가다 지쳐 누우면
나랑 자자 두 눈 꼭 감고 
나랑 입 맞추자

나랑 아니면 누구랑 사랑 할 수 있겠니
나랑 아니면 어디에 자랑 할 수 있겠니
나랑 아니면

야 나랑 놀자 어디 가지 말고
그리울 틈 없도록
나랑 살자 아주 오랫동안
우리 같이 살자

나랑 아니면 누구랑 사랑 할 수 있겠니
나랑 아니면 어디에 자랑 할 수 있겠니
나랑 아니면

아무렇지 않게 넌 내게 말했지
날 위해 죽을 수도 죽일 수도 있다고
알아 나도 언제나 같은 마음이야 baby
아마도 우린 오래 아주 오래 함께할 거야"
2,Hooka,혁오 (HYUKOH),"저기 수근거리는 
사람들의 고민거리는 뭘까
지금 날 보고 웃는 건지
아니면 나를 안 보는 건지
언제부턴가
주위에 남는 친구가 많아
어깨에 슬쩍 손을 올리는
너희들은 도대체 누구야

Then you gotta stay the same
I know you're trying to sit on me
'cause I'm really good at this
to downtown, I deserve to go
there's no reason not to go
for what I said so long ago
that's not a fault of yours
I wanna wanna be like this

Why always try to leave me alone
I keep my head up 
and keep my mouth shut
why always need to wait for so long
I keep my way
do things my own way

그냥 뭐랄까
나는 늘 항상 어려웠었어
나도 나를 잘 모르는데
어떻게 날 그리도 잘 알까
다시 또 너 몰래
스쳐서 쉽게 버려진 데도
거꾸로 웃음을 지어줄게
너희들 품엔 내가 있잖아

Then you gotta stay the same
I know you're trying to sit on me
'cause I'm really good at this
to downtown, I deserve to go
there's no reason not to go
for what I said so long ago
that's not a fault of yours
I wanna wanna be like this

Why always try to leave me alone
I keep my head up 
and keep my mouth shut
why always need to wait 
for so long
I keep my way
do things my own way"
3,영화,백아(Baek A),"방금 한 말은 더 물어보지 말아요
그건 나만 아는 고백이에요
아직 그대를 못 잊어요
추억을 사랑한 거라 해줘요
나의 이름을 불러요
우연히 내게 와줘요
손을 놓지 못한 우리는
지독하게도 사랑한 영화예요
난 아주 깊은 꿈을 꾸어요
모든 게 부서진 재가 되어도
그때 그랬던 영화처럼
이별은 사랑을 불러요
나의 이름을 불러요
우연히 내게 와줘요
손을 놓지 못한 우리는
지독하게도 사랑한 영화예요"
4,너의 말,문율(MoonYul),"너의 말은 끝이 없는
불행으로 날 내던지고
무심하게 뜬 텅 빈 눈으로
부서져 가는 날 보네
오 그대여 나에게 그 모진 말들을
다 쏟아내고서 웃었나
조금만이라도 따듯했더라면
어땠을까 난 생각해
아- 아- 너의 말 한마디면
나는 춤을 추다가
아- 아- 너의 말 한마디에
다시 무너지니까요
오 그대여 나에게 그 모진 말들을
다 쏟아내고서 웃었나
조금만이라도 따듯했더라면
어땠을까 난 생각해
아- 아- 너의 말 한마디면
나는 춤을 추다가
아- 아- 너의 말 한마디에
다시 무너지니까요
당신 혀끝은 나를 숨 쉬게 하고
동시에 목을 조여와
이런 나를 조금만 아껴줄래요
한번만이라도
아- 아- 너의 말 한마디면
나는 춤을 추다가
아- 아- 너의 말 한마디에
다시 무너지니까요"
5,그 애가 떠난 밤에,n@di (나디),"밤바다야 내 말을 좀 들어봐
우리가 우리가 웃을 수 있었는데
밤 하늘아 이유를 좀 말해봐
우리가 우리가 사랑할 수 있었는데
어쩌다 이렇게 된 걸까
사랑은 멀리 갔고 나는 멈춰 있어
아무리 눈을 감아도
이 밤이 도저히 끝날 것 같지 않은 걸요
아 아아
아 아아
우리는 느낄 수 있죠
마음에 맺힌 눈물을
웃으며 보내주었고
떠나는 뒷모습은
하나도 담기질 않아요
뿌옇게 가려진 앞은
그대를 놓아주려는
마음이 들리지 않죠
난 먼 뒤에서
지켜볼 수가 없던
우리가 우리를
잊어가야겠지만
한참을 또
서성이다 갑니다
우리가 언젠가
떠오를 날이 있다면"
6,품,aiai,"알 것 같다가 모르고
건넬수록 불안하고
말하지 않으면 몰라
말하지 않을 때가 더 많지만
You should know that i love you always
내가 표현을 잘 못해도
Will you still love me
안아줄거지
Wish you always here with me right by my side
Difficult like show you my heart
어려워 to let you know
사랑이
알잖아 it's not like that easy
Baby
가끔은 it makes me feel lonely
이 순간을 꼭 담아둬
언제라도 사랑을 띄울 수 있게
So you should know that i love you always
내가 마음을 안 보여도
Will you still love me
알아줄 거지
Wish you always here with me right by my side
Difficult like show you my heart
어려워 to let you know
사랑이
알잖아 it's not like that easy
Baby
가끔은 it makes me feel lonely"
7,Freeze (Feat. NONE),지영씨 (Jiyoungssi),"Seoul city cafe
이 길 따라 걷네
내 마음속 거친
파도는 고요해
어지러운 탓에
또 걷다가 보면
내 마음속 거친
파도는 고요해
난 그리워
아무 의문 없이도
가만히 흐르던 그때가
천천히 다가와
푸르던 때론 뭉툭한 날들
멈췄다 쉬게 해
생각지 못해
내 시간은 왜
자꾸 이랬다저랬다
내 마음처럼 잘 안돼
no matter what happens
내 주위가 다 변해도
나를 알아줘 이렇게
freeze
언제 언제 어디서부터 뒤엉켜
그려봐 난 또 어릴 적 날 bae
여기저기 둘러싸인 말도
이젠 지쳐서 nothing
힘껏 질러도 결국 돌아와
내 방안 채울 메아리일 뿐이야
문을 열어 다시 throw all
그대로 멈춰 얼게 해
추웠던 마음도
서서히 녹을 텐데
모난 기억도
천천히 다가와
그 어떤 위로가 괜찮던 날들
멈췄다 쉬게 해
생각지 못해
내 시간은 왜
자꾸 이랬다저랬다
내 마음처럼 잘 안돼
no matter what happens
내 주위가 다 변해도
나를 알아줘 이렇게
Freeze
생각지 못해
내 시간은 왜
내 마음처럼 잘 안돼
no matter what happens
내 주위가 다 변해도
나를 알아줘 이렇게
freeze"
8,홍대 R&B,비비(BIBI),"돈 한 푼 없이도 헤맬 수 있는 홍대거리
나는 저들과 다르다 믿는 이들의 어림
겨울바람에 내놓은 여인의 가는 다리에
미숙한 영혼을 끌어모으는 낡은 손짓
화장실은 오른쪽 흡연구역 깊은 곳
휘청이는 탈색모 전화를 돌려봐도
아무도 받지 않고 빌어먹을 청춘은
눈치 없는 발정에 작은 몸 하나 누일 곳 없어
망가져 망가져 버린 나와 닮은 듯 닮은 듯해 넌
이가 빠진 헤진 동네 이유 없이 비싼 값 나와 닮아
부러져 부러져 버린듯해 살만해 살만하다던데
뭔가 빠진 텅 빈 영혼 여유 없이 가득 찬 나와 닮아
싸구려 클럽 위스키
한잔에 만원 넘는 바가지
악기 들쳐매고 계집애들 사이 낀 반반한
인디밴드 기타리스트
관광객들의 환상
희망적인 생각
빠르게 달리다 넘어진 스케이터 보이
그 옆에 술 취한 여친
모가지 뻣뻣한 언더 래퍼 양아치
어린 여자 꼬실 때나 오는 유명 인사 오빠
타투와 피어싱 음악과 술
담배 연기 쩌든 달셋방을
떠나지 못해
박지도 못하는 게
다들 참 비슷해
망가져 망가져 버린 나와 닮은 듯 닮은 듯해 넌
이가 빠진 헤진 동네 이유 없이 비싼 값 나와 닮아
부러져 부러져 버린듯해 살만해 살만하다던데
뭔가 빠진 텅 빈 영혼 여유 없이 가득 찬 나와 닮아"
9,입춘,한로로,"얼어붙은 마음에
누가 입 맞춰줄까요
봄을 기다린다는 말
그 말의 근거가 될 수 있나요
바삐 오가던 바람
여유 생겨 말하네요
내가 기다린다는 봄
왔으니 이번엔 놓지 말라고
아슬히 고개 내민 내게
첫 봄인사를 건네줘요 피울 수 있게 도와줘요
이 마음 저무는 날까지
푸른 낭만을 선물할게 초라한 나를 꺾어가요
아슬히 고개 내민 내게
첫 봄인사를 건네줘요 피울 수 있게 도와줘요
아슬히 고개 내민 내게
첫 봄인사를 건네줘요 피울 수 있게 도와줘요
이 마음 저무는 날까지
푸른 낭만을 선물할게 초라한 나를 꺾어가요
이 벅찬 봄날이 시들 때
한 번만 나를 돌아봐요"
