,노래제목,가수,가사
0,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone(포스트 말론),"Ayy ayy ayy ayy
Ooh ooh ooh ooh
Ayy ayy
Ooh ooh ooh ooh
Needless to say I keep her in check
She was all bad bad nevertheless
Callin' it quits now baby I'm a wreck
Crash at my place baby you're a wreck
Needless to say I'm keeping her checked
She was all bad bad nevertheless
Callin' it quits now baby I'm a wreck
Crash at my place baby you're a wreck
Thinkin' in a bad way losin' your grip
Screamin' at my face baby don't trip
Someone took a big L
Don't know how that felt
Lookin' at you sideways party on tilt
Ooh ooh some things you
Just can't refuse
She wanna ride me like a cruise
And I'm not tryna lose
Then you're left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower
Every time I'm leavin' on ya
You don't make it easy no
Wish I could be there for ya
Give me a reason to oh
Every time I'm walkin' out
I can hear you tellin' me to turn around
Fightin' for my trust
And you won't back down
Even if we gotta risk it all right now oh
I know you're scared of the unknown
You don't wanna be alone
I know I always come and go
But it's out of my control
And you'll be left in the dust
Unless I stuck by ya
You're the sunflower
I think your love would be too much
Or you'll be left in the dust
Unless I stuck by ya
You're the sunflower
You're the sunflower"
1,Casio,Jungle(정글),"Casio
Playing on my heart just like a casio
Breaking it apart so you can let it go
Wait another year that's not original
Or cynical alright let's go now
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Play it cool
I just want the keys back to my vehicle
They just gonna tell that it wasn't real
And I just wanna tell you how I feel
I know you feel
I know you feel it too
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Casio
Playing on my heart just like a casio
Breaking it apart so you can let it go
Wait another year that's not original
Or cynical alright let's go now
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Don't think that my love is gone
It's all up in your head now"
2,Late Night,Lucky Daye,"The bigger we are the harder we fall
We swinging through walls
From monkey bars
Yeah yeah
My niggas say woah woah
You're never get old
You know who you are (Yeah yeah)
Beauty can go but glitter and gold
That's the road I'm gonna take you far
Jury can close drag the fro's
Pimps and hoes and fancy cars
Let me
Get up my seat
And move my body like a freak
A celebration just to be me and you
Can you feel it everywhere
The wind blowing through your good hair
And you can feel it
When you step in the room
Ooh ooh ooh
I'mma pour a drink though I might drive
Lemme put my waist on your bassline
When you're outta town just to waste time
I just wanna make it to a late night
Maybe we can roll through a backside
I'm just tryna make it to be that high
Do it one time for the one time
Let's take it to a late night
Beep beep we got the keys to the streets
You got the keys to my sheets
Don't mind me
Think I'm playing for keeps
I see your body talking
What's it saying to me
Said you a hot topic no shade in your heat
I'm tryin' to get into you
No waves in your sea
Oh
I feed it 'til you fire it up
I feed it 'til you fire y go o o o o o
Feel it in my seat
And move my body like a freak
A celebration just to be me and you
Can you feel it everywhere
The wind blowing through your good hair
And you can feel it
When you step in the room
Ooh ooh ooh
I'mma pour a drink though I might drive
Lemme put my waist on your bassline
When you're outta town just to waste time
I just wanna make it to a late night
Maybe we can roll through a backside
I'm just tryna make it to be that high
Do it one time for the one time
Let's take it to a late night
Yeah we arrange it around 10 and 4
10 and 4's
Niggas and hoes
Pimps and hoes
Boots and coats
Rolex's and diamond karats
Big things and big rings
I'mma pour a drink though I might drive
Lemme put my waist on your bassline
When you're outta town just to waste time
I just wanna make it to a late night
Maybe we can roll through a backside
I'm just tryna make it to be that high
Do it one time for the one time
Let's take it to a late night"
3,Warm On A Cold Night,HONNE(혼네),"""Okay, it's 3:17 AM. 
You're tuned in with your main man 
Tommy Inglethorpe.
This next song's gonna keep you warm 
on a cold, cold night. 
So if you don't got a lover, 
just close your eyes. 
And listen, to Honne.""

Like a rabbit in headlights
They’re stunned by all your charm
And I feel so damn lucky
To have you on my arm

And I can’t help but wonder
How we ended up alright
And I love you like no other
Cause this has never felt so right

Yeah you can keep me warm on a cold night
Warm on a cold cold night
Yeah you can keep me warm on a cold night
Warm on a cold cold night

I want to treat you something special
Give you what you deserve
I want to take you to paradise
In a 1950’s Merc

And I can’t help but wonder
Just how we ended up alright
And I love you like no other
And this has never felt so right

You can keep me warm on a cold night
Warm on a cold cold night
Yeah you can keep me warm on a cold night
Warm on a cold cold night
Girl you can keep me warm

You can keep me real warm
There’s just one thing

Girl you could have anyone
So why you choosing me 
and not leaving me on my own?
Girl you could be with anyone
So thanks for making me your number one

You can keep me warm on a cold night
Warm on a cold cold night
Yeah you can keep me warm on a cold night
Warm on a cold cold night

Yeah wrap me up 
and keep warm on a cold night
Warm on a cold cold night
Oh yeah you can keep me 
warm on a cold night
Warm on a cold cold night"
4,How Does It Feel?,Samm Henshaw(샘 핸쇼우),"How does it feel to be loved?
I just landed on this earth today
Heard people acting crazy over
Something strange
Brothers be paying for diamonds
That they can't afford
Just to keep up the appearance for a polaroid
All I see is something crazy
I don't understand
Ladies making babies just to keep a man
Fellas chasing stellas when they got a pam
They go from stephanie to bethany
From definitely to never be so
(How does it feel to be loved?)
Oh how does it feel?
That's what they say
Ooo must be insane oh yeah
(How does it feel to be loved?)
Somebody has gotta tell me oh yeah
It goes time right swipe right
Deep like five times
Don't know what it sounds like
But someone told me
It's a little marvin with some candle light
A little ocean on the weekend
With a can of sprite
I mean I love 'em white
Ooo love is such a mystery
I'm so perplexed by all the things
My eyes have let me see
People think that love is things
Like physicality
When in reality it's meant to
Hold you down like gravity
(How does it feel to be loved?)
How does it feel to be loved?
That's what they say
Oh my must be insane oh yeah
(How does it feel to be loved?)
How does it feel how does it feel? Yeah
You see now
How am I supposed to find love?
If I don't understand love
How am I supposed to be loved? Ooh
And if I have to buy love
Then I don't really want love
If this is what it means
The fighting and the screams
You want dependency
I need some therapy oh
(How does it feel to be loved?)
I gotta know I ain't too sure
Somebody tell me
How does it feel to be loved?
(How does it feel to be loved?)
I just wanna know yeah
I just gotta know yeah
How does it feel?
How does it feel to be loved?
Oh my
(How does it feel to be loved?)"
6,Church (feat. EARTHGANG),Samm Henshaw(샘 핸쇼우),"Oh yeah ah
Mama said we in the church
You best believe
This ain't no hotel
Rocking your halo like a snapback
'Cause you hang with ghetto angels
She told me
They won't catch you when you fall
You know this ain't gon end well
Heard somebody shot the sheriff
If its you I ain't gon' pay bail
She says
Good morning
Wake up wake
Good morning
Wake up wake
Good morning
Wake up wake
Wake up wake
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Wake up wake up wish
I could hear you right now
Somebody come
And tell this lady cool down
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Papa said to be a man
Best keep your word
Until the final days
Said if you sign up
You'll be covered
See my church don't
Take no holidays
He said I'll drop
My anchor in the storm
Until your tears leave the waves
Don't walk these streets
Looking for beef
'Cause Hell's an oven
With a cold flame
She says
Good morning
Wake up wake
Good morning
Wake up wake
Good morning
Wake up wake
Wake up wake
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Wake up wake up wish
I could hear you right now
Somebody come
And tell this lady cool down
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
Yeah
Granny told me
When you get ya blessings
Church want 10 percent
They had ya back
When you was down don't forget
Hold up wait
Holy Ghost bullet ricochet
We took some time to pray
When I'm in the streets
Today make the devil stay away
(Stay away away away away away)
Ain't gotta fake
But you blockin' all your blessings
When you lyin' bout your age
I can feel the spirit moving
When I'm lighting up the stage
Who listening when you pray
It just depend on your taste
She said
Tell me where you running
When that kitty ain't
As warm as it was
I don't care who you praying to
I just pray you believe in you
See what you seek is underneath
That kingdom coming make them scream
Amen from the congregation
I need a spray tan for my Jesus
And when they ask me
Where I'm headed Hell or Heaven
Seat belts fastened straight
To Mars look at God
She says
Good morning
Wake up wake
Good morning
Wake up wake
She says Good morning
Wake up wake
Wake up
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
(I don't want to wake up)
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah
(I don't want to wake up)
Wake up wake up wish
I could hear you right now
Somebody come
And tell this lady cool down
Wake up and get yourself to church
Yeah yeah yeah yeah yeah yeah"
7,Juice,Lizzo,"Mirror mirror on the wall
Don't say it 'cause I know I'm cute
Louis down to my drawers
LV all on my shoes
I be drippin' so much sauce
Gotta been lookin' like RAGÚ
Lit up like a crystal ball
That's cool baby so is you
That's how I roll
If I'm shinin' everybody gonna shine
I was born like this don't even gotta try
I'm like chardonnay get better over time
Heard you say I'm not the baddest
Bitch you lie
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice
Blame it blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice
Blame it blame it on my juice
No I'm not a snack at all
Look baby I'm the whole damn meal
David you ain't bein' slick
Don't dare try to cop a feel
The juice ain't worth the squeeze
If the juice don't look like this
Hold up nigga please
Don't make me have to take your bitch shit
If I'm shinin' everybody gonna shine
I was born like this don't even gotta try
I'm like chardonnay get better over time
Heard you say I'm not the baddest
Bitch you lie
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice
Blame it blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice blame it
Blame it on my juice
Ya ya ee
Somebody come get this man
I think he got lost in my DMs what?
My DMs what?
You better come get your man
I think he wanna be way
More than friends what?
More than friends
What you want me to say?
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice
Blame it blame it on my juice
Ya ya ee
Ya ya ee ya ya ee ya ya ee
Blame it on my juice
Blame it blame it on my juice"
8,Like Sugar,Chaka Khan(샤카 칸),"Funky
It's like su
It's like su
It's like sugar so sweet
Good enough to eat
When you feel the funky beat
Get up on a yo' feet
(Yeah)
(Ah)
Whoa what a state that I'm in
Everybody here is dancing
All I wanna do is
Get your body next to mine yeah
Baby won't you step to me
Come on out and make your move
Let me teach you something 'bout
This funky funky groove
It's like sugar so sweet
Good enough to eat
When you feel the funky beat
Get up on a yo' feet
It's like su (Yeah)
It's like su (Yeah) (I like it)
Like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Yeah)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar)
It's like sugar (Like sugar) it's like sugar
It's like sugar (Like sugar) it's like (Ooh)
It's like su
(Yeah)
(Yeah)
It's like sugar so sweet
Good enough to eat
When you feel the funky beat
Get up on a yo' feet
It's like sugar so sweet
Good enough to eat
When you feel the funky beat
Get up on a yo' feet
Whoa what a state that I'm in
Everybody here is dancing
All I wanna do is
Get your body next to mine
Baby won't you step to me
Come on out and make your move
Let me teach you something 'bout
This funky funky groove
(Yeah)"
9,I Found You,benny blanco,"I cannot say what I'm feeling
If I don't know how to move
I cannot say what I believe in
Finally believe in you
I traveled many roads
And I know what road to choose
Now my world is never changing
There's anything I can do
'Cause I found you
I found you
'Cause I found you
I found you
'Cause I found you
'Cause I found you
I cannot say what I'm feeling
If I don't know how to move
I cannot say what I believe in
Finally believe in you
I traveled many roads
And I know what road to choose
Now my world is never changing
There's anything I can do
'Cause I found you
I found you
'Cause I found you
I found you
'Cause I found you
'Cause I found you
I found you
I found you I found you
I found you I found you
I found you I found you
I found you I found you
'Cause I found you
I found you
'Cause I found you
I found you
'Cause I found you
'Cause I found you"
10,Because I’m Me,The Avalanches(더 아발란쉐),"If she don't love me, what can I do?
Just put on my best pair of shoes
Because I'm me
Because she said, ""He's the one 
that drill the charms
Honey let's go wrong""
I just want to know
What's wrong with me?
Being in love with you

Yeah
9th grade had the jingles of the swinging rainbow jacket
Lost lingo, Bronx's only Django
Snap, he'd got less tougher
That's where my props go
That's where my pops went
See my percentage is a pennant to the planet
Knock it out the ball park, Frankie
I should not tire this tire
To a better love, let the wings spread
It'll always come back, baby
Come back, shellac black, baby
A come back, flat black paint on a Chevy

If she don't love me, what can I do?
Just put on my best pair of shoes
Because, I'm, I'm me
Because I'm me
Because, I'm, I'm me
Because I'm me, I'm me

Never mind my tone when I told Pretty Tony
Listen to my tone, you ain't catchin' you a Tony
Award-winning walk when you running with a shottie
Why you running from us?
Why you messing with us?
We ain't got no guns, we just let the bears witness
The Grizzly, maybe Polar
You ain't ready, you ain't ready 'ready rolled up
Pulling a machete, cut the bamboo paper
And let's roll out baby

I just want to know
What's wrong with me?

[Instrumental]

""Watch the shit, it's good"""
