,노래제목,가수,가사
0,가을같아 (feat. 천상혁 Of Red Muffler),Annie (애니),"여름을 지나가는 길에
가을을 만나러 가기 전에
그 사이 어디쯤엔가
그때만 나는 향기가 있어
그 향기가 나는 이맘때면
자꾸 왜 니 생각이 나는지
시간이 지난 지금도
너는 가을 같아
쓸쓸한 내 마음에
봄바람 같은 널 만나서
가을 마저도 따뜻했었던
시간들이 자꾸 생각나
너가 떠나고 난 후에
너는 내게 가을이 됐나봐
시간이 지난 지금도
너는 가을같아
너가 떠나고 난 후에
너는 내게 가을이 됐나봐
시간이 지난 지금도
시간이 지난 지금도
시간이 지난 지금도
너는 가을같아"
1,꽃 (feat. 김수진),양창근,"흰 가루 내리던 그 밤에
서로의 몸으로 서로를 녹이던
이불 속 두 사람 찬란한 두 사랑
그 속에 피었던 너무도 빛나던

사랑, 몸짓, 말들, 약속
지나간 일들은 이제는 없던 일로 해

하얀 꽃 내리던 그 밤에 
서로의 몸으로 서로를 녹이던
이불 속 두 사람 찬란한 두 사랑
그 속에 피었던 너무도 빛나던

사랑, 몸짓, 말들, 약속
있었던 일들을 어떻게 없던 일로 해"
2,불안,노티스노트(Notice Note)CONNECT 아티스트,"우린 어쩌면 예전에
모든 걸 나눴는지도 몰라
더는 네게 줄 것이
없어지면 난 어떡하지
널 내 곁에 두는 게
조금 힘들어질지도 몰라
아무것도 할 수 없는 날이
올 지도 몰라
억지스런 내 욕심이
반복되는 다툼이
여기 남겨진 불안이
떠날지도 모르는 너를 잡지 못하게 하네
다른 시작을 조금씩
생각하고 있는지도 몰라
그래서 가끔 혼자인
나도 필요한 걸
넌 모르는 내 마음이
혼자 힘들어하고 이겨내고
아무렇지 않은 채로
우릴 또 속이네
억지스런 내 욕심이
반복되는 다툼이
여기 남겨진 불안이
떠날지도 모르는 너를 잡지 못하게 하네
얼마나 많은 시간이 남았는지
널 마주할 시간은
끝을 향해 가고 있는데
억지스런 내 욕심이
반복되는 다툼이
여기 남겨진 불안이
떠날지도 모르는 너를 잡지 못하게 하네"
3,남겨진 너에게,주윤하,"그래 널 남겨두고
난 이제 긴 여행을 떠나가려 해

끝이 어딘진 몰라도
우리의 여름밤이 없는 곳

계절의 배신을 
웃으며 견뎌냈듯이
그렇게 살아줘

네 맘 같지 않던
내 맘도
짙은 한숨 속에 
다 날려줘

우리 기억 까지도

그래 우릴 남겨둔 채
사랑은 또 새 꿈을 꾸겠지

시간의 배신을 
웃으며 견뎌냈듯이
그렇게 살아줘

네 맘 같지 않던
내 맘도
짙은 한숨 속에 다
날려줘

우리 기억까지도"
4,새벽밤,온수 (onsu),"음 그래 나 그래도
그러지 않을 수 있었는데
음 그래 나 그래도
그러지 않을 수 있었는데
Someday 나에게 찾아오던
아무도 모르게 몰려오던
후회 이 밤에 I say
나 혼자 들뜬 축제 속에
Oh 흥얼대던 작은 이 노래
I say I say
잠이 오지 않는 밤에
이 새벽은 너무 길고
무엇을 해야 할지
떠오르지도 않고
그냥 이러다 기타를 드네
아이고 나 Never 절대 아니
울지 않아 오늘은 No way
이 밤에 I say
나 혼자 들뜬 축제 속에
Oh 흥얼대던 작은 이 노래
I say I say yeah
내일 하루가 여유로운 건 아니야
그냥 지금 이러고 싶어서
내일 할 일이 없는 것은 아니야
벌써 걱정하기 싫어서
누가 그렇게 바쁜 일상 속에
왜 맘을 묻고 살아가지만 Ah ah
날 보듬을 시간도 필요한 거야
날 아껴줄 시간도 필요한 거야
그게 지금일 수도 있는 거니
아이고 나 이렇게 살아도 되나
아무런 생각 없이 보내면 돼
이 새벽엔
그렇고 그렇게 나 못 잠든 이 밤
이 밤이 오늘은 좀 좋을지 몰라"
5,LISA,장윤주,"붕붕 저 하늘 구름을 타고
오늘은 어떤 색으로
예쁘게 단장을 할까
슝슝 바람을 타고 놀러온
알록달록한 꽃향기
우리를 춤추게 하네
너의 모습은 그대로 아름다워
나의 어여쁜 그대
영원히 사랑을 노래 하자
윙윙 차가운 세상속에서
너는 빛과 소금 되어
순수함을 간직하길
너의 모습은 그대로 아름다워
나의 어여쁜 그대
영원히 너의 편이 되줄게
너의 모습은 그대로 아름다워
나의 어여쁜 그대
영원히 너를 위해 기도해
영원히 사랑을 노래하자"
6,물병의 꽃,베리,"나의 밤은 늘 외로워 
깊은 바다 같아 

이 감정은 더 쓸쓸해 
어둔 빈방 같아 난 또 

너의 이름을 가끔 내뱉어 보지만 

Love is you 
사랑은 진실해 
Love is sad
사랑은 고독해 
우우우우우우
물병의 꽃들은 시들어만 가네 
It's you  

오랜 기억 오랜 마음 
너를 향해 있어 
이 눈물은 쉴새 없이  
내 두 눈을 채워가네 
피어나는 미련이 더 자랄 수 있게 

love is you 
사랑은 진실해 
love is sad
사랑은 고독해  
우우우우우
물병의 꽃들은 시들어만 가네 it's you

공허한 마음의 밤 오늘도 비는 오고 창 밖은 쓸쓸해 
기억은 이렇게 고이 남아 
나를 슬프게 하네 나의 곁에서 love you 
 
음음음음음"
7,Silence,결(KYUL),"뜨겁게 타오르고
서로의 말투를 닮고
마주 앉으면 그게 그냥
좋았던 거야
시간은 지나가고
말은 쉽게 무뎌지고
널 꽉 안아도 손을 잡아도
넌 보이지 않아 이제
There's still the silence oh eh oh
There's still the silence oh eh oh
There's still the silence oh eh oh
There's still the silence oh eh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
서로가 익숙해지고
모든 건 변해간다고
늘 웃음 짓던 우리 역시
똑같던 거야
사랑을 속삭여주던
그 목소리에 울게 되고
모질었던 너의 얼굴에
넌 보이지 않아 이제
There's still the silence oh eh oh
There's still the silence oh eh oh
There's still the silence oh eh oh
There's still the silence oh eh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh
Oh oh oh oh"
8,기다리는 마음 하나,이영훈,"표정 없이 스치듯 
나를 지나가는 사람들 
엇비슷한 고민들로 하루를 보내고 

까닭 없는 외로운 밤이 
문득 나를 찾으면 
가지런히 놓여 있던 기억들이 
위태로운 듯 흔들리며 
조금씩 사라지는 얼굴 하나 
대책 없이 기다리는 마음 하나 

텅 빈 마음 오래된 문을 열면 
방이 서너개 
하루만큼 쌓여 가는 말들은 
다 노래가 될 수 없었는지 
내 작은 두 손엔 다 담지 못한 
그리움 같은 나의 기억들이

흔들리며 조금씩 사라지는 얼굴 하나 
대책 없이 기다리는 마음 하나"
9,평행선,thesomebodypain,"아직도 섣부른 그 판단 속에 
허우적거리고 있어 
이해할 수 없는 너의 그 눈빛들 
 
모든 게 실감은 앞서지 않고 
흐려만지는 우리 둘 
이제는 기억도 없어 그 어떤 것도 

I wish we don't
I wish we don't have any memory to share 
I wish we don't
I wish we don't know each other 

한켠엔 잘 됐단 생각이 들어 
후회하고 있진 않아 
돌아갈 마음도 내겐 더 없는 걸  

I wish we don't
I wish we don't have any memory to share 
I wish we don't
I wish we don't know each other  

우리 다신 볼 일 없길 
서로의 소식 듣지 않길 
지난 일 떠오르지 않길 
평행선처럼 마주치지 않길"
10,괜찮은 척,조곤,"거리엔 꽃이 피었고
하늘엔 달이 피었고
괜찮은 하루가 가네
그게 참 말이 안 되네
너의 목소릴 듣다가
너의 이름을 부르다
너의 하루가 궁금해져
결국 난 아아
괜찮은 척하며 하루를 살다
함께 걷고팠던 거리에
혼자 걷다가 걸을 수 없다가
그렇게 하룰 보냈네
궁금하지도 않은지
못다 한 우리 얘기가
넌 정말 괜찮은 걸까
괜찮은 척은 아닐까
괜찮은 척하며 하루를 살다
함께 걷고팠던 거리에
혼자 걷다가 걸을 수 없다가
그렇게 하룰 보냈네
꽃잎 같던 널 바라보던 나
바람에 날아갈까 걱정돼
손에 꼭 쥔 채 아픈 줄도 모른 채
그렇게 너를 보냈네
너를 하루 종일 기다릴 거면서
괜찮은 척을 해댔네"
11,흑백영화,삼점오,"너무 푹신하지 않은 소파에
눕진 않고 비스듬히 기대어

오후에 사놓은 전자레인지 팝콘과
흑백영화 한편을 보고 싶어

소파 뒤엔 윙윙거릴 프로젝터 
아마 그 소리도 영화의 일부 같겠지

중절모 쓴 남자 주인공과
머리띠 한 여자 주인공

이야기는 뭐가 되었든 상관없어 그냥
흑백영화 한편을 보고 싶어

너무 푹신하지 않은 소파에 
눕진 않고 비스듬히 기대어

오후에 사놓은 전자레인지 팝콘과
흑백영화 한편을 보고 싶어"
12,Too Good For Me,Gogang(고갱),"Maybe I'm I think I'm being punished
It's right
Because I I made you sad so bad
My mood is up and down
Up and down again and again
Took a deep breath then summer's
Come and gone twice
Lose my sight it's like
I'm holding my breath in dust
All these things around me
They just makes you more perfect
I think I should apologize
It's too late
But I still love to see your smile
A grain of sand I feel the universe
In this thing
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You know what
I've always been give up so easily
I was hiding in a lion's skin
When someone left
Oh look at me now I feel alive only
When I get hurt
Maybe I'm not grown up enough to see
In the empty hole
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You're so lovely lovely too good for me
You're so lovely too lovely to be alone
You're so lovely
You're so lovely
You're so lovely"
13,외줄타기,루시드폴,"떨려오는 마음 안은 채로
저기 까마득한 지평선으로
한 발 한 발 걸어가다 보면
나도 부채처럼 가벼울 수 있을까

개미 한 마리 나를 질러
달려 나가네

바람 거세게 불어와도
자유롭게
가볍게
걸어가는 너

사실 나는 
함께 가고 싶어

너의 등에 업힌 채로
너의 손을 잡은 채로
저 아래 너른 들판
혹은 깊은 바다
울고 싶을 때 울 수 있는
그런 곳 말이야

서리 내린 추운 밤이 오면
나를 꼭 안아줄 네가 필요해
조심스레 다가가려 해도
너는 쏜살처럼 달아날지도 몰라

나를 흔들리게 하는 건
내 몸의 무게

나를 얼마나 던져버리면
기분 좋게
솔직하게
걸을 수 있을까

사실 나는
함께 가고 싶어

우리 어깨 기댄 채로
우리 머리 맞댄 채로
저 하늘 흰 구름 속
혹은 깊은 숲 속
쉬고 싶을 때 쉴 수 있는
그런 곳 말이야"
14,Notebook,RIWOO,"뻥 뚫린 창문 앞에 뒷짐 져 노을을 보며
넌 항상 낯설어 하고 그러다 잠들기를 매번
깊숙이 어딘가 내 간절함에 기대해
네가 남긴 기억들 수백 번 들려주어야
우린
We fly to the anywhere like a bird
We never come back to home
We fly to the anywhere like a bird
We never come back to home
한 여름 날 우린 쪽배에 몸을 맡기고
갑자기 내린 비에 서로 더 뜨거워졌었지
깊숙이 어딘가 내 간절함에 기대해
네가 남긴 기억들 수백 번 들려주어야
우린
We fly to the anywhere like a bird
We never come back to home
We fly to the anywhere like a bird
We never come back to home"
