,노래제목,가수,가사
0,A Ok,Ola Village,"Haven't left this room in thirty days
The things I know now it's amazing
I've learned I have this thing called brain
Don't understand why I've escaped it for so long
We've just begun let's get to know each other
Like no one other
Have some fun
Forget everyone we don't wanna talk to
Don't wanna talk to you

Everything is A OK
Yeah, everything is OK
Everything is A OK

Haven't left this room in thirty days
The things I dream now, it is crazy
Me and Kanye West made lemonade
Got a little bit sad and then we cried for a while
But it was fun
Lemons in the sunlight
And the world was so quiet
Even though it was this once, this one time
I might be happy for the rest of my life


Everything is A OK
Yeah, everything is OK
Everything is A OK

Haven't left this room in thirty days
The things I know now it's amazing
I've learned I have this thing called brain
Brain, brain, brain, brain
Don't understand why I've escaped it

Everything is A OK
Yeah, everything is OK
Everything is A OK

Everything is A OK
Yeah, everything is OK
Everything is A OK"
2,"sunkissed (feat. pluto, lovemark)",NVTHVN,"You and I we're like fire and ice now
Face to face and I'm all jello slush wow
You have changed my whole world in an instant
Made me love all the parts that I didn't
And I wanted to tell you
that I may look away but
Don't get me wrong I really like your face 'cause
When we meet lips it's our sun kiss
Being with you so clearly dries up all the rain
Used to be so far from free
But when we're like this my darling
It's like sunshine all day
Didn't you feel the sun?
Sorry girl please forgive me if I stare
When I'm with you I lose all of my cares
Can you blame me you glow like the sunrise
Fall in love every time I look in your eyes
I'll try to be something wonderful to you
But with the way that you are
There's nothing I wouldn't do cause
When we meet lips it's our sun kiss
Being with you so clearly dries up all the rain
Used to be so far from free
But when we're like this my darling
It's like sunshine all day
And I'm not saying that I love you
But I know that I'm liking the view
If we take it slow we can intertwine
And make it bright like sunshine
When we meet lips it's our sun kiss
Being with you so clearly dries up all the rain
Used to be so far from free
But when we're like this my darling
It's like sunshine all day
How do you see right through?
And I know that you love me
when you look into my eyes
Don't need time cause you're all mine
And I hope that you want me
for the rest of your life
Oh oh oh oh
It's like sunshine all day"
3,Loving You Crazy,Josh Tobias(조쉬 토비아스),"I know you worry 'bout me baby
Feels like you want to worry me away
But I've gotten a stubborn heart
That would fall apart
The moment that
You walked away from me
Might say that I'm alright but ya
Don't know what
You're putting me through
Might as well tell the truth
It's something I need
Cuz' your love is amazing
I'm down on my knees
Darlin please save me
I'm willing to bleed
If it means that you'll stay with me
Cuz honestly I
I'm loving you crazy
I know you wish it could be simple
But love can be a complicated thing
Cuz I've got a restless mind
And I waste my time
Going 'round in circles in my dreams
Might say that im ok but you
Don't know what you mean to me
Baby can't you see
It's something I need
Cuz' your love is amazing
I'm down on my knees
Darlin please save me
I'm willing to bleed
If it means that you'll stay with me
Cuz honestly I
I'm loving you crazy
Just a little longer baby
This love is getting stronger baby
Can't tell you how long
I've been waiting for you
It's something I need
Cuz' your love is amazing
I'm down on my knees
Darlin please save me
I'm willing to bleed
If it means that you'll stay with me
Cuz honestly I
I'm loving you crazy"
4,cereals and milk,Oscar Anton,"Man's down you go
On a sunday afternoon
I owe you so
It's been fun but now I'm sure
There's no place for me
In these dreams or in between
Not now supposedly
Don't wake me up if you're leaving
Don't hesitate if you think
That cereals and milk won't change a thing
It makes sense to me
Don't wake me up if you're leaving
Don't hesitate if you think
That cereals and milk won't change a thing
It makes sense to me
Man's down you go On a sunday afternoon
I owe you so
It's all fun until you lose
It's so easy to be
Even slightly interested Once we fall asleep
I'm not used to it
But my heart is listening So next time
I doubt I will
Don't wake me up if you're leaving
Don't hesitate if you think
That cereals and milk won't change a thing
It makes sense to me
Don't wake me up if you're leaving
Don't hesitate if you think
That cereals and milk won't change a thing
It makes sense to me
Don't wake me up if you're leaving
Don't hesitate if you think
That cereals and milk won't change a thing
It makes sense to me
Man's down you go On a sunday afternoon
I owe you so"
5,all I need (Feat. gem),heyden,"I love you baby you are all I need
And I could give you all my love to you
Don't think that im gon leave you all alone
'Cause you're the only person that I need
I've been waiting for you to come hold me
Yeah you're the only person I need
I love you baby you are all I need
And I could give you all my love to you
Don't think that im gon leave
You're the only person
I just wanna be with you for my life
Don't go away
Yeah I can do anything for you even on Monday
I want you to be fine don't wanna say goodbye
And no one can replace you
You're the only one I need
I love you baby you are all I need
And I could give you all my love to you
Don't think that im gon leave you all alone
'Cause you're the only person that I need
I've been waiting for you to come hold me
Yeah you're the only person I need
I love you baby you are all I need
And I could give you all my love to you
Don't think that im gon leave
You're the only person
I love you baby you are all I need
And I could give you all my love to you
Don't think that im gon leave you all alone
'Cause you're the only person that I need"
7,LA Love,Transviolet(트랜스바이올렛),"Light explodes on diamonds painting prisms, 
spilling rainbows on the floor
Gold martini goddess sips on vodka 
while white collars stalk the girls,
And the big suits buy their
LA Love, burns like the summer sun
Only love you when you're someone
Only love you when you're someone
LA Love, hot like a loaded gun
Only love you when you're someone
Only love you when you're someone

Lounges buzz electric, 
low lit taverns sit back classy thick with smoke
Bar flies make impressions, hunt connections,
Laughing loud at dated jokes
Don't they all want that

LA Love, burns like the summer sun
Only love you when you're someone
Only love you when you're someone
LA Love, hot like a loaded gun
Only love you when you're someone
Only love you when you're someone
LA Love, burns like the summer sun 
LA Love, burns like the summer sun 
LA Love, burns like the summer sun 

LA Love, burns like the summer sun
Only love you when you're someone
Only love you when you're someone
LA Love, hot like a loaded gun
Only love you when you're someone
Only love you when you're someone

LA Love, burns like the summer sun
Only love you when you're someone
Only love you when you're someone
LA Love, hot like a loaded gun
Only love you when you're someone
Only love you when you're someone"
8,Softly,Clairo,"Is it alright to feel this way so early?
And in my blood
All the sweet nothings
Fallin' in love overnight
Didn't mean to get so close
And I know that I should probably go
But I got this feeling
Tell me girl I gotta know
Touch you softly
I call you up late at night
Know that it isn't right
But you could be my one and only
You get me in the mood
Know what I'm tryna do
Do you think that
We can move closer baby?
I want you yeah yeah
All my life been wanting this forever (Mmm)
And in my mind think of ways to ask you
Why don't you come over sometime?
Didn't mean to get so close
And I know that I should probably go
But I got this feeling
Tell me girl I gotta know
Touch you softly
I call you up late at night
Know that it isn't right
But you could be my one and only
You get me in the mood
Know what I'm tryna do (Oh)
Do you think that
We can move closer baby?
I want you yeah yeah
(Ooh)
And I don't care what they say
And I don't care what they say
Care what they say to me
I'm doing it differently
Baby I'm doing it differently"
11,Bad (Acoustic),Lennon Stella(레논 스텔라),"All the little gifts you gave
I call it overcompensating
Feeling just like a princess
Every answer was always yes
You had me living in a dream
Was forever long to you? 
Did you say that to her too?
Making sure that I’d never know
Callin' her while the shower goes
Then crawl back in bed, it's a shame

I probably should’ve known better
I probably should’ve known better
Every word you said
Yeah, you was sweet, but you was lying
Everything you covered up
Making up, just to keep me from crying

I wish that you woulda treated me bad
The truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad
I wish that you woulda treated me bad
Truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad

I wasn’t catching on to you 
Blinded by your lips, so smooth 
Excusing all of your 'gotta go's'
Leaving me to be all alone
Then you took my heart just the same

I probably should’ve known better
I probably should’ve known better
Every word you said, yeah, you was sweet, but you was lying
Everything you covered up, making up, just to keep me from crying

I wish that you woulda treated me bad
The truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad
I wish that you woulda treated me bad
Truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad

Tell me the truth
Was it worth it? Was I worth it for you?
'Cause we were perfect, we working 'til you
Forgot to tell me you been seeing someone else for six years

I wish that you woulda treated me bad
The truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad
I wish that you woulda treated me bad
Truth is, you couldn’t have loved me better
Now I’m left feeling twice as sad
I wish you woulda treated me bad, bad, bad"
15,Summer Rain,Josh Tobias(조쉬 토비아스),"In your arms
Is where I wanna be when the sun goes down
And our home seems so far
But driving down the interstate
Wind blowing in our face
Makes me realize
That in your eyes
I find my inner piece
I don't wanna wait until the storms rolls away
Cuz I wanna kiss you in the summer rain
You are the song I was born to sing
I'll sing it loud
I wanna remember every word you say
Don't wanna believe that love fades away
Now everytime a storm rolls our way
I think about us babe
Getting caught in the summer rain
Ooh getting caught in the summer rain
I know I can do things
That give you a migraine
Baby please believe
That it's only love
Took a little while to
Let the sun peak through
But after all these years
I finally realize
Come rain or shine
Our love will find a way
I don't wanna wait until the storms rolls away
Cuz I wanna kiss you in the summer rain
You are the song I was born to sing
I'll sing it loud
I wanna remember every word you say
Don't wanna believe that love fades away
Now everytime a storm rolls our way
I think about us babe
Getting caught in the summer rain
Ooh getting caught in the summer rain
Ooh
She my little baby always gonna be
Plenty other babies but she's all that I see
When we're lying all alone in the morning
Yah it dawns on me
Yah it dawns on me
I realize
Come rain or shine
Our love will find a way
I don't wanna wait until the storms rolls away
Cuz I wanna kiss you in the summer rain
You are the song I was born to sing
I'll sing it loud
I wanna remember every word you say
Don't wanna believe that love fades away
Now everytime a storm rolls our way
I think about us babe
Getting caught in the summer rain
Getting caught in the summer rain
Getting caught in the summer rain"
17,If you,heyden,"I used to be a loner in the backseat
Looking at my phone like I'm not listening
Ain't nobody call me on my phone
Nobody is gonna knocking on my door
You used to be a good girl in the backseat
Everybody loves you 'cause you're pretty
She's got lotta friends around her too
I can't even come close to her no
Where can I see your world 'cause I need
Something that holds me
I know we all get lonely
If you are falling I'll be here for you
Like you did for me when I was lonely
I used to be a loner in the backseat
Looking at my phone like I'm not listening
Ain't nobody call me on my phone
Nobody is gonna knocking on my door
You used to be a good girl in the backseat
Everybody loves you 'cause you're pretty
She's got lotta friends around her too
I can't even come close to her no
Where can I see your world 'cause I need
Something that holds me
I know we all get lonely
If you are falling I'll be here for you
Like you did for me when I was lonely
When I was lonely
If you didn't save me
Would've ran away from it
As long as you are here with me
Tried to find the best of me
And I'm glad you dragged me
Out of this dark for me
This one is just for you
I used to be a loner in the backseat
Looking at my phone like I'm not listening
Ain't nobody call me on my phone
Nobody is gonna knocking on my door
You used to be a good girl in the backseat
Everybody loves you 'cause you're pretty
She's got lotta friends around her too
I can't even come close to her no"
18,October Eyes,Alt Bloom,"[musical interlude]

All the lack of symmetry fits you so perfectly lady
Yes I fall with your clothes take em' off hold me close, baby

Those October eyes
Keep me up all night
Darling, my sunrise is when you go

If god spends extra time
Didn't waste a single dime on you
Bless your arms, Bless your breath
Singing songs to my chest as we dance the crowd away

Ah do do do do do
Ah do do do do do
Ah do do do do
Oooo... Oooo...

Say you hate your little nose
Girl, I love that little nose, always
The way you sway in those jeans means so damn much to me
Yeah, you do

Those October eyes
Couldn't hold one lie
Got my heart so wide
Like windows and stereos



If you are merry for a hangover
Put some gasoline into my motor
Girl Id buy a ring if I could afford to, right now
Yeah you are merry for a hangover
Put some gasoline up in my motor
Girl Id buy a ring if I could afford to, right now

October eyes
Ah do do do do do
Yeah
Those October eyes
Ah do do do do do
Mhmm yeah
Those October eyes
(you are merry for a hangover)
Ah do do do do do
(Put some gasoline up in my motor)
Those October eyes
(Girl Id buy a ring if I could afford to)
Ah do do do do do, you"
