,노래제목,가수,가사
0,Hard to get,entoy,"Said you play a little hard to get
And I bet it worked before but baby
Honestly I don't like this back and forth
I know you show me things
to make me think it's real
But you never really tell me how you feel oh
Hard to get
With me with me
What do you drink
What do you smoke
What do you do on Sundays alone
Is it all on you or do you have someone to hold
To tell you the truth
You ain't told me nothing at all
Said you keeping your distance from me
Then why do you text me cuz I ain't ya bestie
You know that it's more than nothin
Feel like ya test me
but that doesn't make me down
I see what you're doing
But hear me when I tell ya now
I already been through it
So you don't have to feel me out oh
I see what you're doing
But hear me when I tell ya now
I already been through it
So you don't have to feel me out
Said you play a little hard to get
And I bet it worked before but baby
Honestly I don't like this back and forth
I know you show me things
to make me think it's real
But you never really tell me how you feel oh
Hard to get
With me with me
What do you drink
What do you smoke
What do you do on Sundays alone?
Do you go for a drive maybe down to the coast?
Don't you think it would be better
if you did with somebody ya love
Your distance from me
Then why do you text me cuz I ain't ya bestie
You know that it's more than nothin
Feel like ya test me
but that doesn't make me down
I see what you're doing
But hear me when I tell ya now
I already been through it
So you don't have to feel me out oh
I see what you're doing
But hear me when I tell ya now
I already been through it
So you don't have to feel me out
Said you play a little hard to get
And I bet it worked before but baby
Honestly I don't like this back and forth
I know you show me things
to make me think it's real
But you never really tell me how you feel oh
Hard to get
With me with me"
1,i loved a boy,Thomas Headon,"I loved a boy he hated me
We barely speak he doesn't see like I do
But it's better anyway
I gave my all he hated that
Took him a while to text me back
What did I do?
But it's better anyway
But why can't you give me the time
Give me the time
Give me the time I need?
But why can't you give me the time
Give me the time
Give me the time I need?
I loved a boy he knew me well
First he was great could never tell
We'd be through in a month or two
I took a chance we weren't the same
What'd you expect? He ran away
They all do saying 'it's me not you'
But why can't you give me the time
Give me the time
Give me the time I need?
But why can't you give me the time
Give me the time
Give me the time I need?
Because it's easy to say 'it wasn't right'
Can you admit that you wasted my time?
But why can't you give me the time
Give me the time
Give me the time I need?
I loved a boy he was the one
Thought we would last forever
But now we're done"
3,Losin' Sleep,David Archuleta(데이빗 아출레타),"I been losing sleep over you
 Nothing works for me no matter what I do
 You been living rent-free in my head
 Now I'm tossing, turning in my queen-sized bed
 Maybe I was in too deep, that's on me
 You used to be the one that gave me peace, but
 Now I'm losing sleep over you
 Mmh-mmh-mmh-mmh

 Another night, another week
 Red eyes staring at a screen
 All the stupid scrolling, it doesn't help me close up
 And I know it, yeah, I know it
 So I turn off my phone and hit the melatonin
 Turn the lights off on my nightstand, yeah, I'm hoping
 That I can get some rest
 But I won't hold my breath

 I been losing sleep over you
 Nothing works for me no matter what I do
 You been living rent-free in my head
 Now I'm tossing, turning in my queen-sized bed
 Maybe I was in too deep, that's on me
 You used to be the one that gave me peace, but
 Now I'm losing sleep over you
 Mmh-mmh-mmh-mmh

 Now I'm losing my mind, my time
 Stuck here thinking maybe girl you really were
 Right to leave me, now it's eating me alive
 Hate being alone and too much melatonin
 You won't hit me back 'cause we ain't even friend-zoning
 Wish I could get some rest (yeah)
 But I won't hold my breath

 I been losing sleep over you
 Nothing works for me no matter what I do
 You been living rent-free in my head
 Now I'm tossing, turning in my queen-sized bed
 Maybe I was in too deep, that's on me
 You used to be the one that gave me peace, but
 Now I'm losing sleep over you
 Mmh-mmh-mmh-mmh

 Turn off the phone and hit the melatonin
 Turn the lights off on my nightstand, yeah, I'm hoping
 That I can get some rest
 But I won't hold my breath

 I been losing my sleep over you
 I been losing sleep over you"
4,Vanilla Sundae (feat. Olivia Nelson),Emily Burns,"Sunlight on the bed sheets
Your eyes looking heavy
Shit shows on the telly
But we don't mind we don't mind at all
Go halves on a whole piece
Sweet taste strawberry
No need for us to get ready
'Cause we treat time like a waterfall
But now I'm dreading every weekend
To start you're giving me the feeling
That I might never find another like you
I just need one more
Vanilla sunday with you
When we got nothing to do
But watch the day go by
So tell me did you want
One more vanilla sunday with me?
Then we can call it history
If that's what you really want
Skies grey in the morning
Eyes red tears are pouring
Blueberry monday is calling
So many things that I have to do
It's stormy weather
I can't forget ya
I tried know that I tried
So aren't you missing all the whispers?
You know you always made me shiver
But now the summer's never felt so cold
I just need one more
Vanilla sunday with you
When we got nothing to do
But watch the day go by
So tell me did you want
One more vanilla sunday with me?
Then we can call it history
If that's what you really want
Let's talk about it
Come let's talk about it now girl
I can't live without it
Please don't make me live without it girl
Don't wanna try another flavour I want you
'Cause I just need
I just really need one more
(I need I need)
Sweet vanilla sunday
I just need one more
Vanilla sunday with you
When we got nothing to do
But watch the day go by
So tell me did you want
One more vanilla sunday with me?
Then we can call it history
If that's what you really want"
5,Maybe Baby,Maye,"Maybe baby
Let's get lost in New York
I'll write you a voicemail ballad
Since you missed my call
It's the only way you'll have me
Have we met before?
Were we something more in another life?
Have you ever loved me?
I could feel it
If you ever kissed me
Would you mean it?
Maybe call me baby
Maybe baby maybe
Have you ever loved me?
I could feel it
If you ever kissed me
Would you mean it?
Maybe I'm just crazy for you maybe baby
Problem is you're the boy of my dreams
What if it's just a made up scene?
I'll deny it 'till death do its part
'Till you tell me you won't break my heart
You can't take my love from me
We can only let this be
Have you ever loved me?
I could feel it
If you ever kissed me
Would you mean it?
Maybe call me baby
Maybe baby maybe
Have you ever loved me?
I could feel it
If you ever kissed me
Would you mean it?
Maybe I'm just crazy for you maybe baby
Maybe baby
Maybe baby you can call me baby maybe
Maybe baby maybe"
6,ok time,corner club,"Can I see you this weekend?
We can sit and just stare at the ceiling
Oh I just wanna know what you're feeling, yeah ok

Are you free in the morning?
I was thinking of grabbing some coffee
There's a pretty good place around the corner and
I think we'll have an

[Hook]
Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill and have an

Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill

[Verse]
No, I can't come over
Think I'd rather just lay on my floor
But you're welcome to join me if you wanna hang somе more


Got a night full of reruns
But that could change if you ask mе nicely
I don't know what we're doing but stay with me
I promise we'll have an

[Hook]
Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill and have an

Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill

[Hook]
Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill and have an

Ok time, an ok time, an ok time, we'll be just fine
Don't worry about it
I'm chill
You're chill
We'll chill"
7,Carried Away (Love To Love),Surf Mesa,"It's like all this time
 I've been waitin' for you with my open eyes
 Scannin' the room for a peace of mind
 You look so good in this light
 It's like suddenly all that's important is in front of me
 Already know what we're gonna be
 You look so good in this light

 I love to love, I love all the ways
 I feel so much, I get carried away
 I love to love, I love to love

 I love to love, I love all the ways
 I feel so much, I get carried away
 I love to love, I just want to stay
 And get carried away, I get carried away
 Love, love, love, love
 Love, love, love, love
 Love, love, love, love (I love to love)
 I love to love, love, love, love

 I'm an open book
 Typically I feel misunderstood
 No one could know me the way you could
 No, I don't keep nothin' inside
 I believe in love like it's a fire, it's a feelin'
 It's a touch, it's a reason
 It's a light, it's a healin'

 I love to love, I love all the ways
 I feel so much, I get carried away
 I love to love, I just wanna stay
 And get carried away, I get carried away
 Love, love, love, love
 Love, love, love, love
 Love, love, love, love (I love to love)
 I love to love, love, love, love

 You look so good in this light
 I love to love
 I love to love

 I love to love, I love all the ways
 I feel so much, I get carried away
 I love to love, I just wanna stay
 And get carried away, I get carried away
 Love, love, love, love
 Love, love, love, love
 Love, love, love, love (I love to love)
 I love to love, love, love, love"
8,love you anyway,John K,"There's parts of you that you keep from me
Very deep too far down to reach
The skeletons that you're scared I'll see
So you keep running and running
And running from me
You tell me I shouldn't love you
Tell me I shouldn't fall
Show me all of your scars
And the beautiful parts
That you call your flaws
Tell me I shouldn't be here
But I don't care what you say ayy ayy
Darling watch me watch me
Watch me love you anyway
You tell me stories from your past (Oh yeah)
Think forever will never last (Oh oh)
Oh and I understand
If it's hard for you to trust
When you open your heart
And get hurt by someone
You tell me I shouldn't love you
Tell me I shouldn't fall
Show me all of your scars
And the beautiful parts
That you call your flaws
Tell me I shouldn't be here
But I don't care what you say ayy ayy
Darling watch me watch me
Watch me love you anyway
Darling watch me watch me
Watch me love you anyway
Oh oh oh oh oh oh oh ooh woah oh
Through the storm in your head
Let me be your shelter yeah
Put your heart in my hands
And your hand on my shoulder
Oh 'cause when I'm looking at you
I can see forever
So go ahead go ahead
And tell me I shouldn't love you
Tell me I shouldn't fall
Show me all of your scars
And the beautiful parts
That you call your flaws
Tell me I shouldn't be here
But I don't care what you say ayy ayy
Darling watch me watch me
Watch me love you anyway
Darling watch me watch me
Watch me love you anyway
Oh oh (Baby yeah)
Darling watch me watch me
Watch me love you anyway
Darling watch me watch me
Watch me love you anyway"
10,My Favourite Muse,ZUHAIR,"Girl I love you
And everything you do
I don't mind wasting time
If I'm wasting my time with you
Girl I love you
And everything you do
The world keeps passing by
But I don't really mind do you?
Girl I knew you had my heart
Right from the very start
I felt empty every time
We were apart
Know I'm always in the studio
But I just wanted you to know
I can't wait to come home to you
I hope one day I make it big
Not for the fortune or the fame
Not for the bling
Just so I can go out and buy you everything
Buy you a house and diamond ring
'Cause baby you deserve the sun and moon
You're the reason I smile girl
Every morning when I wake
When I look into your eyes now
I don't want to look away
Girl I love you
And everything you do
I don't mind wasting time
If I'm wasting my time with you
Girl I love you
And everything you do
The world keeps passing by
But I don't really mind do you?
Baby you're my favourite muse
I stopped believing in love
But you're the proof
You make me want to write
A million songs a day
But still I would have more to say
There just isn't enough words for you
I promise I'll catch every tear
You ever cry
And hold your hand through all the years
As they go by
Just know I'll always have your back
If you forget just play this track
And know that I'll always belong to you
In the summer you're my breeze girl
In the desert you're my rain
You're my sunrise and my sunset
The best part of my day
Girl I love you
And everything you do
I don't mind wasting time
If I'm wasting my time with you
With you
Even when all the seasons change
And our lives rearrange
Like they do
The one thing that'll stay the same
Is the I way I feel for you
We can go for a drive in my car
Or just stare at the stars
And the moon
Or we could
Spend the day
Tucked away
In my bed
Just as long as I'm here next to you
Girl I love you
And everything you do
I don't mind wasting time
If I'm wasting my time with you
Girl I love you
And everything you do
The world keeps passing by
But I don't mind do you?
Do you?"
13,I'll be there,entoy,"You fell asleep on the sofa
You try to wait up again
Oh you're always staying up for me
When you should be out with your friends
Half glass on the coaster
Like you're playing pretend
Oh it's nights like this that make me miss
The time we never spent
Oh I'll be home
When I get home Gone too long
But it's all in my head Like night follows the day
I know that you'll be there Keeping it close
Know that I'm set Won't let go
Oh it's all in my head Like night follows the day
I know that you'll be there Late night Long drive
I been staring at the headlights and it's So close
But it don't end
What I would do to be in your bed again
I say pray for the weekend
Long days stuck in the deep end
Your face oh I can see it I can see it
Oh I'll be home
When I get home Gone too long
But it's all in my head
Like night follows the day
I know that you'll be there Keeping it close
Know that I'm set Won't let go
Oh it's all in my head
Like night follows the day
I know that you'll be there
I say pray for the weekend
Long days stuck in the deep end
Your face oh I can see it I can see it
I say pray for the weekend
Long days stuck in the deep end
Your face oh I can see it I can see it
Oh I'll be home
When I get home Gone too long
But it's all in my head
Like night follows the day
I know that you'll be there Keeping it close
Know that I'm set Won't let go
Oh it's all in my head
Like night follows the day
I know that you'll be there"
