,노래제목,가수,가사
0,타,Stray Kids (스트레이 키즈),"올라타
타 타 타
Take me to the top
Hey 걱정은 버려
No more 고민해
항상 움츠려 있던 모습 다 던져 Hey
소리 질러 Like wow
이 분위기에 올라타
고심하는 건 치명타
그냥 다 내려놓고 모두
Chill out now
어물쩡 거리지 마 어디든 왔다 갔다 해도
다 상관없어
한 길만 보이던 경주마처럼
달리던 내가
경로 이탈했어
어디로 가든 걍 해
어물쩡 대면 방해
걍 달려 like Bolt 내 발이 가는 대로
직진하지 유턴은 다음에
Nanana na nanana
Nanana na nanana
다다다 다 다다다
모락 모락 타올라
복잡한 것들은 Throw it out
불안도 이제는 귀찮아
불타는 기세를 몰아
모락모락 타올라
올라타
타 타 타
Take me to the top 올라타
타 타 타
Take me to the top 올라타
올라타올라올라타올라올라타올라
타 타
올라타올라올라타올라
타 타
올라타올라올라타올라올라타올라
타 타
올라타올라올라타올라
타
올라타
맞는 길을 찾아 삼만리를 떠나
역시나 집 나가면 개고생
삼만리 가는 길에 보인 길 참 많지
이젠 보고 지나치기 잘 못 해
산을 넘어 강을 넘어 먼 곳만 바라만 보다가
10리 앞도 못 봤던 날
다 뒤로하고 요 앞에 있는 것부터
한둘씩 즐겨 볼까나
난리 날 리 없어 난리법석 할 리 없어
아리까리 왔다리 갔다리 와리 가리
털어 넘어져도 먼질 털고
일어나서 다시 걸어
Nanana na nanana
Nanana na nanana
다다다 다 다다다
모락모락 타올라
복잡한 것들은 Throw it out
불안도 이제는 귀찮아
불타는 기세를 몰아
모락 모락 타올라
올라타
타 타 타
Take me to the top 올라타
타 타 타
Take me to the top 올라타
Let's ride fly high
꽉 잡아 놓치기 전에
Let's ride fly high
저 하늘 보면서 가 가 가
Let's ride fly high
이 기회 놓치기 전에
Let's ride fly high
무거운 짐을 다 내려놔
Take me to the top 올라타
타 타 타
Take me to the top 올라타
Take me to the top
올라타올라올라타올라올라타올라
타 타
올라타올라올라타올라
타 타
올라타올라올라타올라올라타올라
타 타
올라타올라올라타올라
타
올라타"
1,Hot Pink,EXID,"U I Like The Way U Pink It 
U I Like The Way U Pink It 
Everybody Knows

PINK (HOT) PINK (HOT) 
PINK (HOT) PINK (HOT) 
HOT HOT HOT HOT PINK 
PINK (HOT) PINK (HOT) 
나나나나나나나
여기있는 모두가 똑같은 색이야 
네가 볼 때?
사실 그렇게 보고싶은거지 
내가 볼땐
나는 어떤 색 같니? 
네가 봐도 조금 다르지 않니? 난 
더가까이 와서 맘을 좀 열어봐 Oh

너 빼고 다 아는 내 깔롱 
네가 어디에서도 경험 못할 내 Color
Push Push Work It Out 
Don’t Stop Hey! Work It Out
불 보듯 뻔한 네 말로 
이런건 어디도 없지 빨주노초파남보
Push Push Work It Out 
Never Stop It Girl Work It Out

시간이 갈수록 불안해져가 
그냥 이대로 날 지나칠까봐
아직 네가 보지 못한게 많은데 
그걸 왜 자꾸 너만 몰라 
Everybody Knows 

PINK (HOT) PINK (HOT) 
넌 듣도 보도 못한 
PINK (HOT) PINK (HOT) 
내가 바로 그 유명한 
HA HA HA HOT PINK 
네 눈 돌아돌아돌아 돌아갈걸
PINK (HOT) PINK (HOT) 
나나나나나나나

비가 떨어지고 네 안에 번지듯 
아무도 몰래 물들여 줄래 
두눈을 감고서 그냥 느껴도돼 
곁에 있을게 널 위해서

그냥 한번 속는 셈 치고 날 들여다봐 
다시 눈 비비고 Yeah~
Push Push Work It Out 
Don’t Stop Hey! Work It Out 
이런건 첨이지 환영해 어서와 
Hot Pink Hot Hottie Hottie Hot So Hot
Push Push Work It Out 
Never Stop It Girl Work It Out

이 밤이 갈수록 지쳐가는 나 
그냥 이제 널 놔버릴까봐
아직도 가슴에 뭔가 남았는데 
그걸 왜 자꾸 너만 몰라
Everybody Knows

PINK (HOT) PINK (HOT)
넌 듣도 보도 못한
PINK (HOT) PINK (HOT)
내가 바로 그 유명한
HA HA HA HOT PINK 
네 눈 돌아돌아돌아 돌아갈걸
PINK (HOT) PINK (HOT) 
나나나나나나나

낯 뜨겁게 네 눈이 부시게
오에오에오 오에오에오 
조심스럽게 조금더 민감하게 
오에오에오 나나나나나나나"
2,Blue Flame (2023 Ver.),LE SSERAFIM (르세라핌),"I'll like it I'll like it like that

I'm feeling something 난 홀린 듯이
아득히 어지러운 눈부심
안갯속으로 날 이끄는 힘
Even 불꽃보다 뜨거운 blue

제멋대로 춤을 추다 사라지고
I'll like it I'll like it like that
어지럽던 푸른빛은 화려해져

손 데일만큼 뜨겁도록 타올라 더
경계를 넘어 펼쳐지는 unknown 저 끝까지
무료했던 날이 제법 아름다워
타오른 이상 멈출 수는 없어 my desire

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction

Unknown 두려움에 감춰 있던 베일이
이 어둠이 시야를 벗어나 glow
저기 너머에 뭐가 있든지
푸른 호기심일 뿐인걸

제멋대로 춤을 추다 사라지고
I'll like it I'll like it like that
어지럽던 푸른빛은 화려해져

손 데일만큼 뜨겁도록 타올라 더
경계를 넘어 펼쳐지는 unknown 저 끝까지
무료했던 날이 제법 아름다워
타오른 이상 멈출 수는 없어 my desire

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction

무너지는 limit 기분은 so thrilling
깊이 나를 파고들어
처음 본 순간부터 이끌린
오묘한 색의 빛 속
기다린 듯 now I'm burning
눈부시게 shine

손 데일만큼 뜨겁도록 타올라 더
경계를 넘어 펼쳐지는 unknown 저 끝까지
무료했던 날이 제법 아름다워
타오른 이상 멈출 수는 없어 my desire

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction

Will-O' The-Wisp babe
Oh baby It's blue flame
Will-O' The-Wisp babe
That that that is faction"
3,Fire,2NE1,"I go by the name of CL of 21
It’s been along time comin’ 
But we're here now 
And we bout to set the roof on fire baby
You better get yours cuz I’m getting mine

E E E E E E E 2NE1
E E E E E E E You got the ring the alarm
E E E E E E E We're 2NE1
E E E E E E E Hey Hey Hey Hey

Come in come in come in 다른 세상으로 
지겹기만한 고민은 이제 등을 지고 
라라라라 가식없는 나의 콧노래로 
하하하하 다신 널 비웃지 못하도록 

Now let’s 춤을 춤을 춤을 춰요 wanna get down?
보다 큰 꿈을 꿈을 꿈을 꿔 세상은 내 맘대로 
다 할 수 있기에 큰 자유를 위해 tonight tonight oh

내 눈빛에 빛나는 별들도 
내 심장속을 태우는 저 불빛도 
영원하진 않겠지 but 잃을건 없지 Oh

난 미미미미미미미치고싶어 
더 빨리 뛰뛰뛰뛰뛰뛰뛰뛰고싶어
저 높은 빌딩 위로 저 푸른 하늘 위로 
크게 소리리리리리리리 치고싶어

You got that fire 나의 가슴을 쿵쿵쿵
You gotta drop it like its hot 지금 멈추려하지마 
Ooooh that fire 내 머리속을 붐붐붐
I gotta drop it Like its hot 멈추려하지마

Get up get up get up 몇 번 넘어져도
믿었던 세상이 날 또 다시 배신해도 
나나나난 절대 울지않아 바보처럼
엄머머머 내숭 떨지마라 남들처럼 

내가 저 끝까지 데려갈게 Follow Follow me
숨이 차오를 만큼 달려주는 나의 가슴이 
왠지 나 싫지만은 않아 재밌죠
겁내지 마라 Let it go
보다 더 나은 내일로 Let let let let let let’s go 

내 눈빛에 빛나는 별들도 
내 심장속을 태우는 저 불빛도 
영원하진 않겠지 but 잃을건 없지 Oh

난 미미미미미미미치고싶어 
더빨리 뛰뛰뛰뛰뛰뛰뛰뛰고싶어
저 높은 빌딩 위로 저 푸른 하늘 위로 
크게 소리리리리리리리 치고싶어 

E E E E E E E 2NE1
E E E E E E E You got the ring the alarm
E E E E E E E We're 2NE1
E E E E E E E

머리가 찰랑찰랑찰랑찰랑 되도록
엉덩일 살랑살랑살랑살랑 흔들어
머리가 찰랑찰랑찰랑찰랑 되도록
엉덩일 살랑살랑살랑살랑 흔들어

미미미미미미미치고싶어 
더빨리 뛰뛰뛰뛰뛰뛰뛰뛰고싶어
저 높은 빌딩 위로 저 푸른 하늘 위로 
크게 소리리리리리리리 치고싶어

언제나 오늘처럼만 자유롭고 싶어"
4,So Hot,원더걸스,"JYP
And the wonder girls
we're back

왜 자꾸 쳐다보니 왜 에 에
내가 그렇게 예쁘니 이 이 
아무리 그렇다고 그렇게 쳐다보면
내가 좀 쑥쓰럽잖니 이 이

내가 지나갈 때 마다 아 아
고갤 돌리는 남자들 을 을
뒤에서 느껴지는 뜨거운 시선들
어떻게 하면 좋을지 이 이

I'm so hot   난 너무 예뻐요
I'm so fine  난 너무 매력있어
I'm so cool 난 너무 멋져
I'm so so so hot hot

언제나 나를 향한 눈길들이 이
항상 따라오는 이 남자들이 이
익숙해 질 때도 된것같은데
왜 아직 부담스러운지 이

조용히 살고 싶은데 에 에
다른 여자애들 처럼 엄 엄
엄마는 왜 날 이렇게 낳았어
내 삶을 피곤하게 하는지

I'm so hot   난 너무 예뻐요
I'm so fine  난 너무 매력있어
I'm so cool 난 너무 멋져
I'm so so so hot hot

I'm so hot   난 너무 예뻐요
I'm so fine  난 너무 매력있어
I'm so cool 난 너무 멋져
I'm so so so hot hot

 
Everybody's watching me
Cause I'm hot hot
Everybody's wanting me
Cause i'm hot hot
언제나 어디서나
날 따라다니는
이 스포트 라이트 
어딜 가나 쫓아오지
식당 길거리 까페 나이트
도대체 얼마나 나일 들어야
이놈의 인기는 식으러 들지 원
섹시한 내 눈은 고소영
아름다운 내 다린 좀 하지원
어쩌면 좋아 
모두 나를 좋아하는것 같애 oh no
Please leave me alone
All the boys be loving me
Girls be hating me
They will never stop
Cause they know I'm so hot hot

I'm so hot   난 너무 예뻐요
I'm so fine  난 너무 매력있어
I'm so cool 난 너무 멋져
I'm so so so hot hot"
5,불장난,BLACKPINK,"우리 엄만 매일 내게 말했어
언제나 남자 조심하라고
사랑은 마치 불장난 같아서 
다치니까 Eh

엄마 말이 꼭 맞을지도 몰라 
널 보면 내 맘이 뜨겁게 달아올라
두려움보단 널 향한 끌림이 더 크니까 Eh

멈출 수 없는 이 떨림은
On and on and on
내 전부를 너란 세상에
다 던지고 싶어

Look at me look at me now
이렇게 넌 날 애태우고 있잖아
끌 수 없어 

우리 사랑은 불장난

My love is on fire
Now burn baby burn
불장난
My love is on fire
So don’t play with me boy
불장난

Oh no 난 이미 멀리 와버렸는걸
어느새 이 모든 게 장난이 아닌 걸

사랑이란 빨간 불씨
불어라 바람 더 커져가는 불길
이게 약인지 독인지 우리 엄마도 몰라 
내 맘 도둑인데 왜 경찰도 몰라

불 붙은 내 심장에 더 부어라 너란 기름		
kiss him will I diss him I don’t know but I miss him
중독을 넘어선 이 사랑은 crack
내 심장의 색깔은 black

멈출 수 없는 이 떨림은
On and on and on
내 전부를 너란 불길 속으로
던지고 싶어

Look at me look at me now
이렇게 넌 날 애태우고 있잖아
끌 수 없어 

우리 사랑은 불장난

My love is on fire
Now burn baby burn
불장난
My love is on fire
So don’t play with me boy
불장난

걷잡을 수가 없는 걸
너무나 빨리 퍼져 가는 이 불길

이런 날 멈추지 마
이 사랑이 오늘 밤을 태워버리게 whooo"
6,Tiny Riot,Sam Ryder,"There's a feeling there's a fire
There's a whisper preaching to the choir
Take the leaders and the liars
Throw your fears on the funeral pyre
Keep on breathing don't go under
Keep your ear to the ground
Hear the thunder
When the earth quakes and the ground shakes
Throw your passion
To the wind when the storm breaks
Mother sister father brother
Step into the light and
Start a tiny riot
Stop being so goddamn quiet
Got a spark in your heart so strike it
Crush your way up here
Turn the pouring rain to a tidal wave
And fight it
Got something inside don't hide it
Like dynamite ignitin'
Crush your way up here
Turn the pouring rain to the wave
Of a tiny riot
Take the music learn to use it
Turn it up 'til your speakers blow fuses
Learn the rhythm but never lose it
Keep on moving 'til
You know what the truth is
If butterflies can use
Their wings to turn the wind to hurricanes
You and I can break the chains
It takes a day to
Start a tiny riot
Stop being so goddamn quiet
Got a spark in your heart so strike it
Crush your way up here
Turn the pouring rain to a tidal wave
And fight it
Got something inside don't hide it
Like dynamite igniting
Crush your way up here
Turn the pouring rain to the wave
Of a tiny riot
In the darkness there's a light
You can find it if you try
If you open up your eyes
If you're drifting out to sea
You can just hold on to me
We'll make it to the other side
And start a tiny riot
Stop being so goddamn quiet
Got a spark in your heart so strike it
Crush your way up here
Turn the pouring rain to a tidal wave
And fight it
Got something inside don't hide it
Like dynamite ignitin'
Crush your way up here
Turn the pouring rain to the wave
Of a tiny riot
Oh yeah good God I'm
Crush your way up here
Turn the pouring rain to a tidal wave
And fight it
Got something inside don't hide it
Like dynamite ignitin'
Crush your way up here
Turn the pouring rain to the wave
Of a tiny riot"
7,맛 (Hot Sauce),NCT DREAM,"Hot sauce 깊이 Dip that eh
날 따라 넌 Twist that eh
Hot sauce 타오를 때 Ooh
입맛대로 골라 Ma dish
넌 뭐가 궁금해
나는 너만의 Chef
이건 너를 위한 Plate
Yeah 내가 맛 보여 줄게
시간은 충분해 지금 우리
눈치도 보지 마 그저 Taste it
내 비법은 색다른 Spicy
살짝만 스쳐도 정신없지
설탕이 발린 맛엔
이내 질리기 쉬워
뜨거운 나의 Feelin'
지금 느꼈지 넌
너와 내 사이 선명히 보인
커져만 가는 열기
난 오감을 깨워 네 맘을 깨워
터질 것만 같은 Ma skill
골라 Ma dish
골라 Ma dish
골라 Ma dish
Hot sauce 깊이 Dip that eh
날 따라 넌 Twist that eh
Hot sauce 타오를 때 Ooh
입맛대로 골라 Ma dish
아예 방심 하지마
Uh 빈틈이 없을 테니까
Yeah 넌 자극적인 내 감각
Ooh 가능하겠니 감당 Nope
Yeah yeah 버틸 턱이 없잖아 nah
긴장을 더 풀고서 넌
Bon appetit now that's right
주체 못 해 자꾸 빠져드는 맛
Cuz you can't stop
난 끝까지 Get ya
찾게 될 걸 Every day
(And every night)
중독돼 이미 넌
네 맘을 더 섞어놔
(이젠 남김없이)
계속 원하게 돼
어지런 머리 네 두 손발이
이끌려 내게 이미
좀 더 자극적일 매 순간들이
강렬해 What we gon' eat
골라 Ma dish
(I'm the one
What you want
What you want
What you want ah ya)
골라 Ma dish
(I'm the one
What you want
What you want
What you want ah ya)
골라 Ma dish
Hot sauce 깊이 Dip that eh
날 따라 넌 Twist that eh
Hot sauce 타오를 때 Ooh
입맛대로 골라 Ma dish
너를 삼켜버린 Feelin'
사로잡은 이런 끌림
뗄 수가 없잖아
좀 더 깊이 빠져들 때
원해 원해 원해봐 더 Babe
얼마든지 더 바래 바래 Babe
너의 혀끝 위로 아른거릴
완벽해진 맛을 즐겨
You want it babe
(I'm the one
What you want
What you want
What you want ah ya)
골라 Ma dish
(I'm the one
What you want
What you want
What you want ah ya)
골라 Ma dish
Hot sauce 깊이 Dip that eh
날 따라 넌 Twist that eh
Hot sauce 타오를 때 Ooh
입맛대로 골라 Ma dish"
8,SuperCharger,NINTYSIX,"Eh eh eh I got a kick
Movin' so quick 남다른 Action
My energy lit 놀라기는 일러
Ay you'd better watch this
Oh 잠시 두 눈을 뗀 사이
후회하게 될 테니 (See)
심장에 가득 채운 Fuel (Fuel)
쏟아낼수록 더 차오르는 중
가늠할 수 없는 끝 Ooh
중력 따윈 없는 것처럼
Only going up
가슴속에 뜨거운 Fire
전부 불태워
끝없이 Fill me up 지칠 줄 모르는 Pace like
Full power 차올라 Everyday night
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
Full power 타올라 Everyday night
I'm plugged in I'm fire up
매 순간 I'm fully charged yeah
끝없이 치솟는 Tension
눈금을 넘겨 Over hunnit
Moving so fast Are you moving in slow mo?
한계는 없어 올라가는 속도
Just hit a boost yeah I'm blowing out NITRO
When I pull up cameras flash like a light show
Ay Full Charged now 220V PLUG on me now
찌릿한 전기를 타고 Rollercoaster ride
Can't you feel huh?
BOOST UP SPEAK UP
도무지 가늠이 안 가는 속도 Yeah
안 멈춰 고장 난 Break
가장 높은 곳보다 Higher
I keep going up
내게 적당히란 건 없어
전부 불태워
끝없이 Fill me up 지칠 줄 모르는 Pace like
Full power 차올라 Everyday night
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
Full power 타올라 Everyday night
매 순간에 후회 없이
내 안에 담긴 모든 걸 쏟아내
뜨거운 심장 쉼 없이 차올라
잠시라도 빈틈은 없을 테니 Nah nah
Hey 거침없이 I move
꿈을 이룰 때까지 No no
연료 가득 채우고
그 누가 나를 막아도
달려가 지금 이대로 Huh
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
SuperCharger Super SuperCharger
SuperCharger Super That's right
끝없이 Fill me up 지칠 줄 모르는 Pace I'm
Full power 차올라 Everyday night
SuperCharger Super SuperCharger
SuperCharger Super That's right"
9,Love Runs Out,OneRepublic(원리퍼블릭),"I'll be your light, your match, your burning sun
I'll be the bright and black that's making you run
And I feel alright, and we'll feel alright
'Cause we'll work it out, yeah we'll work it out
I'll be doin' this, if you ever doubt
'Til the love runs out, 'til the love runs out

I'll be your ghost, your game, your stadium
I'll be your fin, deep down, entrapped like one
And I feel alright, and I feel alright
'Cause I worked it out, yeah I worked it out
I'll be doin' this, if you ever doubt
'Til the love runs out, 'til the love runs out

I got my mind made up and I can't let go
I'm killing every second 'til it sees my soul
I'll be running, I'll be running
'Til the love runs out, 'til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out, 'til the love runs out

There's a maniac out in front of me
Got an angel on my shoulder, and Mephistopheles
My momma raised me good, momma raised me right
Momma said ""do what you want, say prayers at night""
And I'm saying them, cause I'm so devout
'Til the love runs out, 'til the love runs out, yeah

I got my mind made up and I can't let go
I'm killing every second 'til it sees my soul
I'll be running, I'll be running
'Til the love runs out, 'til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out, 'til the love runs out

Ooh, we all want the same thing
Ooh, we all run for something
Oh for God, for fate
For love, for hate
For gold, and rust
For diamonds, and dust

I'll be our light, your match, your burning sun
I'll be the bright and black that's making you run
I got my mind made up and I can't let go
I'm killing every second 'til it sees my soul
I'll be running, I'll be running
'Til the love runs out, 'til the love runs out
And we'll start a fire, and we'll shut it down
'Til the love runs out, 'til the love runs out

I'll be your light, your match, your burning sun
I'll be the bright and black that's making you run
And I feel alright, and we'll feel alright
'Cause we'll work it out, yeah we'll work it out
And we'll start a fire, and we'll shut it down
'Til the love runs out, 'til the love runs out
'Til the love runs out"
