,노래제목,가수,가사
0,Too Hurt To Fall In Love,Lauren Spencer-Smith,"Showed up at my house at 8 o'clock
You brought me flowers, looking all dressed-up
It's just like a movie, my favorite scene
I never thought this would happen to me
Hope my broken heart won't mess it up

I take a breath and count to three
Two, three

I don't want to overthink it all
I don't want to ask for reassurance when you call
I keep asking stupid questions, you have only good intentions
I don't want to overthink it all
But what if I'm too hurt to fall in love?

Guess I got dramatic around 10 p.m.
Picking fights and acting like a child again
Yeah, that's classical me, yeah, I'm too sensitive
While you're tryna build, I'm just burning the bridge
Think I don't deserve a happy end

Take a breath and count to three
Two, three

I don't want to overthink it all
I don't want to ask for reassurance when you call
I keep asking stupid questions, you have only good intentions
I don't want to overthink it all
What if I'm too hurt to fall in love?

Why am I so scared to fall in love?

'Cause I don't want to overthink no more
And I don't want to ask for reassurance when you call
I keep asking stupid questions, you have only good intentions
I don't want to overthink it all
But what if I'm too hurt to fall in love?"
2,unwanted,Camylio,"New York city in a silk dress
Ordered champagne, 
but you couldn't care less
Stone-cold stare in the candlelight
You didn't want to talk, 
but you wanted to fight

There was somewhere else
that you wanted to be  mmm...

I didn't know where
But it wasn't with me

I don't know how to give you up
You knew I'd never been in love
You showed me what I had to lose
and  hurt me when I trusted you
Now I'm broken no good to anyone
With a heart that you left haunted
It's bad enough to be unloved
But it's worse to be unwanted

Seafoam eyes
Said the water was safe
The devil in disguise had a poker face
I believed it all, every word you said
The wave in crashed now the dream is dead

I know there's somewhere else
 that you wanted to be
I didn't know where
But it wasn't with me

I don't know how to give you up
You knew I'd never been in love
You showed me what I had to lose
Then hurt me when I trusted you
Now I'm broken, no good to anyone
With a heart that you left haunted
It's bad enough to be unloved
But it's worse to be unwanted

I know there's somewhere else
 that you wanted to be  mmm
I didn't know where
But it wasn't with me

I don't know how to give you up
You knew I'd never been in love
You showed me what I had to lose
Then hurt me when I trusted you
Now I'm broken no good to anyone
With a heart that you left haunted
It's bad enough to be unloved
But it's worse to be unwanted"
3,Sorry For The Drama,Zoë Wees,"So-so-so sorry, Mum, sorry for all the drama

No, I've never seen
The sunset from the other side of the world
No, I've never been
Where they play 'round with the diamonds and pearls
Went to school wearin' fake-ass Timbs, had everybody starin'
Two-dollar shades so no one sees me cryin'
These tears
'Cause I was tired walkin' 'round fakin' smiles

Drove a car that you couldn't afford
I'm so jealous 'cause they had it all

We were never rich kids, rich kids
And always had a wish list at Christmas
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, I'm sorry for all the drama
Different, different
I probably should've listened, listened
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, I'm sorry for all the drama

I wanted something
Saw the tears rollin' down into your purse
Just wanted to fit in
I didn't know how bad it all hurt
And yeah, I was sick in school, no daddy's in the pictures
On the walls, I struggled with my demons
I'm scared
We won't make it to the other side of the world

We were never rich kids, rich kids
And always had a wish list at Christmas
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, I'm sorry for all the drama
Different, different
I probably should've listened, listened
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, I'm sorry for all the drama

We were always goin' somewhere
Though it feels like we've been nowhere
We were always goin' somewhere
(And I'm so-so-so sorry, Mum, I'm sorry for all the drama) Ohh
We were always goin' somewhere
Though it feels like we've been nowhere
We were always goin' somewhere
(And I'm so-so-so sorry, Mum, I'm sorry for all the drama)

We were never rich kids, rich kids
Always had a wish list at Christmas
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, sorry for all the drama
Different, different
I probably should've listened, listened (So sorry, so sorry, so sorry)
I thought that I was missin' somethin'
And I'm so-so-so sorry, Mum, I'm sorry for all the drama

And I'm so-so-so sorry, Mum, I'm sorry for all the drama (I'm sorry)
And I'm so-so-so sorry, Mum, I'm sorry for all the drama"
5,Empty Room,Jamie Miller,"You've got all the time in the world
until you don't
I was betting on forever,
but forever comes and goes
Never thought I'd have to know you
as a memory
Now I'm rehearsing all the things
I'd say if you were in front of me
I'd tell you that I love you,
I miss you, I wish you were here
Maybe if I shout it loud enough,
you might hear
I'll talk to the walls, I'll tell them the truth
Have a heart-to-heart with the ceiling
'Cause I can't with you
I got all this love
but what good does it do
If I'm all alone so I'll scream it
to this empty room
Hoping it'll get to you
I think I heard the curtains
whispering your name
And the pain it started running
like the tears across my face
And I don't know if it's helping
but I don't think God can help it
'Cause there's a million things
I didn't care to say
Like how much I love you,
I miss you, I wish you were here
Maybe if I shout it loud enough, you'll appear
So I'll talk to the walls,
I'll tell them the truth
Have a heart-to-heart with the ceiling
'Cause I can't with you
I got all this love
but what good does it do
If I'm all alone so I'll scream it
to this empty room
Hoping it'll get to you
I don't know where you are
But I know that a little bit of you's in
Every part of me
I don't know where you are
But I hope that a little bit of you is
Out there missing me
I'll talk to the walls, I'll tell them the truth
Have a heart-to-heart with the ceiling
'Cause I can't with you
I got all this love and it's probably no use
But I'm all alone so I'll scream it
to this empty room
Hoping it'll get to you"
6,One More Day,Michael Schulte,"Yesterday I couldn't get me outta bed
It's just too much to take
Felt this weight. It's crushing me inside my chest
Someone take the pain away

My mind would race
When it's getting late
It keeps me awake
What I can't change

If I had one more day I would call you
Tell you that I need you here by my side
If we had one more day I'd be running and
Running just to buy a little more time
A little more time

Memories of us they start to slowly fade
Straight outta my view
I always try my best to take it day by day
Remembering you

If I had one more day I would call you
Tell you that I need you here by my side
If we had one more day I'd be running and
Running just to buy a little more time

I would trade a couple years of mine
Just to have a little bit more time
If we had one more day I'd be running and
Running just to buy a little more time
A little more time

I need a little more time

If I had one more day I would call you
Tell you that I need you here by my side
If we had one more day I'd be running and
Running just to buy a little more time

If I had one more day I would call you
Tell you that I need you here by my side
If we had one more day I'd be running and
Running just to buy a little more time

I would trade a couple years of mine
Just to have a little bit more time
If we had one more day I'd be running and
Running just to buy a little more time
A little more time"
7,Miracle (Piano Version),Tors,"Oh oh 

so bittersweet
Yeah well she comforts me
I  , I I'm right between
Holy and the edge of the water
Sleeping on her backseat
People walking past me
I was never someone
Who could turn out the lights
I wonder why
Oh oh oh in my dreams
Yeah well she comforts me
They say it's a work of art
Every time I fall apart
But it can get so lonely
Oh I've been waiting for a miracle
Maybe I'm maybe I'm too late
I got so scared I might have missed it all
Lately I'm starting to lose faith
Every second I wait every minute I try
Every hour I waste a day goes by
Oh I've been waiting for a miracle
Maybe I'll make it there someday
Oh oh I leave tonight
Drive through the warning signs
Cold wind to keep my eyes
Open till I get where I'm going
I'm not gonna slow down
Till I see my home town
Reflected in the mirror like a light in the sky
I know this time
Oh oh I won't think twice
Drive through the warning signs
They say it's a work of art
Every time I fall apart
But it can get so lonely
Oh I've been waiting for a miracle
Maybe I'm maybe I'm too late
I got so scared I might have missed it all
Lately I'm starting to lose faith
Every second I wait every minute I try
Every hour I waste a day goes by
Oh I've been waiting for a miracle
Maybe I'll make it there someday
Morning light
Now I understand why nothing ever happens
Overnight that's alright

Somebody save me with a miracle
Maybe I'm maybe I'm too late
I got so scared I might have missed it all
Lately I'm starting to lose faith
Every mess that I made every fix that I tried
Every hour I waste a day goes by
Oh I've been waiting for a miracle
Maybe I'll make it there someday"
8,Nitty Gritty,LOVA,"I know your go to food and your fancy zip code
That you got two brothers and you're in the middle
I know what made you smile as a child
And that you never eat your pickles
But wish the deeper things were just as simple

'Cause you go quiet
Or make dumb jokes
In the hot seat
You can't help but go so cold
But I insist
Let me in

If you gon' be with me
Move out from the city
Still love me in your sixties
When looks won't keep us busy no more
You gotta drop the pretty
Hit me with the nitty gritty
And I won't love you any less
Come get it off your chest
Just hit me with the

Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty

There's no red flag Imma find too scary
There'll be no baggage I won't help you carry
I'll be your designated driver, yeah
I'll take you home if you just let me
'Cause if we split the weight it's not as heavy

Don't go quiet
No more jokes
There's no hot seat
I just want to get to know you
I insist
Let me in

If you gon' be with me
Move out from the city
Still love me in your sixties
When looks won't keep us busy no more
You gotta drop the pretty
Hit me with the nitty gritty
And I won't love you any less
Come get it off your chest
Just hit me with the

Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty

Hit me with the traumas, how you're scared of being lonely
Hit me with the bad parts from your childhood then come hold me
Tell me bout you crises, no more secrets no surprises anymore
If you walk through this door

You gon' be with me
Move out from the city
Still love me in your sixties
When looks won't keep us busy no more
Boy I know you're pretty
But hit me with the nitty gritty
And I won't love you any less
Come get it off your chest
And hit me with the

Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty
Nitty gritty"
10,If A Tree Falls,Sophie Rose,"I've been getting good
At saying that I'm good
Saying what I should
Thinking that it could be bad for me
I've been watching time
Thinking that with time
I'll be finally fine
Now I'm thinking time just passes me
'Cause I've been in this town
Yeah I've been in this house
But it's not feeling like home
I've got people 'round
Yeah I've got people 'round
But I'm still feeling alone
If a tree falls and nobody can hear it
Did it even make a sound?
Breaking my heart but nobody else feels it
Tell me am I better now?
'Cause I go out in my best dress
Smile more talk less
Make 'em think I'm better now
They don't see me in my bed at 3pm and
Wishing I was better now
Looking at my face
Putting on my faith
Who am I today
Push myself away so happily
I'm all out of prayers
Hands up in the air
Do I even care
If there's someone out there listening
'Cause I've been in this town
Yeah I've been in this house
But it's not feeling like home
I've got people 'round
Yeah I've got people 'round
But I'm still feeling alone
If a tree falls and nobody can hear it
Did it even make a sound?
Breaking my heart but nobody else feels it
Tell me am I better now?
'Cause I go out in my best dress
Smile more talk less
Make 'em think I'm better now
They don't see me in my bed at 3pm and
Wishing I was better now
Oh
Tell me can you hear me?
Oh
Tell me
If a tree falls and nobody can hear it
Did it even make a sound?
Breaking my heart but nobody else feels it
Tell me am I better now?
'Cause I go out in my best dress
Smile more talk less
Make 'em think I'm better now
They don't see me in my bed at 3pm and
Wishing I was better now"
11,strangers,Camylio,"It's sleeping in between the two of us
And we can feel it grow
We were a flame that burned out all at once
Now all that's left is cold

I know soon
We'll have to learn how to live on our own
You know too
We're holding on when we need to let go

I don't wanna hurt you
But there's no other way
Promise that you'll see it one day
We're better strangers
We make better strangers
We're running from the breakdown
The bitter in goodbye
The truth is you and I
Make better strangers
We make better strangers

We're just two people with some memories
Too soon to still be friends
No I don't wanna be your enemy
Can you forget me instead?

I know soon
We'll have to learn how to live on our own
You know too
We're holding on when we need to let go

I don't wanna hurt you
But there's no other way
Promise that you'll see it one day
We're better strangers
We make better strangers
We're running from the breakdown
The bitter in goodbye
The truth is you and I
Make better strangers
We make better strangers

When we're older
Found our closure
Maybe we can start over
Let ourselves fall
After it all
Find our way back to love

I don't wanna hurt you
But there's no other way
Promise that you'll see it one day
Our hearts are safer
We make better strangers"
12,How Do We Stay In Love?,Blake Rose,"Two kids out, wandering
Kingdom between our streets,
highest I've ever been
With two feet on the pavement
Lost in a world we knew
Meanwhile, the cancer grew
But they were too scared to say
'Cause we're too young to get it
Hmm-mm, ah-ah-ah, hmm-mm
Thought we were made of stone
That we would never fall
But still our castle's broke
Into a thousand pieces


It's nothing like they promised
But how could we have known?
In a world gone up in smoke
How do we stay honest?
How do we not give up?
How do we stay in love? Hmm-mm


I haven't seen you since
The winter that I watched the house you grew up in
Turn into a prison
When you're mother passed away
Angel and humans skin,
 they would know words to say
But fuck all that religions


It was nothing like they promised
But how could we have known?
In a world gone up in smoke
How do we stay honest?
How do we not give up?
How do we stay in love? Hmm-mm
How do we stay in love? Hmm-mm
How do we stay in love? Hmm-mm


Walking down these streets, I'm freezing
All our footsteps, disappearing
Some places are built for living but
It's like we were never here


It's nothing like they promised
But how could we have known?
In a world gone up in smoke
How do we stay honest?
How do we not give up?
How do we stay in love?"
