,곡인덱스,앨범인덱스,가수인덱스,가수명,곡명,앨범명,가사,장르,곡시간,앨범발매일,계절/시간,장소/상황,감정
0,33231701,10552559,591011,Birdy,Surrender,Young Heart,Strange this wilderness inside The heart drifts from hot to cold You think it cant make up its mind And suddenly its always known Suddenly its always known And if I could reach the northern lights Maybe then Id understand it all Sometimes I try so hard to fight When all I want to do is fall Into the night Into your arms Surrender Delays on the district line Looking at pictures on my phone And I said I didnt miss you but I lied Told myself I let you go Told myself I let you go And if I could reach the northern lights Maybe then Id understand it all Sometimes I try so hard to fight When all I want to do is fall Into the night Into your arms Surrender Surrender Surrender And if I could reach the northern lights Maybe then Id understand it all Sometimes I try so hard to fight When all I want to do is fall Into the night Into your arms Surrender Into the night Into your arms Surrender,포크,235,2021-04-30,,,
1,33436594,10598241,104900,Squeeze,Cool For Cats,Spot the Difference (Deluxe Edition),Verse  The Indians send signals from the rocks above the pass The cowboys take position in the bushes and the grass The squaw is with the corporal she is tied against the tree She doesnt mind the language its the beating she dont need She lets loose all the horses when the corporal is asleep And he wakes to find the fires dead and arrows in his hats And Davy Crockett rides around and says its cool for cats Its cool for cats  Chorus Cool for cats  Verse  The Sweeneys doing ninety cause theyve got the word to go They get a gang of villains in a shed up at Heathrow Theyre counting out the fivers when the handcuffs lock again In and out of Wandsworth with the numbers on their names Its funny how their missus always look the bleeding same And meanwhile at the station theres a couple of likely lads Who swear like Hows your father and theyre very cool for cats Theyre cool for cats  Chorus Cool for cats  Verse  To change the mood a little Ive been posing down the pub On seeing my reflection Im looking slightly rough I fancy this I fancy that I wanna be so flash I give a little muscle and I spend a little cash But all I get is bitter and a nasty little rash And by the time Im sober Ive forgotten what Ive had And everybody tells me that its cool to be a cat Cool for cats  Chorus Cool for cats  Instrumental Break  Verse  Shape up at the disco and I think Ive got a pull I ask her lots of questions as she hangs on to the wall I kiss her for the first time and then I take her home Im invited in for coffee and Ill give the dog a bone She likes to go to discos but shes never on her own I said Ill see you later and give her some old chat But its not like that on the TV when its cool for cats Its cool for caaaats  Chorus Cool for cats  Instrumental Outro,록/메탈,220,2021-04-30,,,
2,33445158,10600231,108936,Kings Of Convenience,Rocky Trail,Rocky Trail,One more time Lets say you give me one more time One last chance to speak again Lets start from what we left unsaid and here we go Brave enough to go climbing a wall so high that no sunlight is seen through winter Brave enough to go traveling around the world without money to eat or sleep for Seeing what you can do with your hands and feet I feel there is no question about it Almost anything you can imagine Almost any goal You will get there I wish you had been more of a talker Not the kind that is just flapping his lips And not the kind that looks away But learns through his eyes when somebody is watching Maybe you could have told me There was a world on your shoulders that needed lifting Maybe I could have helped you with that The weight is not easy I know But you never know I thought your shoes were good I thought they would take you to the end of any road I thought your back was strong I should have carried you to the top of the rocky I trail I should have carried you to the top of the rocky trail How am I to know about your problems and your load I am blind to what you show I am waiting to be told I never ask How am I to know about your problems and your load I am blind to what you show I am waiting to be told I never ask,포크,211,2021-04-30,,,
3,33447280,10600760,2622030,ITZY (있지),마.피.아. In the morning,GUESS WHO,Shhhhhhh Guess who loves you 나야 나 Do I show you No야 No 아직 Time이 아냐 난 좀 더 가까이 좀 더 가까이 그러다 갑자기 싹 Imma steal it 마음을 훔쳐 You are gonna love me 결정적일 때 이빨을 드러내는 Type 나와 두 눈이 마주쳐도 난 흔들림이 없어 No 널 사랑하는 게 죄라면 범인은 Who Youll never know Baby 헷갈려 헷갈려 헷갈리겠지 넌 결국엔 내 거야 내 거야 내 게 되겠지 넌 이제 Finally finally 택할 시간이야 벌써 어느새 또 밤이 되었습니다 Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia 또 아침이 밝았습니다 어젯밤에도 You dont even know 누구일까 Mafia 날이 밝아도 You dont even know 누구일까 Mafia 배우보다 더 배우 늑대 가지고 노는 여우 전혀 안 보이겠지 Clue 하지만 나에겐 다 계획이 있다고 Go 그만 머뭇머뭇대 슬슬 작전 개시 너를 뺏어 뺏어 뺏어 Like a caper movie 알 수 없는 Poker face 점령해 네 맘속 Place Hurry up Baby catch me if you can haha Baby 헷갈려 헷갈려 헷갈리겠지 넌 결국엔 내 거야 내 거야 내 게 되겠지 넌 이제 Finally finally 택할 시간이야 벌써 어느새 또 밤이 되었습니다 Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia 누구일까 Mafia 마지막 밤이 깊었어 Baby 이 밤이 지나면 네 곁엔 나 하나 Yeah yeah 마침내 피할 수 없는 아침이 와 Hahaha Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia Im the mafia Ma ma ma ma mafia ya ya We do it like a mafia 또 아침이 밝았습니다 어젯밤에도 You dont even know 누구일까 Mafia 날이 밝아도 You dont even know 누구일까 Mafia,랩/힙합,172,2021-04-30,,,
4,33447414,10600786,1023977,Sondia,외딴길에서,언더커버 OST Part.2,너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 누더기 같은 삶속에 장미 같았던 향기나는 너로인해 미소지었다 더 높이 날고 싶었어 너를 품에 안고 더 멀리가고 싶었어 네 미래를 위해 길었던 아픔 혼자였던 날들 되돌릴순 없지만 함께 해주고싶어 너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 여전히 우린 두렵고 어려웠지만 너의 눈에 감춰있는 보물을 봤다 계절은 또 돌고 돌아 언 땅을 녹이고 밀알은 흙속에 묻혀 열매를 맺겠지 길었던 슬픔 움츠렸던 날들 헤아릴 순 없지만 안아주고 싶었어 너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 누더기 같은 삶 속에 장미 같았던 향기나는 너로 인해 미소 지었다 지난 시간 걸어왔던 발자국 언젠가 뒤돌아봤을 때 너에 뒤를 끝까지 지키며 걸었던 내가 있었단 걸 너와 같이 걸어줄게 외딴길에서 내가 함께 울어줄게 슬픔속에서 세상이 우릴 여전히 아프게 해도 네 손 놓지않고 있는 나를 잊지마 내가 함께 울어줄게 슬픔속에서 너와 같이 걸어줄게 외딴길에서,발라드,233,2021-04-30,,,
5,33447537,10600854,276166,검정치마,Two Days,"Good Luck To You, Girl Scout!",two days and six voice memos  away from another heartache  sitting alone in an empty bed  spent the whole night wide awake  one day and I am in season two  a show I dont even care about  I cant believe all the things  that came out of her pretty mouth  my bodys a haunted house  filled with the ghost of the past  can you blame me for it  how was I supposed to know  I want a do over  so I can go before her  I dont blame her for it  this is what young girls do  back where I started  feeling sad and lonely again  my bodys a haunted house filled with the ghost of the past can you blame me for it how was I supposed to know I want a do over so I can go before her I dont blame her for it this is what young girls do back where I started feeling sad and lonely again,인디음악,217,2021-04-30,,,
6,33447587,10600865,264066,DJ Khaled,THANKFUL (Feat. Lil Wayne & Jeremih),KHALED KHALED,Oh oh oh oh oh oh  Oh oh oh oh oh oh  We the Best Music  Another one  DJ Khaled  And I know that somebody been  praying for me  Head above ground  and I couldve been six feet deep  Out on these streets  when get down on my knees  Im thankful Im thankful  Ima blow this bag for everybody  who counted me out  And I still got love  for all my dawgs  who holding me down  Head above ground for my niggas  and my dawgs  Im thankful Im thankful  I done dodged a few heartbreaks  Never lost a thing  I cant replace yet  Couple times  thought I wouldnt make it  Then I came up  ten toes out the basemnt  I done had to mute fuck noise  Did a coupl things  that left me no choice  I done hit some licks  that my mama wont be proud of  Said we gon be rich  give her something  she can smile for  The devil on the block  and he lurking  Tryna hit me up with a dozen  But when I look around  shit aint worth it  thats for certain  And I know that somebody been  praying for me  Head above ground  and I couldve been six feet deep  Out on these streets  when get down on my knees  Im thankful Im thankful  Ima blow this bag for everybody  who counted me out  And I still got love  for all my dawgs  who holding me down  Head above ground for my niggas  and my dawgs  Im thankful Im thankful  But Im still out here  making moves ooh  Ima do what I got to  Ima do what I got to  Too many niggas gone too soon  Im gonna do what I got to  Aint tryna lay up in a box  two feet wide six deep  You wont catch no RIPs off me  Ima do what I got to  Im gonna do what I got to  Somebodys been praying for me  for me for me  I couldve been six feet deep  When I get down on my knees  Im thankful Im thankful  Im thankful  Ima blow this bag for everybody  who counted me out  And I still got love  for all my dawgs  who holding me down  Head above ground for my niggas  and my dawgs  Im thankful Im thankful  Sit down be thankful  Big smile although its painful  I look up and see clouds weed  angels  Seen white chalk  make street angels  Youre welcome look down  feet dangles  Be proud be shameless  Yeah be now be ancient yeah  It been my turn  let me cut off these blinkers  I cut off these strangers  and ifs ands  and buts of the strangers  I never relinquish  Im thanking Franklin  as an acquaintance  Destiny danger  I done seen from every angle  From my neck to my ankle  the spots on this leopard  aint changing  Nigga thats for the wangsters   told me that I say thank you  I been got the bag  I done turned that to the blanket  I been out of hand  so I dont wanna dap  less you banging  Im being quiet man  just waiting for these rappers  to thank me de nada  And I know that somebody  been praying for me  Head above ground  and I couldve been six feet deep  Out on these streets  when get down on my knees  Im thankful Im thankful  Ima blow this bag for everybody  who counted me out  And I still got love  for all my dawgs  who holding me down  Head above ground for my niggas  and my dawgs  Im thankful Im thankful  But Im still out here  making moves ooh  Ima do what I got to  Ima do what I got to  Too many niggas gone too soon  Im gonna do what I got to  Aint tryna lay up in a box  two feet wide six deep  You wont catch no RIPs off me  Ima do what I got to  Im gonna do what I got to  Sit down be thankful Big smile although its painful I look up and see clouds weed angels Seen white chalk make street angels Youre welcome look down feet dangles Be proud be shameless Yeah be now be ancient yeah,랩/힙합,339,2021-04-30,,,
7,33438866,10598704,1703593,NO:EL,Ride or die,21'S/S,난 혼자 걸어 넌 또 내 뒤에 있어 oh Im drunk as fuck to have a talk Let it fade away 나 두다리를 떨어도 예쁜 미소를 잃지 않는 너 Im high as fuck to feel this realities Run away   with these painkillers let me drown Im feelin lowlow 시 반   with you me my self and i Im feelin loco Girl just let me Ride or die with you 너를 다시 한 번만 돌려줄 수 있다면 Ride or die with you 그때를 다시 한 번만 돌려줄 수 있다면 Girl let me ride with you 밤이다 지나갈 때까지 Girl let me die with you 몸이 태워져 없어질 때까지 Ride or die with you 모든 걸 다시 한 번만 돌려줄 수 있다면 일이 틀어지면 날 떠나보내 주라 저 멀리 못난 이 새낄 사랑한 내 바보에게 쓰는 편지 마지막 그 앞에서 우리 애써 웃어봐도 Tough shit 사는 게 참 애석하게도 Aint got no option   with these painkillers let me drown Im feelin lowlow 시 반   with you me my self and i Im feelin loco Girl just let me Ride or die with you 너를 다시 한 번만 돌려줄 수 있다면 Ride or die with you 그때를 다시 한 번만 돌려줄 수 있다면 Girl let me ride with you 밤이다 지나갈 때까지 Girl let me die with you 몸이 태워져 없어질 때까지 Ride or die with you 모든 걸 다시 한 번만 돌려줄 수 있다면   with these Let me drown 고요한 밤  with you me my self and I Im feelin loco Girl just let me Ride or die with you 너를 다시 한 번만 돌려줄 수 있다면 Ride or die with you 그때를 다시 한 번만 돌려줄 수 있다면 Girl let me ride with you 밤이다 지나갈 때까지 Girl let me die with you 몸이 태워져 없어질 때까지 Ride or die with you 모든 걸 다시 한 번만 돌려줄 수 있다면,랩/힙합,214,2021-04-29,,,
8,33443106,10599731,2644300,Jagwar Twin,Happy Face,Happy Face,Hey Put on a happy face Then everythings okay Put on a happy face Flip the switch Flip the stove World gone mad Lets start the show Get your kicks And lets go If youre sad dont let it show Say Im happy Im happy Im happy today Im happy Im happy Im happy today They say Put on a happy face Cause were tic tock tic tock Ticking like a time bomb Hey Put on a happy face Then everythings okay Put on a happy face Hey Put on a happy face Then everythings okay Put on a happy face Say youre good Say youre fine Tell em everythings alright Hollywood on your timeline Telling you what to wear And what to Like and how to Be Say Im happy Im happy Im happy today Im happy Im happy Im happy today They say Put on a happy face Cause were tic tock tic tock Ticking like a time bomb Hey Put on a happy face Then everythings okay Put on a happy face Hey Put on a happy face Then everythings okay Put on a happy face Ah Death of my generation Death of my generation Ah Death of my generation Death of my generation Hey Put on a happy face Then everythings okay Put on a happy face Hey Put on a happy face Then everythings okay Put on a happy face,록/메탈,171,2021-04-29,,,
9,33444738,10600107,943511,pH-1,365&7 (Feat. JAMIE),365&7, days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you 맘이 떨려 어디 하나 고장 난 듯이 함께 있으면 시간은 도망가듯이 빠르게 없어져 I be like whats going on 비싼 시계를 손목에 감아도 이건 못 멈춰 Ill call you up Give me the addy 어디쯤인지 금방 나와있어 널 곧 태우고 갈게 어디든 아주 먼 거리든 Yea We can go about anywhere you wanna 네 왼손 내 오른손에 걸어 Baby lets not waste time Just dont beat around the bush and tell me that youre mine 바삐 흘러가는 시간 뒤에 숨지마 너무 아까우니까 처음부터 세줄게 Im counting starting now And its  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you Boy like doin like Everything like I do Yeah you 너도 알잖아 나 이런 거에 약한 거 아침부터 밤까지 You make me feel like ari 기억나 When I first saw you and laughed he he he 오늘도 고마워 Thanks 들어가 지금 시땡 우 Hey Mr Nerdy 지금 어디 Stop with the countin 난 너가 궁금해 네가 궁금해 So lets stop playin games Baby lets not waste time Just dont beat around the bush and tell me that youre mine 바삐 흘러가는 시간 뒤에 숨지마 너무 아까우니까 처음부터 세줄게 Im counting starting now And its  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you  days a week 생각나 하루도 빠짐없이 너와 나 어느새 비슷한 말투 Im thinking about you,랩/힙합,169,2021-04-29,,,
